"gene_id" "locusName" "Description" "colors"
"Manes.03G134500.v8.1" "Manes.03G134500" NA "turquoise"
"Manes.03G134300.v8.1" "Manes.03G134300" NA "turquoise"
"Manes.03G137402.v8.1" "Manes.03G137402" "(1 of 2) PTHR24012//PTHR24012:SF433 - FAMILY NOT NAMED // RNA RECOGNITION MOTIF-CONTAINING PROTEIN" "turquoise"
"Manes.03G137804.v8.1" "Manes.03G137804" "(1 of 3) PTHR31221:SF21 - WRKY TRANSCRIPTION FACTOR 20-RELATED" "turquoise"
"Manes.03G140401.v8.1" "Manes.03G140401" "(1 of 4) PTHR11003//PTHR11003:SF135 - POTASSIUM CHANNEL, SUBFAMILY K // SUBFAMILY NOT NAMED" "turquoise"
"Manes.03G140200.v8.1" "Manes.03G140200" NA "turquoise"
"Manes.03G140900.v8.1" "Manes.03G140900" NA "turquoise"
"Manes.03G141300.v8.1" "Manes.03G141300" "(1 of 9) 3.6.1.13//3.6.1.22//3.6.1.53 - ADP-ribose diphosphatase / ADPR-PPase // NAD(+) diphosphatase / NADP pyrophosphatase // Mn(2+)-dependent ADP-ribose/CDP-alcohol diphosphatase / Mn(2+)-dependent ADP-ribose/CDP-alcohol pyrophosphatase" "turquoise"
"Manes.03G142100.v8.1" "Manes.03G142100" "(1 of 4) PTHR22811//PTHR22811:SF50 - TRANSMEMBRANE EMP24 DOMAIN-CONTAINING PROTEIN // TRANSMEMBRANE EMP24 DOMAIN-CONTAINING PROTEIN P24BETA2" "turquoise"
"Manes.03G142500.v8.1" "Manes.03G142500" "(1 of 6) PTHR13301//PTHR13301:SF60 - X-BOX TRANSCRIPTION FACTOR-RELATED // CELLULOSE SYNTHASE-LIKE PROTEIN E1" "turquoise"
"Manes.03G143000.v8.1" "Manes.03G143000" "(1 of 3) PTHR24012:SF478 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MJH23" "turquoise"
"Manes.03G145100.v8.1" "Manes.03G145100" NA "turquoise"
"Manes.03G145400.v8.1" "Manes.03G145400" "(1 of 2) PTHR23421:SF69 - BETA-GALACTOSIDASE 9" "turquoise"
"Manes.03G145466.v8.1" "Manes.03G145466" NA "turquoise"
"Manes.03G145800.v8.1" "Manes.03G145800" "(1 of 4) PTHR12346:SF8 - PAIRED AMPHIPATHIC HELIX PROTEIN SIN3-LIKE 1-RELATED" "turquoise"
"Manes.03G145900.v8.1" "Manes.03G145900" "(1 of 2) K04711 - dihydroceramidase (ACER3, YDC1)" "turquoise"
"Manes.03G146000.v8.1" "Manes.03G146000" NA "turquoise"
"Manes.03G146100.v8.1" "Manes.03G146100" "(1 of 1) K05755 - actin related protein 2/3 complex, subunit 4 (ARPC4)" "turquoise"
"Manes.03G146400.v8.1" "Manes.03G146400" NA "turquoise"
"Manes.03G146600.v8.1" "Manes.03G146600" "(1 of 2) PTHR13020:SF34 - UBX DOMAIN-CONTAINING PROTEIN 4" "turquoise"
"Manes.03G146700.v8.1" "Manes.03G146700" "(1 of 6) K03231 - elongation factor 1-alpha (EEF1A)" "turquoise"
"Manes.03G146900.v8.1" "Manes.03G146900" "(1 of 6) K03231 - elongation factor 1-alpha (EEF1A)" "turquoise"
"Manes.03G147000.v8.1" "Manes.03G147000" "(1 of 6) K03231 - elongation factor 1-alpha (EEF1A)" "turquoise"
"Manes.03G149000.v8.1" "Manes.03G149000" NA "turquoise"
"Manes.03G149301.v8.1" "Manes.03G149301" "(1 of 4) 3.2.1.45 - Glucosylceramidase / D-glucosyl-N-acylsphingosine glucohydrolase" "turquoise"
"Manes.03G149500.v8.1" "Manes.03G149500" "(1 of 1) PTHR21136:SF95 - VESICLE-ASSOCIATED MEMBRANE PROTEIN 721-RELATED" "turquoise"
"Manes.03G149700.v8.1" "Manes.03G149700" "(1 of 1) K06126 - ubiquinone biosynthesis monooxygenase Coq6 (COQ6)" "turquoise"
"Manes.03G150000.v8.1" "Manes.03G150000" "(1 of 5) K00660 - chalcone synthase (CHS)" "turquoise"
"Manes.03G150400.v8.1" "Manes.03G150400" NA "turquoise"
"Manes.03G152200.v8.1" "Manes.03G152200" NA "turquoise"
"Manes.03G152700.v8.1" "Manes.03G152700" "(1 of 2) 3.6.1.19 - Nucleoside-triphosphate diphosphatase / Nucleoside-triphosphate pyrophosphatase" "turquoise"
"Manes.03G154600.v8.1" "Manes.03G154600" "(1 of 2) PTHR12608//PTHR12608:SF7 - TRANSMEMBRANE PROTEIN HTP-1 RELATED // GDT1-LIKE PROTEIN 2, CHLOROPLASTIC" "turquoise"
"Manes.03G154900.v8.1" "Manes.03G154900" "(1 of 2) K11346 - inhibitor of growth protein 4 (ING4)" "turquoise"
"Manes.03G155400.v8.1" "Manes.03G155400" NA "turquoise"
"Manes.03G155500.v8.1" "Manes.03G155500" "(1 of 1) PTHR13140//PTHR13140:SF391//PTHR13140:SF486 - MYOSIN // MYOSIN-10-RELATED // SUBFAMILY NOT NAMED" "turquoise"
"Manes.03G158100.v8.1" "Manes.03G158100" "(1 of 1) KOG0454 - 3-isopropylmalate dehydratase (aconitase superfamily)" "turquoise"
"Manes.03G159000.v8.1" "Manes.03G159000" "(1 of 2) K17769 - mitochondrial import receptor subunit TOM22 (TOM22)" "turquoise"
"Manes.03G159200.v8.1" "Manes.03G159200" NA "turquoise"
"Manes.03G159300.v8.1" "Manes.03G159300" NA "turquoise"
"Manes.03G159600.v8.1" "Manes.03G159600" "(1 of 2) PTHR31717:SF15 - CCT MOTIF-CONTAINING PROTEIN" "turquoise"
"Manes.03G160100.v8.1" "Manes.03G160100" NA "turquoise"
"Manes.03G161800.v8.1" "Manes.03G161800" "(1 of 3) PTHR23083//PTHR23083:SF444 - TETRATRICOPEPTIDE REPEAT PROTEIN, TPR // SUBFAMILY NOT NAMED" "turquoise"
"Manes.03G161850.v8.1" "Manes.03G161850" NA "turquoise"
"Manes.03G162100.v8.1" "Manes.03G162100" "(1 of 2) PTHR10783//PTHR10783:SF53 - XENOTROPIC AND POLYTROPIC RETROVIRUS RECEPTOR 1-RELATED // PHOSPHATE TRANSPORTER PHO1" "turquoise"
"Manes.03G162400.v8.1" "Manes.03G162400" "(1 of 2) PTHR10666:SF124 - GH17761P" "turquoise"
"Manes.03G163600.v8.1" "Manes.03G163600" NA "turquoise"
"Manes.03G164500.v8.1" "Manes.03G164500" "(1 of 2) K08794 - calcium/calmodulin-dependent protein kinase I (CAMK1)" "turquoise"
"Manes.03G165500.v8.1" "Manes.03G165500" "(1 of 1) K03521 - electron transfer flavoprotein beta subunit (fixA, etfB)" "turquoise"
"Manes.03G166700.v8.1" "Manes.03G166700" NA "turquoise"
"Manes.03G166800.v8.1" "Manes.03G166800" NA "turquoise"
"Manes.03G167700.v8.1" "Manes.03G167700" "(1 of 1) PTHR24361//PTHR24361:SF243 - MITOGEN-ACTIVATED KINASE KINASE KINASE // SERINE/THREONINE-PROTEIN KINASE BLUS1" "turquoise"
"Manes.03G168500.v8.1" "Manes.03G168500" "(1 of 1) 3.5.1.116 - Ureidoglycolate amidohydrolase / Ureidoglycolate hydrolase" "turquoise"
"Manes.03G169200.v8.1" "Manes.03G169200" "(1 of 1) PTHR31846:SF13 - CRM FAMILY MEMBER 3A-RELATED" "turquoise"
"Manes.03G169900.v8.1" "Manes.03G169900" "(1 of 1) K10085 - ER degradation enhancer, mannosidase alpha-like 2 (EDEM2)" "turquoise"
"Manes.03G170000.v8.1" "Manes.03G170000" NA "turquoise"
"Manes.03G170100.v8.1" "Manes.03G170100" NA "turquoise"
"Manes.03G170200.v8.1" "Manes.03G170200" "(1 of 1) K01303 - acylaminoacyl-peptidase [EC:3.4.19.1] (APEH)" "turquoise"
"Manes.03G170500.v8.1" "Manes.03G170500" "(1 of 1) K18187 - protein PET100, fungi type (PET100F)" "turquoise"
"Manes.03G170600.v8.1" "Manes.03G170600" "(1 of 5) PTHR31561//PTHR31561:SF25 - FAMILY NOT NAMED // 3-KETOACYL-COA SYNTHASE 17-RELATED" "turquoise"
"Manes.03G170800.v8.1" "Manes.03G170800" NA "turquoise"
"Manes.03G171000.v8.1" "Manes.03G171000" NA "turquoise"
"Manes.03G171300.v8.1" "Manes.03G171300" "(1 of 2) K07950 - ADP-ribosylation factor-like protein 5B (ARL5B)" "turquoise"
"Manes.03G171400.v8.1" "Manes.03G171400" "(1 of 2) PTHR32378//PTHR32378:SF10 - FAMILY NOT NAMED // GUANINE NUCLEOTIDE-BINDING PROTEIN SUBUNIT GAMMA 2" "turquoise"
"Manes.03G172500.v8.1" "Manes.03G172500" "(1 of 2) PTHR22891:SF45 - PROTEIN ARGONAUTE 10" "turquoise"
"Manes.03G173200.v8.1" "Manes.03G173200" "(1 of 2) PTHR10015:SF139 - HEAT STRESS TRANSCRIPTION FACTOR A-6A-RELATED" "turquoise"
"Manes.03G173300.v8.1" "Manes.03G173300" "(1 of 2) 1.13.11.54 - Acireductone dioxygenase (Fe(2+)-requiring) / E-2'" "turquoise"
"Manes.03G174000.v8.1" "Manes.03G174000" "(1 of 2) PTHR11814//PTHR11814:SF106 - SULFATE TRANSPORTER // SUBFAMILY NOT NAMED" "turquoise"
"Manes.03G174400.v8.1" "Manes.03G174400" "(1 of 4) K02984 - small subunit ribosomal protein S3Ae (RP-S3Ae, RPS3A)" "turquoise"
"Manes.03G175000.v8.1" "Manes.03G175000" "(1 of 3) PTHR23257//PTHR23257:SF499 - SERINE-THREONINE PROTEIN KINASE // KINASE LIKE PROTEIN" "turquoise"
"Manes.03G175500.v8.1" "Manes.03G175500" "(1 of 1) PTHR12131:SF2 - ATP-DEPENDENT RNA HELICASE" "turquoise"
"Manes.03G176500.v8.1" "Manes.03G176500" NA "turquoise"
"Manes.03G177000.v8.1" "Manes.03G177000" NA "turquoise"
"Manes.03G177600.v8.1" "Manes.03G177600" NA "turquoise"
"Manes.03G178900.v8.1" "Manes.03G178900" "(1 of 2) PTHR24098:SF10 - ACYL-COA N-ACYLTRANSFERASE WITH RING/FYVE/PHD-TYPE ZINC FINGER PROTEIN-RELATED" "turquoise"
"Manes.03G180700.v8.1" "Manes.03G180700" "(1 of 3) PTHR24096:SF221 - PROTEIN ACS-13, ISOFORM C" "turquoise"
"Manes.03G181600.v8.1" "Manes.03G181600" "(1 of 2) PTHR10799//PTHR10799:SF640 - SWI/SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY-RELATED // NUCLEAR PROTEIN STH1/NPS1" "turquoise"
"Manes.03G181800.v8.1" "Manes.03G181800" "(1 of 2) PTHR13832:SF224 - PROTEIN PHOSPHATASE 2C 70" "turquoise"
"Manes.03G182700.v8.1" "Manes.03G182700" NA "turquoise"
"Manes.03G182800.v8.1" "Manes.03G182800" "(1 of 2) K10686 - ubiquitin-activating enzyme E1 C (UBE1C, UBA3)" "turquoise"
"Manes.03G183200.v8.1" "Manes.03G183200" NA "turquoise"
"Manes.03G184700.v8.1" "Manes.03G184700" NA "turquoise"
"Manes.03G184800.v8.1" "Manes.03G184800" NA "turquoise"
"Manes.03G185400.v8.1" "Manes.03G185400" "(1 of 2) PTHR10759//PTHR10759:SF3 - 60S RIBOSOMAL PROTEIN L34 // SUBFAMILY NOT NAMED" "turquoise"
"Manes.03G187400.v8.1" "Manes.03G187400" NA "turquoise"
"Manes.03G189000.v8.1" "Manes.03G189000" "(1 of 4) PTHR28242:SF5 - HISTIDINE-CONTAINING PHOSPHOTRANSFER PROTEIN 1" "turquoise"
"Manes.03G189400.v8.1" "Manes.03G189400" "(1 of 2) PTHR31251:SF2 - SQUAMOSA PROMOTER-BINDING-LIKE PROTEIN 7" "turquoise"
"Manes.03G189500.v8.1" "Manes.03G189500" "(1 of 1) PTHR23147//PTHR23147:SF7 - SERINE/ARGININE RICH SPLICING FACTOR // SUBFAMILY NOT NAMED" "turquoise"
"Manes.03G190200.v8.1" "Manes.03G190200" NA "turquoise"
"Manes.03G190300.v8.1" "Manes.03G190300" NA "turquoise"
"Manes.03G191200.v8.1" "Manes.03G191200" "(1 of 4) PTHR24056//PTHR24056:SF176 - CELL DIVISION PROTEIN KINASE // SUBFAMILY NOT NAMED" "turquoise"
"Manes.03G193000.v8.1" "Manes.03G193000" "(1 of 3) PTHR23336//PTHR23336:SF14 - ZINC FINGER CW-TYPE COILED-COIL DOMAIN PROTEIN 3. // CW-TYPE ZINC-FINGER PROTEIN" "turquoise"
"Manes.03G193200.v8.1" "Manes.03G193200" "(1 of 7) K03347 - cullin 1 (CUL1, CDC53)" "turquoise"
"Manes.03G194100.v8.1" "Manes.03G194100" "(1 of 2) K15108 - solute carrier family 25 (mitochondrial thiamine pyrophosphate transporter), member 19 (SLC25A19, DNC, TPC1)" "turquoise"
"Manes.03G194200.v8.1" "Manes.03G194200" "(1 of 2) K07565 - 60S ribosome subunit biogenesis protein NIP7 (NIP7)" "turquoise"
"Manes.03G194400.v8.1" "Manes.03G194400" "(1 of 7) K08511 - vesicle-associated membrane protein 72 (ATVAMP72)" "turquoise"
"Manes.03G195400.v8.1" "Manes.03G195400" "(1 of 2) 6.1.1.5 - Isoleucine--tRNA ligase / Isoleucyl-tRNA synthetase" "turquoise"
"Manes.03G195500.v8.1" "Manes.03G195500" "(1 of 2) PTHR10903//PTHR10903:SF71 - GTPASE, IMAP FAMILY MEMBER-RELATED // SUBFAMILY NOT NAMED" "turquoise"
"Manes.03G196600.v8.1" "Manes.03G196600" NA "turquoise"
"Manes.03G197100.v8.1" "Manes.03G197100" "(1 of 7) PF03242 - Late embryogenesis abundant protein (LEA_3)" "turquoise"
"Manes.03G197200.v8.1" "Manes.03G197200" NA "turquoise"
"Manes.03G198900.v8.1" "Manes.03G198900" "(1 of 2) PTHR12526//PTHR12526:SF348 - GLYCOSYLTRANSFERASE // SUCROSE SYNTHASE 2" "turquoise"
"Manes.03G199200.v8.1" "Manes.03G199200" "(1 of 2) PTHR22904//PTHR22904:SF169 - TPR REPEAT CONTAINING PROTEIN // RNA POLYMERASE II-ASSOCIATED PROTEIN 3" "turquoise"
"Manes.03G200000.v8.1" "Manes.03G200000" "(1 of 1) K14844 - pumilio homology domain family member 6 (PUF6)" "turquoise"
"Manes.03G202300.v8.1" "Manes.03G202300" "(1 of 6) K07953 - GTP-binding protein SAR1 (SAR1)" "turquoise"
"Manes.03G204600.v8.1" "Manes.03G204600" "(1 of 1) PTHR11246//PTHR11246:SF11 - PRE-MRNA SPLICING FACTOR // SUBFAMILY NOT NAMED" "turquoise"
"Manes.03G205000.v8.1" "Manes.03G205000" "(1 of 2) PTHR23118//PTHR23118:SF3 - ATP-CITRATE SYNTHASE // SUBFAMILY NOT NAMED" "turquoise"
"Manes.03G205100.v8.1" "Manes.03G205100" "(1 of 1) K12121 - phytochrome B (PHYB)" "turquoise"
"Manes.03G206900.v8.1" "Manes.03G206900" NA "turquoise"
"Manes.03G207700.v8.1" "Manes.03G207700" "(1 of 1) PTHR21011//PTHR21011:SF4 - MITOCHONDRIAL 28S RIBOSOMAL PROTEIN S6 // SUBFAMILY NOT NAMED" "turquoise"
"Manes.03G208500.v8.1" "Manes.03G208500" NA "turquoise"
"Manes.03G208700.v8.1" "Manes.03G208700" "(1 of 1) PTHR15239:SF6 - NUCLEAR EXPORT MEDIATOR FACTOR NEMF" "turquoise"
"Manes.03G209000.v8.1" "Manes.03G209000" NA "turquoise"
"Manes.03G209800.v8.1" "Manes.03G209800" "(1 of 1) PTHR16166//PTHR16166:SF93 - VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN  VPS13 // PROTEIN T08G11.1, ISOFORM A" "turquoise"
"Manes.03G211100.v8.1" "Manes.03G211100" NA "turquoise"
"Manes.03G211200.v8.1" "Manes.03G211200" "(1 of 26) PF03110 - SBP domain (SBP)" "turquoise"
"Manes.03G211500.v8.1" "Manes.03G211500" "(1 of 1) PTHR21230//PTHR21230:SF35 - VESICLE TRANSPORT V-SNARE PROTEIN VTI1-RELATED // SUBFAMILY NOT NAMED" "turquoise"
"Manes.03G211600.v8.1" "Manes.03G211600" "(1 of 1) 2.7.11.2 - [Pyruvate dehydrogenase (acetyl-transferring)] kinase / Pyruvate dehydrogenase kinase (phosphorylating)" "turquoise"
"Manes.03G212200.v8.1" "Manes.03G212200" "(1 of 1) PTHR23112:SF0 - TRANSMEMBRANE PROTEIN 116" "turquoise"
"Manes.03G212300.v8.1" "Manes.03G212300" NA "turquoise"
"Manes.03G212500.v8.1" "Manes.03G212500" "(1 of 8) PTHR24221//PTHR24221:SF205 - FAMILY NOT NAMED // ABC TRANSPORTER B FAMILY MEMBER 11-RELATED" "turquoise"
"Manes.03G212700.v8.1" "Manes.03G212700" NA "turquoise"
"Manes.03G212950.v8.1" "Manes.03G212950" NA "turquoise"
"Manes.04G000200.v8.1" "Manes.04G000200" "(1 of 7) K08857 - NIMA (never in mitosis gene a)-related kinase [EC:2.7.11.1] (NEK)" "turquoise"
"Manes.04G000400.v8.1" "Manes.04G000400" "(1 of 4) K06620 - transcription factor E2F3 (E2F3)" "turquoise"
"Manes.04G001100.v8.1" "Manes.04G001100" "(1 of 1) PTHR24365//PTHR24365:SF276 - TOLL-LIKE RECEPTOR // SUBFAMILY NOT NAMED" "turquoise"
"Manes.04G001500.v8.1" "Manes.04G001500" "(1 of 2) K12655 - OTU domain-containing protein 5 (OTUD5, DUBA)" "turquoise"
"Manes.04G001800.v8.1" "Manes.04G001800" "(1 of 2) PTHR21136//PTHR21136:SF101 - SNARE PROTEINS // VESICLE-ASSOCIATED MEMBRANE PROTEIN 714" "turquoise"
"Manes.04G004201.v8.1" "Manes.04G004201" "(1 of 1) KOG3119 - Basic region leucine zipper transcription factor" "turquoise"
"Manes.04G004400.v8.1" "Manes.04G004400" NA "turquoise"
"Manes.04G004800.v8.1" "Manes.04G004800" "(1 of 10) PTHR10593//PTHR10593:SF27 - SERINE/THREONINE-PROTEIN KINASE RIO // SUBFAMILY NOT NAMED" "turquoise"
"Manes.04G005300.v8.1" "Manes.04G005300" "(1 of 1) K11293 - protein HIRA/HIR1 (HIRA, HIR1)" "turquoise"
"Manes.04G006700.v8.1" "Manes.04G006700" "(1 of 1) PTHR24351//PTHR24351:SF73 - RIBOSOMAL PROTEIN S6 KINASE // SUBFAMILY NOT NAMED" "turquoise"
"Manes.04G006900.v8.1" "Manes.04G006900" "(1 of 12) PF12899 - Alkaline and neutral invertase (Glyco_hydro_100)" "turquoise"
"Manes.04G007000.v8.1" "Manes.04G007000" "(1 of 1) PTHR10625//PTHR10625:SF124 - HISTONE DEACETYLASE // HISTONE DEACETYLASE 9" "turquoise"
"Manes.04G007600.v8.1" "Manes.04G007600" "(1 of 4) 3.2.2.22 - rRNA N-glycosylase / rRNA N-glycosidase" "turquoise"
"Manes.04G008100.v8.1" "Manes.04G008100" NA "turquoise"
"Manes.04G009000.v8.1" "Manes.04G009000" NA "turquoise"
"Manes.04G009900.v8.1" "Manes.04G009900" NA "turquoise"
"Manes.04G010200.v8.1" "Manes.04G010200" "(1 of 2) K15505 - DNA repair protein RAD5 [EC:3.6.4.-] (RAD5)" "turquoise"
"Manes.04G010300.v8.1" "Manes.04G010300" "(1 of 2) PTHR22880:SF167 - DNA BINDING AND ZINC-FINGER DOMAIN-CONTAINING PROTEIN-RELATED" "turquoise"
"Manes.04G010400.v8.1" "Manes.04G010400" "(1 of 2) K11824 - AP-2 complex subunit alpha (AP2A)" "turquoise"
"Manes.04G010600.v8.1" "Manes.04G010600" "(1 of 2) K12449 - UDP-apiose/xylose synthase (AXS)" "turquoise"
"Manes.04G011800.v8.1" "Manes.04G011800" "(1 of 11) PF00637 - Region in Clathrin and VPS (Clathrin)" "turquoise"
"Manes.04G012800.v8.1" "Manes.04G012800" "(1 of 54) PF13912 - C2H2-type zinc finger (zf-C2H2_6)" "turquoise"
"Manes.04G012850.v8.1" "Manes.04G012850" "(1 of 1) PTHR10003:SF34 - SUPEROXIDE DISMUTASE [CU-ZN] 2, CHLOROPLASTIC" "turquoise"
"Manes.04G013400.v8.1" "Manes.04G013400" NA "turquoise"
"Manes.04G013500.v8.1" "Manes.04G013500" NA "turquoise"
"Manes.04G014200.v8.1" "Manes.04G014200" NA "turquoise"
"Manes.04G016300.v8.1" "Manes.04G016300" NA "turquoise"
"Manes.04G017200.v8.1" "Manes.04G017200" "(1 of 5) PF08268//PF12937 - F-box associated domain (FBA_3) // F-box-like (F-box-like)" "turquoise"
"Manes.04G017400.v8.1" "Manes.04G017400" "(1 of 1) PTHR27001//PTHR27001:SF194 - FAMILY NOT NAMED // PROTEIN KINASE FAMILY PROTEIN" "turquoise"
"Manes.04G017500.v8.1" "Manes.04G017500" "(1 of 2) PTHR11850//PTHR11850:SF125 - HOMEOBOX PROTEIN TRANSCRIPTION FACTORS // SUBFAMILY NOT NAMED" "turquoise"
"Manes.04G018000.v8.1" "Manes.04G018000" "(1 of 6) 4.3.1.24 - Phenylalanine ammonia-lyase" "turquoise"
"Manes.04G018200.v8.1" "Manes.04G018200" "(1 of 4) PTHR10579:SF61 - C3H4 TYPE ZINC FINGER PROTEIN-RELATED" "turquoise"
"Manes.04G018600.v8.1" "Manes.04G018600" NA "turquoise"
"Manes.04G019500.v8.1" "Manes.04G019500" NA "turquoise"
"Manes.04G019900.v8.1" "Manes.04G019900" NA "turquoise"
"Manes.04G021500.v8.1" "Manes.04G021500" "(1 of 4) PTHR18929:SF74 - PROTEIN DISULFIDE-ISOMERASE A3" "turquoise"
"Manes.04G022100.v8.1" "Manes.04G022100" "(1 of 2) PTHR24347//PTHR24347:SF1 - SERINE/THREONINE-PROTEIN KINASE // PROTEIN CKK-1, ISOFORM B" "turquoise"
"Manes.04G022600.v8.1" "Manes.04G022600" NA "turquoise"
"Manes.04G023700.v8.1" "Manes.04G023700" "(1 of 1) PTHR10593//PTHR10593:SF45 - SERINE/THREONINE-PROTEIN KINASE RIO // SUBFAMILY NOT NAMED" "turquoise"
"Manes.04G023800.v8.1" "Manes.04G023800" "(1 of 4) K08506 - syntaxin of plants SYP7 (SYP7)" "turquoise"
"Manes.04G024400.v8.1" "Manes.04G024400" NA "turquoise"
"Manes.04G024600.v8.1" "Manes.04G024600" "(1 of 2) PTHR10782:SF34 - E3 SUMO-PROTEIN LIGASE SIZ1" "turquoise"
"Manes.04G024900.v8.1" "Manes.04G024900" NA "turquoise"
"Manes.04G025300.v8.1" "Manes.04G025300" NA "turquoise"
"Manes.04G025400.v8.1" "Manes.04G025400" "(1 of 1) K01955 - carbamoyl-phosphate synthase large subunit (carB, CPA2)" "turquoise"
"Manes.04G026500.v8.1" "Manes.04G026500" "(1 of 1) PTHR21022//PTHR21022:SF1 - PREPHENATE DEHYDRATASE  P PROTEIN // AROGENATE DEHYDRATASE/PREPHENATE DEHYDRATASE 2, CHLOROPLASTIC" "turquoise"
"Manes.04G026800.v8.1" "Manes.04G026800" "(1 of 3) PTHR31356//PTHR31356:SF10 - FAMILY NOT NAMED // L-ASCORBATE PEROXIDASE 2, CYTOSOLIC" "turquoise"
"Manes.04G027000.v8.1" "Manes.04G027000" "(1 of 1) PTHR32467//PTHR32467:SF18//PTHR32467:SF28//PTHR32467:SF29 - FAMILY NOT NAMED // FLORAL HOMEOTIC PROTEIN APETALA 2 // SUBFAMILY NOT NAMED // ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR RAP2-7" "turquoise"
"Manes.04G027100.v8.1" "Manes.04G027100" "(1 of 1) K10869 - RAD51-like protein 1 (RAD51L1, RAD51B)" "turquoise"
"Manes.04G028200.v8.1" "Manes.04G028200" "(1 of 2) K11671 - nuclear factor related to kappa-B-binding protein (NFRKB, INO80G)" "turquoise"
"Manes.04G029000.v8.1" "Manes.04G029000" "(1 of 3) PTHR27003//PTHR27003:SF94 - FAMILY NOT NAMED // RECEPTOR-LIKE PROTEIN KINASE HERK 1" "turquoise"
"Manes.04G032200.v8.1" "Manes.04G032200" "(1 of 2) PTHR19965//PTHR19965:SF29 - RNA AND EXPORT FACTOR BINDING PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.04G033200.v8.1" "Manes.04G033200" NA "turquoise"
"Manes.04G034600.v8.1" "Manes.04G034600" "(1 of 4) PTHR13832//PTHR13832:SF228 - PROTEIN PHOSPHATASE 2C // PROTEIN PHOSPHATASE 2C 36-RELATED" "turquoise"
"Manes.04G035200.v8.1" "Manes.04G035200" "(1 of 1) K14808 - ATP-dependent RNA helicase DDX54/DBP10 [EC:3.6.4.13] (DDX54, DBP10)" "turquoise"
"Manes.04G036900.v8.1" "Manes.04G036900" "(1 of 1) K17866 - diphthamide biosynthesis protein 2 (DPH2)" "turquoise"
"Manes.04G049785.v8.1" "Manes.04G049785" NA "turquoise"
"Manes.04G048400.v8.1" "Manes.04G048400" NA "turquoise"
"Manes.04G048200.v8.1" "Manes.04G048200" NA "turquoise"
"Manes.04G039300.v8.1" "Manes.04G039300" "(1 of 1) PTHR23189//PTHR23189:SF45 - RNA RECOGNITION MOTIF-CONTAINING // FLOWERING TIME CONTROL PROTEIN FPA" "turquoise"
"Manes.04G044000.v8.1" "Manes.04G044000" "(1 of 2) PTHR31832//PTHR31832:SF8 - FAMILY NOT NAMED // B-BOX TYPE ZINC FINGER-CONTAINING PROTEIN-RELATED" "turquoise"
"Manes.04G043100.v8.1" "Manes.04G043100" "(1 of 35) PF03101 - FAR1 DNA-binding domain (FAR1)" "turquoise"
"Manes.04G043000.v8.1" "Manes.04G043000" "(1 of 35) PF03101 - FAR1 DNA-binding domain (FAR1)" "turquoise"
"Manes.04G042700.v8.1" "Manes.04G042700" "(1 of 1) PF00439//PF01695 - Bromodomain (Bromodomain) // IstB-like ATP binding protein (IstB_IS21)" "turquoise"
"Manes.04G041450.v8.1" "Manes.04G041450" NA "turquoise"
"Manes.04G041325.v8.1" "Manes.04G041325" NA "turquoise"
"Manes.04G041140.v8.1" "Manes.04G041140" NA "turquoise"
"Manes.04G040600.v8.1" "Manes.04G040600" "(1 of 1) PTHR11946//PTHR11946:SF73 - ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES // ISOLEUCINE--TRNA LIGASE, CYTOPLASMIC" "turquoise"
"Manes.04G040500.v8.1" "Manes.04G040500" "(1 of 1) K01012 - biotin synthase (bioB)" "turquoise"
"Manes.04G049000.v8.1" "Manes.04G049000" NA "turquoise"
"Manes.04G049600.v8.1" "Manes.04G049600" "(1 of 1) PTHR24361//PTHR24361:SF408 - MITOGEN-ACTIVATED KINASE KINASE KINASE // SERINE/THREONINE-PROTEIN KINASE STE7" "turquoise"
"Manes.04G050000.v8.1" "Manes.04G050000" "(1 of 2) PTHR18934//PTHR18934:SF120 - ATP-DEPENDENT RNA HELICASE // SUBFAMILY NOT NAMED" "turquoise"
"Manes.04G050100.v8.1" "Manes.04G050100" "(1 of 3) K12471 - epsin (EPN)" "turquoise"
"Manes.04G050400.v8.1" "Manes.04G050400" "(1 of 1) PTHR23077:SF54 - CELL DIVISION CONTROL PROTEIN 48 HOMOLOG B" "turquoise"
"Manes.04G050600.v8.1" "Manes.04G050600" NA "turquoise"
"Manes.04G054100.v8.1" "Manes.04G054100" "(1 of 1) K12880 - THO complex subunit 3 (THOC3)" "turquoise"
"Manes.04G059300.v8.1" "Manes.04G059300" "(1 of 1) PTHR13793:SF100 - HISTONE-LYSINE N-METHYLTRANSFERASE ATX1-RELATED" "turquoise"
"Manes.04G052500.v8.1" "Manes.04G052500" NA "turquoise"
"Manes.04G056600.v8.1" "Manes.04G056600" "(1 of 2) PTHR24411//PTHR24411:SF35 - FAMILY NOT NAMED // BTB/POZ AND MATH DOMAIN-CONTAINING PROTEIN 1-RELATED" "turquoise"
"Manes.04G059048.v8.1" "Manes.04G059048" NA "turquoise"
