"","gene_id","colors","locusName","Pathways","Pathways_Desc","GODescription","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline","gene_metabolite"
"50","Manes.02G110200.v8.1","purple","Manes.02G110200","GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561","glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation","metabolic process","carb","(1 of 1) PTHR11670//PTHR11670:SF40 - ACONITASE // ACONITATE HYDRATASE 1","GO:0008152","","K01681","PF00330 PF00694","PTHR11670 PTHR11670:SF40","aconitase 1","gene"
"51","Manes.02G112500.v8.1","turquoise","Manes.02G112500","PWY-5464; PWY-5690; PWY-6549","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III","magnesium ion binding; isocitrate dehydrogenase (NAD+) activity; tricarboxylic acid cycle; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; NAD binding","carb","(1 of 4) 1.1.1.41 - Isocitrate dehydrogenase (NAD(+)) / Nicotinamide adenine dinucleotide isocitrate dehydrogenase","GO:0000287 GO:0004449 GO:0006099 GO:0016616 GO:0051287 GO:0055114","","K00030","PF00180","PTHR11835 PTHR11835:SF51","isocitrate dehydrogenase 1","gene"
"52","Manes.02G116900.v8.1","blue","Manes.02G116900","PWY-922; PWY-5910","mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","hydroxymethylglutaryl-CoA reductase (NADPH) activity; isoprenoid biosynthetic process; coenzyme A metabolic process; NADP binding","carot","(1 of 5) 1.1.1.34 - Hydroxymethylglutaryl-CoA reductase (NADPH) / HMG-CoA reductase","GO:0004420 GO:0008299 GO:0015936 GO:0016021 GO:0050661 GO:0050662 GO:0055114","","K00021","PF00368","PTHR10572 PTHR10572:SF9","","gene"
"53","Manes.02G120500.v8.1","blue","Manes.02G120500","","","catalytic activity; starch binding","carb","(1 of 1) 2.4.1.19 - Cyclomaltodextrin glucanotransferase / Cyclodextrin glycosyltransferase","GO:0003824 GO:2001070","","","PF00686","PTHR10357 PTHR10357:SF149","","gene"
"54","Manes.02G122500.v8.1","black","Manes.02G122500","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","carb","(1 of 1) PTHR11468:SF4 - ALPHA-GLUCAN PHOSPHORYLASE 2; CYTOSOLIC","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF4","alpha-glucan phosphorylase 2","gene"
"55","Manes.02G132800.v8.1","pink","Manes.02G132800","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","triose-phosphate isomerase activity; metabolic process","carb","(1 of 5) 5.3.1.1 - Triose-phosphate isomerase / Triosephosphate mutase","GO:0004807 GO:0008152","KOG1643","K01803","PF00121","PTHR21139 PTHR21139:SF6","triosephosphate isomerase","gene"
"56","Manes.02G134400.v8.1","brown","Manes.02G134400","PWY-7560","methylerythritol phosphate pathway II","ATP binding; terpenoid biosynthetic process; 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity","carot","(1 of 2) 2.7.1.148 - 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase / CMK","GO:0005524 GO:0016114 GO:0050515","","K00919","PF00288","PTHR20861 PTHR20861:SF2","4-(cytidine 5'-phospho)-2-C-methyl-D-erithritol kinase","gene"
"57","Manes.02G146400.v8.1","royalblue","Manes.02G146400","PWY66-399; PWY-3801; GLUCONEO-PWY; SUCSYN-PWY; PWY-621; PWY-7238; PWY-5659; ANAGLYCOLYSIS-PWY; PWY-622; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation II (sucrose synthase); gluconeogenesis I; sucrose biosynthesis I (from photosynthesis); sucrose degradation III (sucrose invertase); sucrose biosynthesis II; GDP-mannose biosynthesis; glycolysis III (from glucose); starch biosynthesis; homolactic fermentation","glucose-6-phosphate isomerase activity; gluconeogenesis; glycolytic process","carb","(1 of 2) PTHR11469:SF9 - GLUCOSE-6-PHOSPHATE ISOMERASE 1; CHLOROPLASTIC","GO:0004347 GO:0006094 GO:0006096","","K01810","PF00342","PTHR11469 PTHR11469:SF9","phosphoglucose isomerase 1","gene"
"58","Manes.02G154900.v8.1","darkgreen","Manes.02G154900","PWY66-399; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; glycolysis III (from glucose); homolactic fermentation","phosphoglycerate mutase activity; glycolytic process; intramolecular phosphotransferase activity","carb","(1 of 2) K01834 - 2;3-bisphosphoglycerate-dependent phosphoglycerate mutase (PGAM; gpmA)","GO:0004619 GO:0006096 GO:0016868","KOG0235","K01834","PF00300","PTHR11931 PTHR11931:SF6","Phosphoglycerate mutase family protein","gene"
"59","Manes.02G190800.v8.1","turquoise","Manes.02G190800","PWY-5173; PWY-5464; PYRUVDEHYD-PWY","superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA","metabolic process; acyltransferase activity","carb","(1 of 5) K00627 - pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) (DLAT; aceF; pdhC)","GO:0008152 GO:0016746","KOG0557","K00627","PF00198 PF00364 PF02817","PTHR23151 PTHR23151:SF61","2-oxoacid dehydrogenases acyltransferase family protein","gene"
"60","Manes.02G194100.v8.1","turquoise","Manes.02G194100","PWY66-373; PWY-621","sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase)","endo-alpha-N-acetylgalactosaminidase activity","carb","(1 of 2) PTHR31916:SF3 - ALKALINE/NEUTRAL INVERTASE CINV1-RELATED","GO:0033926","","","PF12899","PTHR31916 PTHR31916:SF3","cytosolic invertase 2","gene"
"61","Manes.02G226001.v8.1","salmon","Manes.02G226001","PWY-5486; PWY-6333; PWY-6802; PWY66-21; PWY66-389","pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; ethanol degradation II; phytol degradation","zinc ion binding; oxidoreductase activity","carb","(1 of 1) PTHR11695//PTHR11695:SF449 - ALCOHOL DEHYDROGENASE RELATED // ALCOHOL DEHYDROGENASE-LIKE 6","GO:0008270 GO:0016491 GO:0055114","","K00001","PF00107 PF08240","PTHR11695 PTHR11695:SF449","GroES-like zinc-binding dehydrogenase family protein","gene"
"62","Manes.03G017900.v8.1","turquoise","Manes.03G017900","PWY-7560","methylerythritol phosphate pathway II","catalytic activity; metabolic process; 1-deoxy-D-xylulose-5-phosphate synthase activity; terpenoid biosynthetic process","carot","(1 of 1) KOG0523 - Transketolase","GO:0003824 GO:0008152 GO:0008661 GO:0016114","","K01662","PF02779 PF02780 PF13292","PTHR11624 PTHR11624:SF64","1-deoxy-D-xylulose 5-phosphate synthase 3","gene"
"63","Manes.03G026700.v8.1","grey","Manes.03G026700","PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY","sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation","intracellular glucose homeostasis; hexokinase activity; ATP binding; D-glucose binding; carbohydrate metabolic process; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation","carb","(1 of 6) K00844 - hexokinase (HK)","GO:0001678 GO:0004396 GO:0005524 GO:0005536 GO:0005975 GO:0016773 GO:0046835","","K00844","PF00349 PF03727","PTHR19443 PTHR19443:SF26","hexokinase 1","gene"
"64","Manes.03G029300.v8.1","turquoise","Manes.03G029300","PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","6-phosphofructokinase activity; ATP binding; fructose 6-phosphate metabolic process; glycolytic process","carb","(1 of 4) PTHR13697:SF7 - 6-PHOSPHOFRUCTOKINASE 1-RELATED","GO:0003872 GO:0005524 GO:0006002 GO:0006096","","K00850","PF00365","PTHR13697 PTHR13697:SF7","phosphofructokinase 3","gene"
"65","Manes.03G044400.v8.1","black","Manes.03G044400","PWY-3801","sucrose degradation II (sucrose synthase)","sucrose metabolic process; sucrose synthase activity","carb","(1 of 2) PTHR12526//PTHR12526:SF391 - GLYCOSYLTRANSFERASE // SUCROSE SYNTHASE 1-RELATED","GO:0005985 GO:0016157","","K00695","PF00534 PF00862","PTHR12526 PTHR12526:SF391","sucrose synthase 4","gene"
"66","Manes.03G049200.v8.1","grey","Manes.03G049200","PWY-862; PWY66-373; PWY-621","fructan degradation; sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase)","hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process","carb","(1 of 1) 3.2.1.80 - Fructan beta-fructosidase / Fructanase","GO:0004553 GO:0005975","","K01193","PF00251 PF08244","PTHR31953 PTHR31953:SF14","","gene"
"67","Manes.03G058700.v8.1","red","Manes.03G058700","PWY-5464; PWY-5690; PWY-561","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation","fumarate hydratase activity; tricarboxylic acid cycle; fumarate metabolic process; lyase activity; tricarboxylic acid cycle heteromeric enzyme complex","carb","(1 of 3) 4.2.1.2 - Fumarate hydratase / Fumarase","GO:0004333 GO:0006099 GO:0006106 GO:0016829 GO:0045239","","K01679","PF00206 PF10415","PTHR11444 PTHR11444:SF1","fumarase 1","gene"
"68","Manes.03G096600.v8.1","turquoise","Manes.03G096600","PWY-922; PWY-5910","mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","hydroxymethylglutaryl-CoA reductase (NADPH) activity; isoprenoid biosynthetic process; coenzyme A metabolic process; NADP binding","carot","(1 of 5) 1.1.1.34 - Hydroxymethylglutaryl-CoA reductase (NADPH) / HMG-CoA reductase","GO:0004420 GO:0008299 GO:0015936 GO:0016021 GO:0050661 GO:0050662 GO:0055114","","K00021","PF00368","PTHR10572 PTHR10572:SF9","","gene"
"69","Manes.03G083500.v8.1","magenta","Manes.03G083500","PWY-695","abscisic acid biosynthesis","","carot","(1 of 6) K09840 - 9-cis-epoxycarotenoid dioxygenase (NCED)","","","K09840","PF03055","PTHR10543 PTHR10543:SF26","nine-cis-epoxycarotenoid dioxygenase 3","gene"
"70","Manes.03G083900.v8.1","turquoise","Manes.03G083900","PWY-6520","nonaprenyl diphosphate biosynthesis II","isoprenoid biosynthetic process","carot","(1 of 1) K14066 - geranyl diphosphate synthase (GPS)","GO:0008299","KOG0776","K14066","PF00348","PTHR12001 PTHR12001:SF47","geranyl diphosphate synthase 1","gene"
"71","Manes.03G103200.v8.1","turquoise","Manes.03G103200","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation","3-beta-hydroxy-delta5-steroid dehydrogenase (NAD+) activity; malate metabolic process; steroid biosynthetic process; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity","carb","(1 of 6) K00026 - malate dehydrogenase (MDH2)","GO:0003854 GO:0006108 GO:0006694 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00026","PF01073 PF02866","PTHR11540","Lactate/malate dehydrogenase family protein","gene"
"72","Manes.03G129800.v8.1","turquoise","Manes.03G129800","GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561","glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation","metabolic process","carb","(1 of 4) 4.2.1.3 - Aconitate hydratase / Citrate(isocitrate) hydro-lyase","GO:0008152","","K01681","PF00330 PF00694","PTHR11670 PTHR11670:SF37","","gene"
"73","Manes.03G133300.v8.1","turquoise","Manes.03G133300","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","catalytic activity; 1,4-alpha-glucan branching enzyme activity; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; glycogen biosynthetic process; cation binding","carb","(1 of 2) PTHR10357:SF119 - 1;4-ALPHA-GLUCAN-BRANCHING ENZYME 3; CHLOROPLASTIC/AMYLOPLASTIC","GO:0003824 GO:0003844 GO:0004553 GO:0005975 GO:0005978 GO:0043169","","K00700","PF00128 PF02806 PF02922","PTHR10357 PTHR10357:SF119","Alpha amylase family protein","gene"
"74","Manes.03G143700.v8.1","turquoise","Manes.03G143700","PWY-5910; PWY-6859; PWY-5123","superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate); <i>all-trans</i>-farnesol biosynthesis; <i>trans, trans</i>-farnesyl diphosphate biosynthesis","isoprenoid biosynthetic process","carot","(1 of 3) K00787 - farnesyl diphosphate synthase (FDPS)","GO:0008299","KOG0711","K00787","PF00348","PTHR11525","","gene"
"75","Manes.03G150400.v8.1","turquoise","Manes.03G150400","PWY-695","abscisic acid biosynthesis","","carot","(1 of 2) PTHR10543//PTHR10543:SF48 - BETA-CAROTENE DIOXYGENASE // 9-CIS-EPOXYCAROTENOID DIOXYGENASE NCED6; CHLOROPLASTIC","","","K09840","PF03055","PTHR10543 PTHR10543:SF48","nine-cis-epoxycarotenoid dioxygenase 6","gene"
"76","Manes.03G155800.v8.1","blue","Manes.03G155800","PWY-6724","starch degradation II","polysaccharide catabolic process; beta-amylase activity","carb","(1 of 7) K01177 - beta-amylase (E3.2.1.2)","GO:0000272 GO:0016161","","K01177","PF01373","PTHR31352 PTHR31352:SF13","beta-amylase 1","gene"
"77","Manes.03G164100.v8.1","green","Manes.03G164100","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation","malate metabolic process; oxidoreductase activity; malate dehydrogenase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity","carb","(1 of 5) K00025 - malate dehydrogenase (MDH1)","GO:0006108 GO:0016491 GO:0016615 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00025","PF00056 PF02866","PTHR23382 PTHR23382:SF7","Lactate/malate dehydrogenase family protein","gene"
"78","Manes.03G171200.v8.1","pink","Manes.03G171200","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding","carb","(1 of 2) PTHR11817:SF14 - PLASTIDIAL PYRUVATE KINASE 1; CHLOROPLASTIC","GO:0000287 GO:0004743 GO:0006096 GO:0030955","KOG2323","K00873","PF00224 PF02887","PTHR11817 PTHR11817:SF14","Pyruvate kinase family protein","gene"
"79","Manes.03G191000.v8.1","green","Manes.03G191000","PWY-6724","starch degradation II","polysaccharide catabolic process; beta-amylase activity","carb","(1 of 1) PTHR31352:SF3 - INACTIVE BETA-AMYLASE 9","GO:0000272 GO:0016161","","","PF01373","PTHR31352 PTHR31352:SF3","beta-amylase 3","gene"
"80","Manes.03G198900.v8.1","turquoise","Manes.03G198900","PWY-3801","sucrose degradation II (sucrose synthase)","sucrose metabolic process; sucrose synthase activity","carb","(1 of 2) PTHR12526//PTHR12526:SF348 - GLYCOSYLTRANSFERASE // SUCROSE SYNTHASE 2","GO:0005985 GO:0016157","","K00695","PF00534 PF00862","PTHR12526 PTHR12526:SF348","sucrose synthase 2","gene"
"81","Manes.03G202500.v8.1","yellow","Manes.03G202500","PWY-5173; PWY-5464; PWY-5046; PWY-5084; PYRUVDEHYD-PWY; GLYCLEAV-PWY","superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; 2-oxoisovalerate decarboxylation to isobutanoyl-CoA; 2-oxoglutarate decarboxylation to succinyl-CoA; pyruvate decarboxylation to acetyl CoA; glycine cleavage","dihydrolipoyl dehydrogenase activity; tRNA processing; oxidoreductase activity; cell redox homeostasis; flavin adenine dinucleotide binding","carb","(1 of 3) 1.8.1.4 - Dihydrolipoyl dehydrogenase / Lipoyl dehydrogenase","GO:0004148 GO:0008033 GO:0016491 GO:0045454 GO:0050660 GO:0055114","","K00382","PF00070 PF01134 PF02852","PTHR22912 PTHR22912:SF165","lipoamide dehydrogenase 1","gene"
"82","Manes.03G206800.v8.1","turquoise","Manes.03G206800","PWY-3821; PWY-6527; PWY66-422; PWY-7344","D-galactose degradation III; stachyose degradation; D-galactose degradation V (Leloir pathway); UDP-D-galactose biosynthesis","galactokinase activity; ATP binding; cytoplasm; galactose metabolic process; metabolic process; kinase activity; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation","carb","(1 of 2) 2.7.1.6 - Galactokinase","GO:0004335 GO:0005524 GO:0005737 GO:0006012 GO:0008152 GO:0016301 GO:0016773 GO:0046835","KOG0631","K18674","PF00288 PF08544 PF10509","PTHR10457 PTHR10457:SF7","Mevalonate/galactokinase family protein","gene"
"83","Manes.03G209100.v8.1","pink","Manes.03G209100","PWY-5173; PWY-5464; PWY-5046; PWY-5084; PYRUVDEHYD-PWY; GLYCLEAV-PWY","superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; 2-oxoisovalerate decarboxylation to isobutanoyl-CoA; 2-oxoglutarate decarboxylation to succinyl-CoA; pyruvate decarboxylation to acetyl CoA; glycine cleavage","dihydrolipoyl dehydrogenase activity; tRNA processing; oxidoreductase activity; cell redox homeostasis; flavin adenine dinucleotide binding","carb","(1 of 1) PTHR22912//PTHR22912:SF148 - DISULFIDE OXIDOREDUCTASE // SUBFAMILY NOT NAMED","GO:0004148 GO:0008033 GO:0016491 GO:0045454 GO:0050660 GO:0055114","","K00382","PF00070 PF01134 PF02852","PTHR22912 PTHR22912:SF148","mitochondrial lipoamide dehydrogenase 1","gene"
"84","Manes.04G021700.v8.1","red","Manes.04G021700","PWY-7560","methylerythritol phosphate pathway II","iron ion binding; isoprenoid biosynthetic process; terpenoid biosynthetic process; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity (ferredoxin)","carot","(1 of 2) 1.17.7.1 - (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin) / 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase","GO:0005506 GO:0008299 GO:0016114 GO:0046429 GO:0055114","","K03526","PF04551","PTHR30454 PTHR30454:SF0","4-hydroxy-3-methylbut-2-enyl diphosphate synthase","gene"
"85","Manes.04G043700.v8.1","black","Manes.04G043700","PWY-4101; PWY-3801; PWY-621","D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase)","ribokinase activity; D-ribose metabolic process","carb","(1 of 2) PTHR10584:SF168 - F14I3.3 PROTEIN-RELATED","GO:0004747 GO:0006014","KOG2855","K00847","PF00294","PTHR10584 PTHR10584:SF168","pfkB-like carbohydrate kinase family protein","gene"
"86","Manes.04G053480.v8.1","yellow","Manes.04G053480","PWY-5464; PWY-5690","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi)","catalytic activity; metabolic process","carb","(1 of 2) K01899 - succinyl-CoA synthetase alpha subunit (LSC1)","GO:0003824 GO:0008152 GO:0048037","","K01899","PF00549 PF02629","PTHR11117 PTHR11117:SF9","Succinyl-CoA ligase, alpha subunit","gene"
"87","Manes.04G078300.v8.1","turquoise","Manes.04G078300","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","triose-phosphate isomerase activity; metabolic process","carb","(1 of 2) PTHR21139//PTHR21139:SF7 - TRIOSEPHOSPHATE ISOMERASE // TRIOSEPHOSPHATE ISOMERASE; CHLOROPLASTIC","GO:0004807 GO:0008152","KOG1643","K01803","PF00121","PTHR21139 PTHR21139:SF7","triosephosphate isomerase","gene"
"88","Manes.04G083800.v8.1","blue","Manes.04G083800","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","fructose-bisphosphate aldolase activity; glycolytic process","carb","(1 of 3) PTHR11627:SF15 - FRUCTOSE-BISPHOSPHATE ALDOLASE 2; CHLOROPLASTIC-RELATED","GO:0004332 GO:0006096","","K01623","PF00274","PTHR11627 PTHR11627:SF15","fructose-bisphosphate aldolase 2","gene"
"89","Manes.04G134700.v8.1","turquoise","Manes.04G134700","PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY","sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation","intracellular glucose homeostasis; hexokinase activity; ATP binding; D-glucose binding; carbohydrate metabolic process; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation","carb","(1 of 6) K00844 - hexokinase (HK)","GO:0001678 GO:0004396 GO:0005524 GO:0005536 GO:0005975 GO:0016773 GO:0046835","","K00844","PF00349 PF03727","PTHR19443 PTHR19443:SF26","","gene"
"90","Manes.04G141800.v8.1","darkred","Manes.04G141800","PWY-5173; PWY-5464; PYRUVDEHYD-PWY","superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA","dihydrolipoyllysine-residue acetyltransferase activity; pyruvate metabolic process; metabolic process; acyltransferase activity; pyruvate dehydrogenase complex","carb","(1 of 2) PTHR23151//PTHR23151:SF59 - DIHYDROLIPOAMIDE ACETYL/SUCCINYL-TRANSFERASE-RELATED // SUBFAMILY NOT NAMED","GO:0004742 GO:0006090 GO:0008152 GO:0016746 GO:0045254","","K00627","PF00198 PF00364 PF02817","PTHR23151 PTHR23151:SF59","Dihydrolipoamide acetyltransferase, long form protein","gene"
"91","Manes.04G160400.v8.1","lightgreen","Manes.04G160400","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding","carb","(1 of 3) PTHR11817:SF5 - PYRUVATE KINASE-RELATED","GO:0000287 GO:0004743 GO:0006096 GO:0030955","","K00873","PF00224 PF02887","PTHR11817 PTHR11817:SF5","Pyruvate kinase family protein","gene"
"92","Manes.04G164700.v8.1","turquoise","Manes.04G164700","PWY-695","abscisic acid biosynthesis","metabolic process; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity; oxidoreductase activity; siderophore biosynthetic process","carot","(1 of 1) K09841 - xanthoxin dehydrogenase (ABA2)","GO:0008152 GO:0008667 GO:0016491 GO:0019290 GO:0055114","KOG0725","K09841","PF13561","PTHR24322 PTHR24322:SF301","NAD(P)-binding Rossmann-fold superfamily protein","gene"
"93","Manes.05G000300.v8.1","darkgreen","Manes.05G000300","PWY-5464; PWY-5690; PWY-561","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation","fumarate hydratase activity; tricarboxylic acid cycle; fumarate metabolic process; lyase activity; tricarboxylic acid cycle heteromeric enzyme complex","carb","(1 of 3) 4.2.1.2 - Fumarate hydratase / Fumarase","GO:0004333 GO:0006099 GO:0006106 GO:0016829 GO:0045239","","K01679","PF00206 PF10415","PTHR11444 PTHR11444:SF1","fumarase 1","gene"
"94","Manes.05G016500.v8.1","pink","Manes.05G016500","PWY-5173; PWY-5464; PYRUVDEHYD-PWY","superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA","pyruvate dehydrogenase (acetyl-transferring) activity; acetyl-CoA biosynthetic process from pyruvate; metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor; intracellular membrane-bounded organelle","carb","(1 of 2) PTHR11516//PTHR11516:SF25 - PYRUVATE DEHYDROGENASE E1 COMPONENT; ALPHA SUBUNIT  BACTERIAL AND ORGANELLAR // PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT ALPHA-3; CHLOROPLASTIC","GO:0004739 GO:0006086 GO:0008152 GO:0016624 GO:0043231","","K00161","PF00676","PTHR11516 PTHR11516:SF25","pyruvate dehydrogenase E1 alpha","gene"
"95","Manes.05G034800.v8.1","black","Manes.05G034800","PWY-6724","starch degradation II","polysaccharide catabolic process; beta-amylase activity","carb","(1 of 7) K01177 - beta-amylase (E3.2.1.2)","GO:0000272 GO:0016161","","K01177","PF01373","PTHR31352 PTHR31352:SF6","beta-amylase 2","gene"
"96","Manes.05G034900.v8.1","tan","Manes.05G034900","PWY-6724","starch degradation II","polysaccharide catabolic process; beta-amylase activity","carb","(1 of 1) PTHR31352:SF2 - BETA-AMYLASE 7","GO:0000272 GO:0016161","","","PF01373 PF05687","PTHR31352 PTHR31352:SF2","beta-amylase 7","gene"
