"Abbreviation","Best-hit-arabi-defline","bicor","class","colors","cor_direction","Description","gene_id","gene_metabolite","GO","GODescription","interaction_class","name","Pathways","Pathways_Desc","selected","shared name","source_class","sourceNode","target_class","targetNode"
"","heat shock transcription factor  C1",,"NA","purple","","(1 of 2) PTHR10015//PTHR10015:SF187 - HEAT SHOCK TRANSCRIPTION FACTOR // HEAT STRESS TRANSCRIPTION FACTOR C-1","Manes.03G020500.v8.1","gene","GO:0003700 GO:0005634 GO:0006355 GO:0043565","DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding","","Manes.03G020500","","","false","Manes.03G020500","","",,""
"","putative protein kinase 1",,"NA","purple","","(1 of 2) K08866 - serine/threonine-protein kinase TTK/MPS1 (TTK; MPS1)","Manes.02G160000.v8.1","gene","GO:0004672 GO:0004712 GO:0004713 GO:0005524 GO:0006468 GO:0007093 GO:0051304","protein kinase activity; protein serine/threonine/tyrosine kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation; mitotic cell cycle checkpoint signaling; chromosome separation","","Manes.02G160000","","","false","Manes.02G160000","","",,""
"","Class I glutamine amidotransferase-like superfamily protein",,"NA","purple","","(1 of 2) 3.5.1.94 - Gamma-glutamyl-gamma-aminobutyrate hydrolase / Gamma-glutamyl-GABA hydrolase","Manes.02G070700.v8.1","gene","","","","Manes.02G070700","","","false","Manes.02G070700","","",,""
"","Protein of unknown function",,"NA","purple","","(1 of 2) PTHR31422//PTHR31422:SF1 - FAMILY NOT NAMED // EXPRESSED PROTEIN","Manes.14G142200.v8.1","gene","","","","Manes.14G142200","","","false","Manes.14G142200","","",,""
"","",,"NA","purple","","(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","Manes.10G141601.v8.1","gene","GO:0043531","ADP binding","","Manes.10G141601","","","false","Manes.10G141601","","",,""
"","",,"NA","purple","","(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","Manes.10G141533.v8.1","gene","GO:0043531","ADP binding","","Manes.10G141533","","","false","Manes.10G141533","","",,""
"","",,"NA","purple","","","Manes.02G032685.v8.1","gene","","","","Manes.02G032685","","","false","Manes.02G032685","","",,""
"TC","NA",,"carot","purple","","NA","total_carotenoids","metabolite","NA","NA","","total_carotenoids","NA","NA","false","total_carotenoids","","",,""
"phytofluene","NA",,"carot","purple","","NA","Phytofluene","metabolite","NA","NA","","Phytofluene","NA","NA","false","Phytofluene","","",,""
"phytoene","NA",,"carot","purple","","NA","Phytoene","metabolite","NA","NA","","Phytoene","NA","NA","false","Phytoene","","",,""
"","",,"NA","purple","","(1 of 270) PF13639 - Ring finger domain (zf-RING_2)","Manes.18G113400.v8.1","gene","GO:0005515 GO:0008270","protein binding; zinc ion binding","","Manes.18G113400","","","false","Manes.18G113400","","",,""
"","Predicted AT-hook DNA-binding family protein",,"NA","purple","","(1 of 2) PTHR31100:SF1 - AT-HOOK MOTIF NUCLEAR LOCALIZED PROTEIN 17-RELATED","Manes.18G059800.v8.1","gene","","","","Manes.18G059800","","","false","Manes.18G059800","","",,""
"","",,"NA","purple","","(1 of 28) PF13202 - EF hand (EF-hand_5)","Manes.18G036500.v8.1","gene","GO:0005509","calcium ion binding","","Manes.18G036500","","","false","Manes.18G036500","","",,""
"","pinoresinol reductase 1",,"NA","purple","","(1 of 2) 1.23.1.4 - (-)-lariciresinol reductase / Pinoresinol/lariciresinol reductase","Manes.17G009100.v8.1","gene","GO:0003824 GO:0050662","catalytic activity","","Manes.17G009100","PWY-6824; PWY-5466","justicidin B biosynthesis; matairesinol biosynthesis","false","Manes.17G009100","","",,""
"","myb-like transcription factor family protein",,"NA","purple","","(1 of 4) PTHR12374//PTHR12374:SF19 - TRANSCRIPTIONAL ADAPTOR 2  ADA2 -RELATED // SUBFAMILY NOT NAMED","Manes.16G103300.v8.1","gene","GO:0003676 GO:0008270","nucleic acid binding; zinc ion binding","","Manes.16G103300","","","false","Manes.16G103300","","",,""
"","membrane bound O-acyl transferase (MBOAT) family protein",,"NA","purple","","(1 of 2) K11155 - diacylglycerol O-acyltransferase 1 (DGAT1)","Manes.16G100000.v8.1","gene","GO:0004144 GO:0008374 GO:0019432","diacylglycerol O-acyltransferase activity; O-acyltransferase activity; triglyceride biosynthetic process","","Manes.16G100000","TRIGLSYN-PWY","diacylglycerol and triacylglycerol biosynthesis","false","Manes.16G100000","","",,""
"","",,"NA","purple","","(1 of 1) PTHR23070//PTHR23070:SF19 - BCS1 AAA-TYPE ATPASE // SUBFAMILY NOT NAMED","Manes.15G175500.v8.1","gene","GO:0005524","ATP binding","","Manes.15G175500","","","false","Manes.15G175500","","",,""
"","",,"NA","purple","","(1 of 5) K08272 - calcium binding protein 39 (CAB39; MO25)","Manes.15G064400.v8.1","gene","","","","Manes.15G064400","","","false","Manes.15G064400","","",,""
"","Protein of unknown function",,"NA","purple","","(1 of 21) PF04576 - Zein-binding (Zein-binding)","Manes.15G053700.v8.1","gene","","","","Manes.15G053700","","","false","Manes.15G053700","","",,""
"","",,"NA","purple","","(1 of 2) PTHR10209//PTHR10209:SF135 - OXIDOREDUCTASE; 2OG-FE II  OXYGENASE FAMILY PROTEIN // SUBFAMILY NOT NAMED","Manes.15G038950.v8.1","gene","GO:0016491 GO:0055114","oxidoreductase activity","","Manes.15G038950","","","false","Manes.15G038950","","",,""
"","Protein of unknown function (DUF1262)",,"NA","purple","","(1 of 3) PF06880 - Protein of unknown function (DUF1262) (DUF1262)","Manes.14G094500.v8.1","gene","","","","Manes.14G094500","","","false","Manes.14G094500","","",,""
"","Homeodomain-like superfamily protein",,"NA","purple","","(1 of 4) PTHR12374//PTHR12374:SF26 - TRANSCRIPTIONAL ADAPTOR 2  ADA2 -RELATED // F25A4.19 PROTEIN","Manes.14G071900.v8.1","gene","","","","Manes.14G071900","","","false","Manes.14G071900","","",,""
"","UDP-Glycosyltransferase superfamily protein",,"NA","purple","","(1 of 5) PTHR11926//PTHR11926:SF396 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // UDP-GLYCOSYLTRANSFERASE 75B2","Manes.13G056600.v8.1","gene","GO:0008152 GO:0016758","metabolic process; hexosyltransferase activity","","Manes.13G056600","","","false","Manes.13G056600","","",,""
"","similar to RCD one 2",,"NA","purple","","(1 of 2) PTHR32263:SF8 - INACTIVE POLY [ADP-RIBOSE] POLYMERASE SRO2-RELATED","Manes.13G029600.v8.1","gene","GO:0003950","NAD+-protein poly-ADP-ribosyltransferase activity","","Manes.13G029600","","","false","Manes.13G029600","","",,""
"","TRICHOME BIREFRINGENCE-LIKE 14",,"NA","purple","","(1 of 53) PF14416 - PMR5 N terminal Domain (PMR5N)","Manes.12G157400.v8.1","gene","","","","Manes.12G157400","","","false","Manes.12G157400","","",,""
"","",,"NA","purple","","(1 of 1) 1.14.13.113 - FAD-dependent urate hydroxylase / Urate hydroxylase","Manes.12G149600.v8.1","gene","","","","Manes.12G149600","","","false","Manes.12G149600","","",,""
"","",,"NA","purple","","(1 of 51) KOG4172 - Predicted E3 ubiquitin ligase","Manes.12G069400.v8.1","gene","GO:0005515 GO:0008270","protein binding; zinc ion binding","","Manes.12G069400","","","false","Manes.12G069400","","",,""
"","Oxidoreductase",,"NA","purple","","(1 of 12) 1.6.5.5 - NADPH:quinone reductase / Zeta-crystallin","Manes.12G049701.v8.1","gene","GO:0008270 GO:0016491 GO:0055114","zinc ion binding; oxidoreductase activity","","Manes.12G049701","","","false","Manes.12G049701","","",,""
"","P-loop containing nucleoside triphosphate hydrolases superfamily protein",,"NA","purple","","(1 of 1) PTHR14241//PTHR14241:SF10 - INTERFERON-INDUCED PROTEIN 44 // VON WILLEBRAND FACTOR A DOMAIN-CONTAINING PROTEIN DDB_G0292188","Manes.12G049300.v8.1","gene","","","","Manes.12G049300","","","false","Manes.12G049300","","",,""
"","similar to RCD one 2",,"NA","purple","","(1 of 2) PTHR32263//PTHR32263:SF8 - FAMILY NOT NAMED // INACTIVE POLY [ADP-RIBOSE] POLYMERASE SRO2-RELATED","Manes.12G028100.v8.1","gene","GO:0003950","NAD+-protein poly-ADP-ribosyltransferase activity","","Manes.12G028100","","","false","Manes.12G028100","","",,""
"","Dof-type zinc finger DNA-binding family protein",,"NA","purple","","(1 of 45) PF02701 - Dof domain; zinc finger (zf-Dof)","Manes.11G131600.v8.1","gene","GO:0003677 GO:0006355","DNA binding; regulation of DNA-templated transcription","","Manes.11G131600","","","false","Manes.11G131600","","",,""
"","",,"NA","purple","","(1 of 16) PF02893 - GRAM domain (GRAM)","Manes.11G078800.v8.1","gene","","","","Manes.11G078800","","","false","Manes.11G078800","","",,""
"","",,"NA","purple","","(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","Manes.10G142200.v8.1","gene","GO:0043531","ADP binding","","Manes.10G142200","","","false","Manes.10G142200","","",,""
"","",,"NA","purple","","(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","Manes.10G141700.v8.1","gene","GO:0043531","ADP binding","","Manes.10G141700","","","false","Manes.10G141700","","",,""
"","",,"NA","purple","","(1 of 24) 2.4.1.324 - 7-deoxyloganetin glucosyltransferase / UGT85A24","Manes.10G105300.v8.1","gene","GO:0008152 GO:0016758","metabolic process; hexosyltransferase activity","","Manes.10G105300","","","false","Manes.10G105300","","",,""
"","Rubber elongation factor protein (REF)",,"NA","purple","","(1 of 5) PF05755 - Rubber elongation factor protein (REF) (REF)","Manes.09G170000.v8.1","gene","","","","Manes.09G170000","","","false","Manes.09G170000","","",,""
"","ARF GAP-like zinc finger-containing protein ZIGA4",,"NA","purple","","(1 of 2) PTHR23180:SF202 - ADP-RIBOSYLATION FACTOR GTPASE-ACTIVATING PROTEIN AGD14-RELATED","Manes.09G135500.v8.1","gene","GO:0005096","GTPase activator activity","","Manes.09G135500","","","false","Manes.09G135500","","",,""
"","zinc finger protein 8",,"NA","purple","","","Manes.09G038600.v8.1","gene","GO:0046872","metal ion binding","","Manes.09G038600","","","false","Manes.09G038600","","",,""
"","",,"NA","purple","","(1 of 2) PTHR32002:SF3 - PROTEIN NLP1-RELATED","Manes.07G059900.v8.1","gene","GO:0005515","protein binding","","Manes.07G059900","","","false","Manes.07G059900","","",,""
"","pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",,"carb","purple","","(1 of 2) PTHR11817//PTHR11817:SF21 - PYRUVATE KINASE // SUBFAMILY NOT NAMED","Manes.07G056100.v8.1","gene","GO:0000287 GO:0004743 GO:0006096 GO:0030955","magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding","","Manes.07G056100","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants)","false","Manes.07G056100","","",,""
"","",,"NA","purple","","(1 of 49) K09338 - homeobox-leucine zipper protein (HD-ZIP)","Manes.05G184800.v8.1","gene","GO:0003677 GO:0003700 GO:0006355 GO:0043565","DNA binding; DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding","","Manes.05G184800","","","false","Manes.05G184800","","",,""
"","alpha/beta-Hydrolases superfamily protein",,"NA","purple","","(1 of 2) PTHR21493//PTHR21493:SF104 - CGI-141-RELATED/LIPASE CONTAINING PROTEIN // SUBFAMILY NOT NAMED","Manes.05G174700.v8.1","gene","GO:0006629","lipid metabolic process","","Manes.05G174700","LIPAS-PWY","triacylglycerol degradation","false","Manes.05G174700","","",,""
"","",,"NA","purple","","(1 of 152) PF02365 - No apical meristem (NAM) protein (NAM)","Manes.05G163200.v8.1","gene","GO:0003677 GO:0006355","DNA binding; regulation of DNA-templated transcription","","Manes.05G163200","","","false","Manes.05G163200","","",,""
"","ubiquitin-conjugating enzyme 18",,"NA","purple","","(1 of 1) PTHR24067:SF125 - UBIQUITIN-CONJUGATING ENZYME E2 18-RELATED","Manes.05G154600.v8.1","gene","","","","Manes.05G154600","PWY-7511","protein ubiquitylation","false","Manes.05G154600","","",,""
"","SET domain protein 25",,"NA","purple","","(1 of 1) PTHR22884//PTHR22884:SF295 - SET DOMAIN PROTEINS // HISTONE-LYSINE N-METHYLTRANSFERASE SETD1A","Manes.05G113300.v8.1","gene","GO:0005515","protein binding","","Manes.05G113300","","","false","Manes.05G113300","","",,""
"","",,"NA","purple","","(1 of 4) PTHR22814:SF75 - HEAVY METAL TRANSPORT/DETOXIFICATION DOMAIN-CONTAINING PROTEIN","Manes.05G064600.v8.1","gene","GO:0030001 GO:0046872","metal ion transport; metal ion binding","","Manes.05G064600","","","false","Manes.05G064600","","",,""
"","Regulator of Vps4 activity in the MVB pathway protein",,"NA","purple","","(1 of 3) PTHR12161//PTHR12161:SF14 - UNCHARACTERIZED DUF292 // REGULATOR OF VPS4","Manes.04G124400.v8.1","gene","","","","Manes.04G124400","","","false","Manes.04G124400","","",,""
"","",,"NA","purple","","(1 of 3) K17302 - coatomer; subunit beta' (COPB2; SEC27)","Manes.04G122700.v8.1","gene","GO:0005515","protein binding","","Manes.04G122700","","","false","Manes.04G122700","","",,""
"","Dof-type zinc finger DNA-binding family protein",,"NA","purple","","(1 of 45) PF02701 - Dof domain; zinc finger (zf-Dof)","Manes.04G033900.v8.1","gene","GO:0003677 GO:0006355","DNA binding; regulation of DNA-templated transcription","","Manes.04G033900","","","false","Manes.04G033900","","",,""
"","auxin-induced protein 13",,"NA","purple","","(1 of 4) PTHR31734:SF6 - AUXIN-RESPONSIVE PROTEIN IAA10-RELATED","Manes.03G158300.v8.1","gene","GO:0005634 GO:0006355","nucleus; regulation of DNA-templated transcription","","Manes.03G158300","","","false","Manes.03G158300","","",,""
"","",,"NA","purple","","(1 of 44) PF03140 - Plant protein of unknown function (DUF247)","Manes.03G150800.v8.1","gene","","","","Manes.03G150800","","","false","Manes.03G150800","","",,""
"","TRICHOME BIREFRINGENCE-LIKE 41",,"NA","purple","","(1 of 1) PTHR32285:SF58 - PROTEIN TRICHOME BIREFRINGENCE-LIKE 41","Manes.03G092500.v8.1","gene","","","","Manes.03G092500","","","false","Manes.03G092500","","",,""
"","Protein kinase superfamily protein",,"NA","purple","","(1 of 1569) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase","Manes.03G086600.v8.1","gene","GO:0004672 GO:0004713 GO:0005524 GO:0006468","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation","","Manes.03G086600","","","false","Manes.03G086600","","",,""
"","(1 of 1) PTHR34282:SF2 - GENOMIC DNA",,"NA","purple","","(1 of 2) PTHR34282//PTHR34282:SF2 - FAMILY NOT NAMED // GENOMIC DNA; CHROMOSOME 3; P1 CLONE:MSD24","Manes.03G022200.v8.1","gene","","","","Manes.03G022200","","","false","Manes.03G022200","","",,""
"","",,"NA","purple","","(1 of 32) PF00083 - Sugar (and other) transporter (Sugar_tr)","Manes.03G021100.v8.1","gene","GO:0016020 GO:0016021 GO:0022857 GO:0022891 GO:0055085","membrane; transmembrane transporter activity; transmembrane transport","","Manes.03G021100","","","false","Manes.03G021100","","",,""
"","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein",,"NA","purple","","(1 of 2) K01590 - histidine decarboxylase (hdc; HDC)","Manes.02G177900.v8.1","gene","GO:0016831 GO:0019752 GO:0030170","carboxy-lyase activity; carboxylic acid metabolic process; pyridoxal phosphate binding","","Manes.02G177900","","","false","Manes.02G177900","","",,""
"","beta-tonoplast intrinsic protein",,"NA","purple","","(1 of 3) PTHR19139//PTHR19139:SF30 - AQUAPORIN TRANSPORTER // AQUAPORIN TIP3-1-RELATED","Manes.02G118300.v8.1","gene","GO:0005215 GO:0006810 GO:0016020","transporter activity; transport; membrane","","Manes.02G118300","","","false","Manes.02G118300","","",,""
"","SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein",,"NA","purple","","(1 of 2) PTHR11106//PTHR11106:SF58 - GANGLIOSIDE INDUCED DIFFERENTIATION ASSOCIATED PROTEIN 2-RELATED // SUBFAMILY NOT NAMED","Manes.02G111300.v8.1","gene","","","","Manes.02G111300","","","false","Manes.02G111300","","",,""
"","",,"NA","purple","","(1 of 4) PTHR12565//PTHR12565:SF128 - STEROL REGULATORY ELEMENT-BINDING PROTEIN // TRANSCRIPTION FACTOR BHLH75","Manes.02G068800.v8.1","gene","GO:0046983","protein dimerization activity","","Manes.02G068800","","","false","Manes.02G068800","","",,""
"","PLC-like phosphodiesterases superfamily protein",,"NA","purple","","(1 of 4) PTHR13593//PTHR13593:SF46 - UNCHARACTERIZED // F21F23.12 PROTEIN","Manes.02G058400.v8.1","gene","","","","Manes.02G058400","","","false","Manes.02G058400","","",,""
"","",,"NA","purple","","","Manes.02G057200.v8.1","gene","","","","Manes.02G057200","","","false","Manes.02G057200","","",,""
"","beta vacuolar processing enzyme",,"NA","purple","","(1 of 2) PTHR12000//PTHR12000:SF16 - HEMOGLOBINASE FAMILY MEMBER // SUBFAMILY NOT NAMED","Manes.02G035300.v8.1","gene","GO:0006508 GO:0008233","proteolysis; peptidase activity","","Manes.02G035300","","","false","Manes.02G035300","","",,""
"","",,"NA","purple","","","Manes.02G034600.v8.1","gene","","","","Manes.02G034600","","","false","Manes.02G034600","","",,""
"","",,"NA","purple","","(1 of 2) KOG0490 - Transcription factor; contains HOX domain","Manes.01G191500.v8.1","gene","GO:0003677 GO:0003700 GO:0006355 GO:0043565","DNA binding; DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding","","Manes.01G191500","","","false","Manes.01G191500","","",,""
"","triacylglycerol degradation",,"NA","purple","","(1 of 6) PTHR22835//PTHR22835:SF184 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // GDSL ESTERASE/LIPASE EXL1-RELATED","Manes.01G149000.v8.1","gene","GO:0016788","hydrolase activity","","Manes.01G149000","acting on ester bonds","LIPAS-PWY","false","Manes.01G149000","","",,""
"","BAX inhibitor 1",,"NA","purple","","(1 of 2) PTHR23291:SF34 - BAX INHIBITOR 1","Manes.01G087400.v8.1","gene","","","","Manes.01G087400","","","false","Manes.01G087400","","",,""
"","",,"NA","purple","","(1 of 2) PTHR10996:SF131 - GLYOXYLATE/HYDROXYPYRUVATE REDUCTASE HPR3","Manes.01G070300.v8.1","gene","GO:0004616 GO:0008152 GO:0016616 GO:0051287 GO:0055114","phosphogluconate dehydrogenase (decarboxylating) activity; metabolic process; oxidoreductase activity","","Manes.01G070300","acting on the CH-OH group of donors","NAD or NADP as acceptor; NAD binding","false","Manes.01G070300","","",,""
"","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family",,"NA","purple","","(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2)","Manes.01G051530.v8.1","gene","","","","Manes.01G051530","","","false","Manes.01G051530","","",,""
"","(1 of 2) PTHR35485:SF1 - EXPRESSED PROTEIN",,"NA","purple","","(1 of 2) PTHR35485:SF1 - EXPRESSED PROTEIN","Manes.01G009800.v8.1","gene","","","","Manes.01G009800","","","false","Manes.01G009800","","",,""
"Viola/BC","NA",,"carot","purple","","NA","ratio_viola_bc","metabolite","NA","NA","","ratio_viola_bc","NA","NA","false","ratio_viola_bc","","",,""
"b-carotene","NA",,"carot","purple","","NA","Beta.Carotene","metabolite","NA","NA","","Beta.Carotene","NA","NA","false","Beta.Carotene","","",,""
"z-carotene","NA",,"carot","purple","","NA","Zeta.Carotene","metabolite","NA","NA","","Zeta.Carotene","NA","NA","false","Zeta.Carotene","","",,""
"","",,"NA","purple","","(1 of 5) PF00646//PF08268 - F-box domain (F-box) // F-box associated domain (FBA_3)","Manes.18G107800.v8.1","gene","GO:0005515","protein binding","","Manes.18G107800","","","false","Manes.18G107800","","",,""
"SProtease","Proteinase inhibitor",,"NA","purple","","(1 of 2) PTHR10795//PTHR10795:SF316 - PROPROTEIN CONVERTASE SUBTILISIN/KEXIN // SERINE PROTEASE-LIKE PROTEIN-RELATED","Manes.18G101100.v8.1","gene","","","","Manes.18G101100","","","false","Manes.18G101100","","",,""
"","",,"NA","purple","","","Manes.18G084700.v8.1","gene","","","","Manes.18G084700","","","false","Manes.18G084700","","",,""
"","F-box family protein",,"NA","purple","","(1 of 6) PTHR32278:SF6 - F-BOX PROTEIN PP2-B1-RELATED","Manes.18G077300.v8.1","gene","GO:0005515","protein binding","","Manes.18G077300","","","false","Manes.18G077300","","",,""
"","F-box family protein",,"NA","purple","","(1 of 6) PTHR32278:SF6 - F-BOX PROTEIN PP2-B1-RELATED","Manes.18G077024.v8.1","gene","GO:0005515","protein binding","","Manes.18G077024","","","false","Manes.18G077024","","",,""
"","transcription factor-related",,"NA","purple","","(1 of 2) PTHR22952//PTHR22952:SF145 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED","Manes.18G054150.v8.1","gene","GO:0006351 GO:0043565","DNA-templated transcription; sequence-specific DNA binding","","Manes.18G054150","","","false","Manes.18G054150","","",,""
"","basic leucine-zipper 4",,"NA","purple","","(1 of 2) PTHR22952//PTHR22952:SF115 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED","Manes.18G049100.v8.1","gene","GO:0003700 GO:0006355 GO:0043565","DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding","","Manes.18G049100","","","false","Manes.18G049100","","",,""
"","N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein",,"NA","purple","","(1 of 3) 3.5.1.1 - Asparaginase / L-asparagine amidohydrolase","Manes.18G041700.v8.1","gene","GO:0016787","hydrolase activity","","Manes.18G041700","ASPARAGINE-DEG1-PWY","L-asparagine degradation I","false","Manes.18G041700","","",,""
"","Erythronate-4-phosphate dehydrogenase family protein",,"NA","purple","","(1 of 3) PTHR10996//PTHR10996:SF162 - 2-HYDROXYACID DEHYDROGENASE-RELATED // SUBFAMILY NOT NAMED","Manes.18G027300.v8.1","gene","","","","Manes.18G027300","","","false","Manes.18G027300","","",,""
"","AAA-type ATPase family protein",,"NA","purple","","(1 of 2) K06027 - vesicle-fusing ATPase (NSF)","Manes.17G045800.v8.1","gene","GO:0005524","ATP binding","","Manes.17G045800","","","false","Manes.17G045800","","",,""
"","Protein of unknown function (DUF1218)",,"NA","purple","","(1 of 19) PF06749 - Protein of unknown function (DUF1218) (DUF1218)","Manes.17G042633.v8.1","gene","","","","Manes.17G042633","","","false","Manes.17G042633","","",,""
"","ubiquitin-specific protease 19",,"NA","purple","","(1 of 10) K11855 - ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.4.19.12] (USP36_42)","Manes.16G133800.v8.1","gene","","","","Manes.16G133800","","","false","Manes.16G133800","","",,""
"EofR","enhancer of rudimentary protein",,"NA","purple","","(1 of 2) KOG1766 - Enhancer of rudimentary","Manes.16G130900.v8.1","gene","GO:0006221 GO:0007049 GO:0045747","pyrimidine nucleotide biosynthetic process; cell cycle; positive regulation of Notch signaling pathway","","Manes.16G130900","","","false","Manes.16G130900","","",,""
"","as a signaling molecule; phospholipases; choline biosynthesis III",,"NA","purple","","(1 of 3) PTHR18896//PTHR18896:SF11 - PHOSPHOLIPASE D // PHOSPHOLIPASE D ALPHA 1-RELATED","Manes.16G121600.v8.1","gene","GO:0003824 GO:0004630 GO:0005509 GO:0005515 GO:0016020 GO:0046470","catalytic activity; phospholipase D activity; calcium ion binding; protein binding; membrane; phosphatidylcholine metabolic process","","Manes.16G121600","PWY-7039; LIPASYN-PWY; PWY-3561","phosphatidate metabolism","false","Manes.16G121600","","",,""
"","lower eukaryotes); docosahexaenoate biosynthesis III (6-desaturase",,"NA","purple","","(1 of 2) 1.14.19.3 - Acyl-CoA 6-desaturase / Long-chain fatty acid Delta(6)-desaturase","Manes.16G081200.v8.1","gene","GO:0006629 GO:0016021 GO:0016491","lipid metabolic process; oxidoreductase activity","","Manes.16G081200","PWY-7601; PWY-7606; PWY-7726","arachidonate biosynthesis IV (8-detaturase","false","Manes.16G081200","","",,""
"","NAC domain containing protein 10",,"NA","purple","","(1 of 3) PTHR31079:SF5 - NAC DOMAIN CONTAINING PROTEIN 10","Manes.16G032500.v8.1","gene","GO:0003677 GO:0006355","DNA binding; regulation of DNA-templated transcription","","Manes.16G032500","","","false","Manes.16G032500","","",,""
"","Protein of unknown function (DUF 3339)",,"NA","purple","","(1 of 1) PTHR33128//PTHR33128:SF13 - FAMILY NOT NAMED // EMB|CAB62355.1","Manes.15G162300.v8.1","gene","","","","Manes.15G162300","","","false","Manes.15G162300","","",,""
"","Protein of unknown function (DUF 3339)",,"NA","purple","","(1 of 11) PF11820 - Protein of unknown function (DUF3339) (DUF3339)","Manes.15G162100.v8.1","gene","","","","Manes.15G162100","","","false","Manes.15G162100","","",,""
"","(1 of 1) PTHR34278:SF1 - GB",,"NA","purple","","(1 of 1) PTHR34278//PTHR34278:SF1 - FAMILY NOT NAMED // GB|AAC02775.1","Manes.15G155400.v8.1","gene","","","","Manes.15G155400","","","false","Manes.15G155400","","",,""
"","endonuclease V family protein",,"NA","purple","","(1 of 2) 3.1.21.7 - Deoxyribonuclease V / Escherichia coli endodeoxyribonuclease V","Manes.15G141200.v8.1","gene","GO:0004519 GO:0006281","endonuclease activity; DNA repair","","Manes.15G141200","","","false","Manes.15G141200","","",,""
"","",,"NA","purple","","(1 of 11) PTHR11732:SF239 - ALDO/KETO REDUCTASE-RELATED","Manes.15G139400.v8.1","gene","GO:0016491 GO:0055114","oxidoreductase activity","","Manes.15G139400","","","false","Manes.15G139400","","",,""
"","myb domain protein 5",,"NA","purple","","(1 of 4) PTHR10641//PTHR10641:SF455 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED","Manes.15G108200.v8.1","gene","","","","Manes.15G108200","","","false","Manes.15G108200","","",,""
"","SNARE associated Golgi protein family",,"NA","purple","","(1 of 6) KOG3140 - Predicted membrane protein","Manes.15G023100.v8.1","gene","","","","Manes.15G023100","","","false","Manes.15G023100","","",,""
"BAP","B-cell receptor-associated 31-like",,"NA","purple","","(1 of 2) PTHR12701//PTHR12701:SF20 - BCR-ASSOCIATED PROTEIN; BAP // GENOMIC DNA; CHROMOSOME 3; P1 CLONE: MIG5","Manes.14G172800.v8.1","gene","GO:0005783 GO:0006886 GO:0016021","endoplasmic reticulum; intracellular protein transport","","Manes.14G172800","","","false","Manes.14G172800","","",,""
"","autoinhibited Ca(2+)-ATPase 10",,"NA","purple","","(1 of 16) K01537 - Ca2+-transporting ATPase (E3.6.3.8)","Manes.14G162600.v8.1","gene","GO:0000166 GO:0005388 GO:0005516 GO:0005524 GO:0016020 GO:0016021 GO:0046872 GO:0070588","nucleotide binding; P-type calcium transporter activity; calmodulin binding; ATP binding; membrane; metal ion binding; calcium ion transmembrane transport","","Manes.14G162600","","","false","Manes.14G162600","","",,""
"","ubiquitin-associated (UBA)/TS-N domain-containing protein",,"NA","purple","","(1 of 1) KOG2561 - Adaptor protein NUB1; contains UBA domain","Manes.14G119700.v8.1","gene","GO:0005515","protein binding","","Manes.14G119700","","","false","Manes.14G119700","","",,""
"","",,"NA","purple","","(1 of 4) K15289 - solute carrier family 35; member F5 (SLC35F5)","Manes.14G117700.v8.1","gene","GO:0016020 GO:0016021","membrane","","Manes.14G117700","","","false","Manes.14G117700","","",,""
