gene_id,locusName,Description,colors,class,gene_metabolite,GO,GODescription,Pathways,Pathways_Desc,Best-hit-arabi-defline
Manes.06G110900.v8.1,Manes.06G110900,(1 of 7) PF05605//PF14571 - Drought induced 19 protein (Di19); zinc-binding (zf-Di19) // Stress-induced protein Di19; C-terminal (Di19_C),purple,NA,gene,,,,,
Manes.06G141900.v8.1,Manes.06G141900,(1 of 1) PTHR14237//PTHR14237:SF28 - MOLYBDOPTERIN COFACTOR SULFURASE  MOSC // CATALYTIC/ PYRIDOXAL PHOSPHATE BINDING PROTEIN,purple,NA,gene,,,PWY-5963,thio-molybdenum cofactor biosynthesis,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Manes.07G019300.v8.1,Manes.07G019300,(1 of 1) PTHR10666//PTHR10666:SF155 - UBIQUITIN // POLYUBIQUITIN 4,purple,NA,gene,GO:0005515,protein binding,,,ubiquitin 4
Manes.07G056100.v8.1,Manes.07G056100,(1 of 2) PTHR11817//PTHR11817:SF21 - PYRUVATE KINASE // SUBFAMILY NOT NAMED,purple,carb,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation,
Manes.07G059900.v8.1,Manes.07G059900,(1 of 2) PTHR32002:SF3 - PROTEIN NLP1-RELATED,purple,NA,gene,GO:0005515,protein binding,,,
Manes.07G063671.v8.1,Manes.07G063671,,purple,NA,gene,,,,,
Manes.07G090500.v8.1,Manes.07G090500,(1 of 3) K02727 - 20S proteasome subunit alpha 7 (PSMA3),purple,NA,gene,GO:0004175 GO:0004298 GO:0005839 GO:0006511 GO:0019773 GO:0051603,endopeptidase activity; threonine-type endopeptidase activity; proteasome core complex; ubiquitin-dependent protein catabolic process; proteasome core complex, alpha-subunit complex; proteolysis involved in protein catabolic process,,,20S proteasome alpha subunit G1
Manes.07G091300.v8.1,Manes.07G091300,(1 of 9) PF01439 - Metallothionein (Metallothio_2),purple,NA,gene,GO:0046872,metal ion binding,,,
Manes.07G104000.v8.1,Manes.07G104000,(1 of 2) PTHR32191:SF1 - TETRASPANIN-5-RELATED,purple,NA,gene,GO:0016021,,,,tetraspanin6
Manes.07G105700.v8.1,Manes.07G105700,(1 of 1) PTHR11260//PTHR11260:SF320 - GLUTATHIONE S-TRANSFERASE; GST; SUPERFAMILY; GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0005515,protein binding,,,
Manes.07G113400.v8.1,Manes.07G113400,(1 of 1) PTHR19965//PTHR19965:SF31 - RNA AND EXPORT FACTOR BINDING PROTEIN // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0003676,nucleic acid binding,,,
Manes.07G138000.v8.1,Manes.07G138000,(1 of 3) 4.1.1.37 - Uroporphyrinogen decarboxylase / Uroporphyrinogen-III carboxy-lyase,purple,NA,gene,GO:0004853 GO:0006779,uroporphyrinogen decarboxylase activity; porphyrin-containing compound biosynthetic process,PWY-5918; CHLOROPHYLL-SYN; HEME-BIOSYNTHESIS-II,superpathay of heme biosynthesis from glutamate; 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent); heme biosynthesis I (aerobic),
Manes.07G141400.v8.1,Manes.07G141400,(1 of 1) PTHR32246:SF15 - CALCIUM-DEPENDENT LIPID-BINDING (CALB DOMAIN) FAMILY PROTEIN,purple,NA,gene,GO:0005515,protein binding,,,Calcium-dependent lipid-binding (CaLB domain) family protein
Manes.08G020700.v8.1,Manes.08G020700,(1 of 2) PTHR10015:SF164 - HEAT STRESS TRANSCRIPTION FACTOR A-3,purple,NA,gene,GO:0003700 GO:0005634 GO:0006355 GO:0043565,DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding,,,heat shock transcription factor A3
Manes.08G063732.v8.1,Manes.08G063732,(1 of 1) PTHR23257:SF382 - PROTEIN KINASE AND PP2C-LIKE DOMAIN-CONTAINING PROTEIN,purple,NA,gene,GO:0003824 GO:0004672 GO:0004713 GO:0005524 GO:0006468,catalytic activity; protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,,,protein kinase family protein / protein phosphatase 2C ( PP2C) family protein
Manes.08G069932.v8.1,Manes.08G069932,(1 of 2) PTHR22814//PTHR22814:SF94 - COPPER TRANSPORT PROTEIN ATOX1-RELATED // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0030001 GO:0046872,metal ion transport; metal ion binding,,,
Manes.08G073101.v8.1,Manes.08G073101,(1 of 15) PF00069//PF01453 - Protein kinase domain (Pkinase) // D-mannose binding lectin (B_lectin),purple,NA,gene,GO:0004672 GO:0004674 GO:0004713 GO:0005524 GO:0006468,protein kinase activity; protein serine/threonine kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,,,receptor-like protein kinase 1
Manes.08G075525.v8.1,Manes.08G075525,(1 of 11) PF07676 - WD40-like Beta Propeller Repeat (PD40),purple,NA,gene,,,,,
Manes.08G156081.v8.1,Manes.08G156081,(1 of 2) PTHR14155:SF180 - RING/U-BOX DOMAIN-CONTAINING PROTEIN-RELATED,purple,NA,gene,GO:0005515 GO:0008270,protein binding; zinc ion binding,,,RING/U-box superfamily protein
Manes.08G086700.v8.1,Manes.08G086700,(1 of 1) PTHR15852//PTHR15852:SF20 - FAMILY NOT NAMED // CHAPERONE PROTEIN DNAJ-LIKE PROTEIN,purple,NA,gene,,,,,chaperone protein dnaJ-related
Manes.08G096900.v8.1,Manes.08G096900,(1 of 2) PTHR31241:SF2 - DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 2A-RELATED,purple,NA,gene,GO:0003700 GO:0006355,DNA-binding transcription factor activity; regulation of DNA-templated transcription,,,
Manes.08G103000.v8.1,Manes.08G103000,(1 of 1) PTHR31969//PTHR31969:SF3 - FAMILY NOT NAMED // GEM-LIKE PROTEIN 5,purple,NA,gene,,,,,GRAM domain family protein
Manes.08G105600.v8.1,Manes.08G105600,(1 of 3) PF00646//PF14299 - F-box domain (F-box) // Phloem protein 2 (PP2),purple,NA,gene,GO:0005515,protein binding,,,F-box family protein
Manes.08G108000.v8.1,Manes.08G108000,(1 of 2) PTHR32227//PTHR32227:SF118 - FAMILY NOT NAMED // CARBOHYDRATE-BINDING X8 DOMAIN-CONTAINING PROTEIN,purple,NA,gene,GO:0004553 GO:0005975,hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process,,,Carbohydrate-binding X8 domain superfamily protein
Manes.08G108800.v8.1,Manes.08G108800,(1 of 1) PTHR31375:SF13 - PECTIN LYASE-LIKE PROTEIN,purple,NA,gene,,,PWY-1081,homogalacturonan degradation,
Manes.08G117800.v8.1,Manes.08G117800,(1 of 5) PF05755 - Rubber elongation factor protein (REF) (REF),purple,NA,gene,,,,,Rubber elongation factor protein (REF)
Manes.08G134300.v8.1,Manes.08G134300,,purple,NA,gene,GO:0005509,calcium ion binding,,,calcium-binding EF hand family protein
Manes.08G145900.v8.1,Manes.08G145900,,purple,NA,gene,,,,,
Manes.08G157900.v8.1,Manes.08G157900,(1 of 2) PTHR31956//PTHR31956:SF1 - FAMILY NOT NAMED // NON-SPECIFIC PHOSPHOLIPASE C3-RELATED,purple,NA,gene,GO:0016788,hydrolase activity, acting on ester bonds,,,non-specific phospholipase C4
Manes.08G161900.v8.1,Manes.08G161900,(1 of 11) PF01612 - 3'-5' exonuclease (DNA_pol_A_exo1),purple,NA,gene,GO:0003676 GO:0006139 GO:0008408,nucleic acid binding; nucleobase-containing compound metabolic process; 3'-5' exonuclease activity,,,
Manes.08G170400.v8.1,Manes.08G170400,(1 of 3) K03145 - transcription elongation factor S-II (TFIIS),purple,NA,gene,GO:0003676 GO:0003677 GO:0005634 GO:0006351 GO:0006355 GO:0006357 GO:0008270 GO:0032784,nucleic acid binding; DNA binding; nucleus; DNA-templated transcription; regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II; zinc ion binding; regulation of DNA-templated transcription elongation,,,transcript elongation factor IIS
Manes.09G009100.v8.1,Manes.09G009100,(1 of 44) K13448 - calcium-binding protein CML (CML),purple,NA,gene,GO:0005509,calcium ion binding,,,Calcium-binding EF-hand family protein
Manes.09G038600.v8.1,Manes.09G038600,,purple,NA,gene,GO:0046872,metal ion binding,,,zinc finger protein 8
Manes.09G042800.v8.1,Manes.09G042800,,purple,NA,gene,,,,,
Manes.09G056602.v8.1,Manes.09G056602,(1 of 14) PTHR10634 - AN1-TYPE ZINC FINGER PROTEIN,purple,NA,gene,GO:0003677 GO:0008270,DNA binding; zinc ion binding,,,A20/AN1-like zinc finger family protein
Manes.09G059028.v8.1,Manes.09G059028,(1 of 2) PTHR10015//PTHR10015:SF164 - HEAT SHOCK TRANSCRIPTION FACTOR // HEAT STRESS TRANSCRIPTION FACTOR A-3,purple,NA,gene,GO:0003700 GO:0005634 GO:0006355 GO:0043565,DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding,,,heat shock transcription factor A3
Manes.09G068812.v8.1,Manes.09G068812,(1 of 4) K02152 - V-type H+-transporting ATPase subunit G (ATPeV1G; ATP6G),purple,NA,gene,GO:0015992 GO:0016471 GO:0016820,vacuolar proton-transporting V-type ATPase complex,,,
Manes.09G098300.v8.1,Manes.09G098300,(1 of 1) K06700 - proteasome inhibitor subunit 1 (PI31) (PSMF1),purple,NA,gene,,,,,proteasome inhibitor-related
Manes.09G098800.v8.1,Manes.09G098800,(1 of 9) PTHR11260//PTHR11260:SF303 - GLUTATHIONE S-TRANSFERASE; GST; SUPERFAMILY; GST DOMAIN CONTAINING // GLUTATHIONE S-TRANSFERASE U1-RELATED,purple,NA,gene,GO:0005515,protein binding,PWY-6842,glutathione-mediated detoxification II,glutathione S-transferase TAU 8
Manes.09G098760.v8.1,Manes.09G098760,(1 of 46) PF00582 - Universal stress protein family (Usp),purple,NA,gene,GO:0006950,response to stress,,,Adenine nucleotide alpha hydrolases-like superfamily protein
Manes.09G130200.v8.1,Manes.09G130200,(1 of 138) KOG0156 - Cytochrome P450 CYP2 subfamily,purple,NA,gene,GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding,,,Cytochrome P450 superfamily protein
Manes.09G135500.v8.1,Manes.09G135500,(1 of 2) PTHR23180:SF202 - ADP-RIBOSYLATION FACTOR GTPASE-ACTIVATING PROTEIN AGD14-RELATED,purple,NA,gene,GO:0005096,GTPase activator activity,,,ARF GAP-like zinc finger-containing protein ZIGA4
Manes.09G170000.v8.1,Manes.09G170000,(1 of 5) PF05755 - Rubber elongation factor protein (REF) (REF),purple,NA,gene,,,,,Rubber elongation factor protein (REF)
Manes.09G170800.v8.1,Manes.09G170800,(1 of 4) KOG1727 - Microtubule-binding protein (translationally controlled tumor protein),purple,NA,gene,,,,,Methionine sulfoxide reductase (MSS4-like) family protein
Manes.09G180500.v8.1,Manes.09G180500,(1 of 2) PTHR32227:SF118 - CARBOHYDRATE-BINDING X8 DOMAIN-CONTAINING PROTEIN,purple,NA,gene,GO:0004553 GO:0005975,hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process,,,Carbohydrate-binding X8 domain superfamily protein
Manes.09G180600.v8.1,Manes.09G180600,,purple,NA,gene,,,,,
Manes.09G183100.v8.1,Manes.09G183100,(1 of 6) PTHR32278//PTHR32278:SF6 - FAMILY NOT NAMED // F-BOX PROTEIN PP2-B1-RELATED,purple,NA,gene,GO:0005515,protein binding,,,F-box family protein
Manes.10G020100.v8.1,Manes.10G020100,(1 of 10) PTHR11527//PTHR11527:SF152 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED,purple,NA,gene,,,,,
Manes.10G020800.v8.1,Manes.10G020800,,purple,NA,gene,,,,,
Manes.10G031200.v8.1,Manes.10G031200,(1 of 2) PTHR31992:SF26 - DOF ZINC FINGER PROTEIN DOF2.4,purple,NA,gene,GO:0003677 GO:0006355,DNA binding; regulation of DNA-templated transcription,,,OBF-binding protein 3
Manes.10G052301.v8.1,Manes.10G052301,(1 of 1) PTHR31989:SF29 - F18K10.6 PROTEIN-RELATED,purple,NA,gene,GO:0003677 GO:0006355,DNA binding; regulation of DNA-templated transcription,,,NAC domain containing protein 52
Manes.10G066800.v8.1,Manes.10G066800,(1 of 7) PTHR13068:SF18 - EMB|CAB62602.1,purple,NA,gene,GO:0003690 GO:0005739 GO:0006355,double-stranded DNA binding; mitochondrion; regulation of DNA-templated transcription,,,Mitochondrial transcription termination factor family protein
Manes.10G056200.v8.1,Manes.10G056200,(1 of 3) PF08553 - VID27 cytoplasmic protein (VID27),purple,NA,gene,,,,,Vacuolar import/degradation, Vid27-related protein
Manes.10G088500.v8.1,Manes.10G088500,(1 of 36) PTHR11017//PTHR11017:SF162 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0005515 GO:0007165 GO:0043531,protein binding; signal transduction; ADP binding,,,
Manes.10G105300.v8.1,Manes.10G105300,(1 of 24) 2.4.1.324 - 7-deoxyloganetin glucosyltransferase / UGT85A24,purple,NA,gene,GO:0008152 GO:0016758,metabolic process; hexosyltransferase activity,,,
Manes.10G110100.v8.1,Manes.10G110100,(1 of 1) PTHR11689//PTHR11689:SF87 - CHLORIDE CHANNEL // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0005247 GO:0006821 GO:0016020 GO:0055085,voltage-gated chloride channel activity; chloride transport; membrane; transmembrane transport,,,chloride channel C
Manes.10G141533.v8.1,Manes.10G141533,(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0043531,ADP binding,,,
Manes.10G141601.v8.1,Manes.10G141601,(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0043531,ADP binding,,,
Manes.10G141651.v8.1,Manes.10G141651,(1 of 6) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0043531,ADP binding,,,
Manes.10G141700.v8.1,Manes.10G141700,(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0043531,ADP binding,,,
Manes.10G142050.v8.1,Manes.10G142050,,purple,NA,gene,,,,,
Manes.10G141900.v8.1,Manes.10G141900,(1 of 6) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0043531,ADP binding,,,
Manes.10G142200.v8.1,Manes.10G142200,(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0043531,ADP binding,,,
Manes.11G010500.v8.1,Manes.11G010500,(1 of 5) PTHR10688 - PWWP DOMAIN-CONTAINING PROTEIN,purple,NA,gene,,,,,(1 of 936) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase
Manes.11G026600.v8.1,Manes.11G026600,(1 of 1) PTHR22850//PTHR22850:SF85 - WD40 REPEAT FAMILY // WD-40 REPEAT-CONTAINING PROTEIN MSI4-RELATED,purple,NA,gene,GO:0005515,protein binding,,,
Manes.11G049100.v8.1,Manes.11G049100,(1 of 19) K11251 - histone H2A (H2A),purple,NA,gene,GO:0000786 GO:0003677 GO:0005634,nucleosome; DNA binding; nucleus,,,histone H2A protein 9
Manes.11G057500.v8.1,Manes.11G057500,(1 of 7) K00759 - adenine phosphoribosyltransferase (APRT; apt),purple,NA,gene,GO:0009116,nucleoside metabolic process; adenine phosphoribosyltransferase activity; cytoplasm; adenine salvage,,,adenine phosphoribosyltransferase 5
Manes.11G060900.v8.1,Manes.11G060900,,purple,NA,gene,,,,,
Manes.11G078800.v8.1,Manes.11G078800,(1 of 16) PF02893 - GRAM domain (GRAM),purple,NA,gene,,,,,
Manes.11G085200.v8.1,Manes.11G085200,(1 of 13) PF14364 - Domain of unknown function (DUF4408) (DUF4408),purple,NA,gene,,,,,(1 of 11) PF14364 - Domain of unknown function (DUF4408) (DUF4408)
Manes.11G088451.v8.1,Manes.11G088451,(1 of 2) PTHR23070//PTHR23070:SF32 - BCS1 AAA-TYPE ATPASE // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0005524,ATP binding,,,
Manes.11G084300.v8.1,Manes.11G084300,(1 of 2) PTHR23070//PTHR23070:SF32 - BCS1 AAA-TYPE ATPASE // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0005524,ATP binding,,,
Manes.11G084400.v8.1,Manes.11G084400,(1 of 2) K13998 - dihydrofolate reductase / thymidylate synthase (DHFR-TS),purple,NA,gene,GO:0004146 GO:0004799 GO:0006231 GO:0006545 GO:0006730 GO:0009165 GO:0050661 GO:0055114,dihydrofolate reductase activity; thymidylate synthase activity; dTMP biosynthetic process; glycine biosynthetic process; one-carbon metabolic process; nucleotide biosynthetic process; NADP binding,PWY-6614; PWY-6612; PWY-7200; PWY-7199; PWY-3841; PWY-7211; PWY-7184; PWY-7210,tetrahydrofolate biosynthesis; superpathway of tetrahydrofolate biosynthesis; superpathway of pyrimidine deoxyribonucleoside salvage; pyrimidine deoxyribonucleosides salvage; folate transformations II; superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis; pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I; pyrimidine deoxyribonucleotides biosynthesis from CTP,thymidylate synthase 1
Manes.11G095500.v8.1,Manes.11G095500,(1 of 3) PTHR21576:SF17 - MAJOR FACILITATOR FAMILY PROTEIN,purple,NA,gene,,,,,Major facilitator superfamily protein
Manes.11G131600.v8.1,Manes.11G131600,(1 of 45) PF02701 - Dof domain; zinc finger (zf-Dof),purple,NA,gene,GO:0003677 GO:0006355,DNA binding; regulation of DNA-templated transcription,,,Dof-type zinc finger DNA-binding family protein
Manes.11G151500.v8.1,Manes.11G151500,(1 of 38) K08235 - xyloglucan:xyloglucosyl transferase (E2.4.1.207),purple,NA,gene,GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046,hydrolase activity, hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast,,,xyloglucan endo-transglycosylase-related 8
Manes.12G007900.v8.1,Manes.12G007900,(1 of 2) PTHR23429//PTHR23429:SF3 - GLUCOSE-6-PHOSPHATE 1-DEHYDROGENASE  G6PD // GLUCOSE-6-PHOSPHATE 1-DEHYDROGENASE 2; CHLOROPLASTIC-RELATED,purple,NA,gene,GO:0004345 GO:0006006 GO:0050661 GO:0055114,glucose-6-phosphate dehydrogenase activity; glucose metabolic process; NADP binding,PENTOSE-P-PWY; OXIDATIVEPENT-PWY,pentose phosphate pathway; pentose phosphate pathway (oxidative branch),glucose-6-phosphate dehydrogenase 2
Manes.12G027700.v8.1,Manes.12G027700,(1 of 5) K17609 - nucleoredoxin [EC:1.8.1.8] (NXN),purple,NA,gene,GO:0016209 GO:0016491 GO:0047134 GO:0055114,antioxidant activity; oxidoreductase activity; protein-disulfide reductase (NAD(P)H) activity,,,
Manes.12G027800.v8.1,Manes.12G027800,(1 of 5) K17609 - nucleoredoxin [EC:1.8.1.8] (NXN),purple,NA,gene,GO:0016209 GO:0016491 GO:0047134 GO:0055114,antioxidant activity; oxidoreductase activity; protein-disulfide reductase (NAD(P)H) activity,,,DC1 domain-containing protein
Manes.12G028100.v8.1,Manes.12G028100,(1 of 2) PTHR32263//PTHR32263:SF8 - FAMILY NOT NAMED // INACTIVE POLY [ADP-RIBOSE] POLYMERASE SRO2-RELATED,purple,NA,gene,GO:0003950,NAD+-protein poly-ADP-ribosyltransferase activity,,,similar to RCD one 2
Manes.12G029366.v8.1,Manes.12G029366,(1 of 1) KOG2681 - Metal-dependent phosphohydrolase,purple,NA,gene,,,,,
Manes.12G049300.v8.1,Manes.12G049300,(1 of 1) PTHR14241//PTHR14241:SF10 - INTERFERON-INDUCED PROTEIN 44 // VON WILLEBRAND FACTOR A DOMAIN-CONTAINING PROTEIN DDB_G0292188,purple,NA,gene,,,,,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Manes.12G049701.v8.1,Manes.12G049701,(1 of 12) 1.6.5.5 - NADPH:quinone reductase / Zeta-crystallin,purple,NA,gene,GO:0008270 GO:0016491 GO:0055114,zinc ion binding; oxidoreductase activity,,,Oxidoreductase, zinc-binding dehydrogenase family protein
Manes.12G069400.v8.1,Manes.12G069400,(1 of 51) KOG4172 - Predicted E3 ubiquitin ligase,purple,NA,gene,GO:0005515 GO:0008270,protein binding; zinc ion binding,,,
Manes.12G096000.v8.1,Manes.12G096000,(1 of 13) PTHR10992//PTHR10992:SF820 - ALPHA/BETA HYDROLASE FOLD-CONTAINING PROTEIN // METHYLESTERASE 1-RELATED,purple,NA,gene,,,,,methyl esterase 1
Manes.12G099300.v8.1,Manes.12G099300,(1 of 4) PTHR10891:SF568 - CALCIUM-BINDING PROTEIN CML41-RELATED,purple,NA,gene,GO:0005509,calcium ion binding,,,calmodulin-like 41
Manes.12G115700.v8.1,Manes.12G115700,(1 of 53) PF14009 - Domain of unknown function (DUF4228) (DUF4228),purple,NA,gene,,,,,(1 of 28) PF14009 - Domain of unknown function (DUF4228) (DUF4228)
Manes.12G118804.v8.1,Manes.12G118804,(1 of 2) PTHR31062:SF48 - XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 6-RELATED,purple,NA,gene,GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046,hydrolase activity, hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast,,,xyloglucan endotransglucosylase/hydrolase 6
Manes.12G127600.v8.1,Manes.12G127600,,purple,NA,gene,,,,,
Manes.12G149600.v8.1,Manes.12G149600,(1 of 1) 1.14.13.113 - FAD-dependent urate hydroxylase / Urate hydroxylase,purple,NA,gene,,,,,
Manes.12G157400.v8.1,Manes.12G157400,(1 of 53) PF14416 - PMR5 N terminal Domain (PMR5N),purple,NA,gene,,,,,TRICHOME BIREFRINGENCE-LIKE 14
Manes.13G008500.v8.1,Manes.13G008500,(1 of 13) PF14364 - Domain of unknown function (DUF4408) (DUF4408),purple,NA,gene,,,,,(1 of 11) PF14364 - Domain of unknown function (DUF4408) (DUF4408)
Manes.13G028600.v8.1,Manes.13G028600,(1 of 2) PTHR31375:SF46 - PECTIN LYASE-LIKE PROTEIN,purple,NA,gene,GO:0004650 GO:0005975,polygalacturonase activity; carbohydrate metabolic process,PWY-1081,homogalacturonan degradation,Pectin lyase-like superfamily protein
Manes.13G029600.v8.1,Manes.13G029600,(1 of 2) PTHR32263:SF8 - INACTIVE POLY [ADP-RIBOSE] POLYMERASE SRO2-RELATED,purple,NA,gene,GO:0003950,NAD+-protein poly-ADP-ribosyltransferase activity,,,similar to RCD one 2
Manes.13G030800.v8.1,Manes.13G030800,(1 of 1) PTHR23257:SF353 - KINASE-LIKE PROTEIN,purple,NA,gene,GO:0004672 GO:0004713 GO:0005524 GO:0006468,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,,,
Manes.13G056600.v8.1,Manes.13G056600,(1 of 5) PTHR11926//PTHR11926:SF396 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // UDP-GLYCOSYLTRANSFERASE 75B2,purple,NA,gene,GO:0008152 GO:0016758,metabolic process; hexosyltransferase activity,,,UDP-Glycosyltransferase superfamily protein
Manes.13G060600.v8.1,Manes.13G060600,(1 of 1) PTHR24096//PTHR24096:SF219 - FAMILY NOT NAMED // LONG CHAIN ACYL-COA SYNTHETASE 8,purple,NA,gene,GO:0003824 GO:0008152,catalytic activity; metabolic process,PWY-6733; PWY-1121; PWY-321; PWY-5136; PWY-561; PWY-5885; PWY-5989; PWY-5147; PWY-5971; PWY-5156; PWY-5143; PWY66-389; PWY-6803,sporopollenin precursors biosynthesis; suberin monomers biosynthesis; cutin biosynthesis; fatty acid &beta;-oxidation II (peroxisome); superpathway of glyoxylate cycle and fatty acid degradation; wax esters biosynthesis II; stearate biosynthesis II (bacteria and plants); oleate biosynthesis I (plants); palmitate biosynthesis II (bacteria and plants); superpathway of fatty acid biosynthesis II (plant); long-chain fatty acid activation; phytol degradation; phosphatidylcholine acyl editing,AMP-dependent synthetase and ligase family protein
Manes.13G061801.v8.1,Manes.13G061801,(1 of 3) PTHR11064//PTHR11064:SF27 - CCAAT-BINDING TRANSCRIPTION FACTOR-RELATED // NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT B-2-RELATED,purple,NA,gene,,,,,nuclear factor Y, subunit B3
Manes.13G124400.v8.1,Manes.13G124400,(1 of 12) PF07939 - Protein of unknown function (DUF1685) (DUF1685),purple,NA,gene,,,,,
Manes.13G135300.v8.1,Manes.13G135300,(1 of 4) PTHR10891//PTHR10891:SF568 - EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN // CALCIUM-BINDING PROTEIN CML41-RELATED,purple,NA,gene,GO:0005509,calcium ion binding,,,calmodulin-like 41
Manes.13G137100.v8.1,Manes.13G137100,(1 of 1) PTHR31636//PTHR31636:SF53 - FAMILY NOT NAMED // SCARECROW-LIKE PROTEIN 15,purple,NA,gene,,,,,GRAS family transcription factor
Manes.14G035200.v8.1,Manes.14G035200,(1 of 2) PTHR11709//PTHR11709:SF123 - MULTI-COPPER OXIDASE // MONOCOPPER OXIDASE-LIKE PROTEIN SKS1-RELATED,purple,NA,gene,GO:0005507 GO:0016491 GO:0055114,copper ion binding; oxidoreductase activity,,,SKU5 similar 1
Manes.14G035900.v8.1,Manes.14G035900,(1 of 3) 3.6.3.20 - Glycerol-3-phosphate-transporting ATPase,purple,NA,gene,GO:0005215 GO:0006810 GO:0016021 GO:0055085,transporter activity; transport; transmembrane transport,,,phosphate starvation-induced gene 3
Manes.14G071900.v8.1,Manes.14G071900,(1 of 4) PTHR12374//PTHR12374:SF26 - TRANSCRIPTIONAL ADAPTOR 2  ADA2 -RELATED // F25A4.19 PROTEIN,purple,NA,gene,,,,,Homeodomain-like superfamily protein
Manes.14G094500.v8.1,Manes.14G094500,(1 of 3) PF06880 - Protein of unknown function (DUF1262) (DUF1262),purple,NA,gene,,,,,Protein of unknown function (DUF1262)
Manes.14G099400.v8.1,Manes.14G099400,(1 of 5) PTHR15907:SF47 - PROTEIN PLANT CADMIUM RESISTANCE 11-RELATED,purple,NA,gene,,,,,PLAC8 family protein
Manes.14G103500.v8.1,Manes.14G103500,,purple,NA,gene,,,,,
Manes.14G136300.v8.1,Manes.14G136300,(1 of 2) K12200 - programmed cell death 6-interacting protein (PDCD6IP; ALIX; RIM20),purple,NA,gene,GO:0005515,protein binding,,,Endosomal targeting BRO1-like domain-containing protein
Manes.14G136021.v8.1,Manes.14G136021,,purple,NA,gene,,,,,
