TAG_type,locusName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,Pathways,Pathways_Desc,GODescription,class,Description,GO,KOG,KO,Pfam,Panther,Best-hit-arabi-defline
non-genetic,Manes.06G167500,18.13762908,-0.762174028,0.193850908,-3.93175372,8.43E-05,0.007501257,-,,,protein binding,NA,(1 of 3) PTHR27000:SF151 - DNA-DAMAGE-REPAIR/TOLERATION PROTEIN DRT100-RELATED,GO:0005515,,,PF00560 PF08263 PF13855,PTHR27000 PTHR27000:SF151,Leucine-rich repeat (LRR) family protein
non-genetic,Manes.15G033100,492.5117602,0.891497047,0.22769396,3.915330241,9.03E-05,0.007561825,+,,,,NA,"(1 of 1) PTHR14154//PTHR14154:SF5 - UPF0041 BRAIN PROTEIN 44-RELATED // EARLY LIGHT-INDUCED PROTEIN 1, CHLOROPLASTIC-RELATED",,,,PF00504,PTHR14154 PTHR14154:SF5,Chlorophyll A-B binding family protein
non-genetic,Manes.16G075700,579.7574954,0.600601937,0.153349342,3.916560259,8.98E-05,0.007561825,+,PWY-7101,5-deoxystrigol biosynthesis,,NA,"(1 of 1) 1.13.11.69//1.13.11.70 - Carlactone synthase // All-trans-10'-apo-beta-carotenal 13,14-cleaving dioxygenase / Carotenoid cleavage dioxygenase 8",,KOG1285,K17913,PF03055,PTHR10543 PTHR10543:SF50,carotenoid cleavage dioxygenase 8
non-genetic,Manes.12G139700,466.370081,-0.654670355,0.16730521,-3.913030294,9.11E-05,0.007590545,-,,,,NA,,,,,,PTHR36067 PTHR36067:SF1,
non-genetic,Manes.03G028600,7.053024279,-0.74141697,0.191501919,-3.871590292,0.000108128,0.008319668,-,,,,NA,(1 of 7) PF06219 - Protein of unknown function (DUF1005) (DUF1005),,,,PF06219,PTHR31317 PTHR31317:SF2,Protein of unknown function (DUF1005)
non-genetic,Manes.04G135800,52.66084767,0.580116497,0.149807022,3.872425266,0.000107758,0.008319668,+,,,nucleic acid binding,NA,(1 of 3) PTHR24012:SF455 - POLYADENYLATE-BINDING PROTEIN 7,GO:0003676,KOG0123,K13126,PF00076,PTHR24012 PTHR24012:SF455,poly(A) binding protein 6
non-genetic,Manes.16G107200,81.91426203,-0.60561239,0.156325421,-3.874049325,0.000107042,0.008319668,-,,,,NA,(1 of 7) PF06219 - Protein of unknown function (DUF1005) (DUF1005),,,,PF06219,PTHR31317 PTHR31317:SF2,Protein of unknown function (DUF1005)
non-genetic,Manes.13G141200,30.33114085,-0.759845849,0.196706351,-3.862843509,0.000112075,0.008402953,-,,,,NA,(1 of 1) PTHR32077//PTHR32077:SF6 - FAMILY NOT NAMED // FASCICLIN-LIKE ARABINOGALACTAN PROTEIN 13-RELATED,,,,PF02469,PTHR32077 PTHR32077:SF6,FASCICLIN-like arabinoogalactan 9
non-genetic,Manes.14G146000,455.5351883,-0.807519258,0.209595958,-3.852742506,0.000116802,0.00849485,-,,,"hydrolase activity, hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast",NA,(1 of 13) K08235//K14504 - xyloglucan:xyloglucosyl transferase (E2.4.1.207) // xyloglucan:xyloglucosyl transferase TCH4 (TCH4),GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046,,K08235 K14504,PF00722 PF06955,PTHR31062 PTHR31062:SF32,xyloglucan endotransglycosylase 6
non-genetic,Manes.02G161700,34.56146683,-0.918053509,0.239705604,-3.829920932,0.000128184,0.008949641,-,,,DNA-binding transcription factor activity; regulation of DNA-templated transcription,NA,(1 of 2) PTHR31985:SF37 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF014,GO:0003700 GO:0006355,,,PF00847,PTHR31985 PTHR31985:SF37,Integrase-type DNA-binding superfamily protein
non-genetic,Manes.17G118227,96.9824991,-0.595249774,0.155601939,-3.825465015,0.000130525,0.008949641,-,PWY-6824; PWY-5466; PWY-7445; PWY-7214,justicidin B biosynthesis; matairesinol biosynthesis; luteolin triglucuronide degradation; baicalein degradation (hydrogen peroxide detoxification),peroxidase activity; response to oxidative stress; heme binding,NA,(1 of 4) PTHR31517//PTHR31517:SF11 - FAMILY NOT NAMED // PEROXIDASE 31-RELATED,GO:0004601 GO:0006979 GO:0020037 GO:0055114,,K00430,PF00141,PTHR31517 PTHR31517:SF11,Peroxidase superfamily protein
non-genetic,Manes.03G182700,39.52499287,-0.566739369,0.149523843,-3.79029429,0.000150469,0.009687924,-,,,,NA,,,,,,PTHR34956 PTHR34956:SF2,
non-genetic,Manes.14G012200,12.33230211,-0.776877927,0.205376512,-3.782700954,0.000155136,0.009855719,-,,,,NA,(1 of 3) PTHR31301:SF15 - LOB DOMAIN-CONTAINING PROTEIN 4,,,,PF03195,PTHR31301 PTHR31301:SF15,
non-genetic,Manes.01G198900,30.86636395,-0.805154394,0.212957986,-3.780813336,0.000156317,0.009891656,-,,,catalytic activity; trehalose biosynthetic process; metabolic process,NA,"(1 of 4) PTHR10788//PTHR10788:SF14 - TREHALOSE-6-PHOSPHATE SYNTHASE // ALPHA,ALPHA-TREHALOSE-PHOSPHATE SYNTHASE [UDP-FORMING] 10-RELATED",GO:0003824 GO:0005992 GO:0008152,,K16055,PF00982 PF02358,PTHR10788 PTHR10788:SF14,trehalose-phosphatase/synthase 9
non-genetic,Manes.03G119700,42.87926791,0.579367915,0.153513143,3.774060677,0.000160612,0.009970963,+,,,protein dimerization activity,NA,(1 of 2) PTHR16223:SF46 - TRANSCRIPTION FACTOR BHLH123,GO:0046983,,,,PTHR16223 PTHR16223:SF46,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
non-genetic,Manes.09G019400,15.86627747,0.858621649,0.228286242,3.761162488,0.000169126,0.010117348,+,,,,NA,(1 of 2) PTHR31696:SF14 - PROTEIN MIZU-KUSSEI 1,,,,PF04759,PTHR31696 PTHR31696:SF14,"Protein of unknown function, DUF617"
non-genetic,Manes.16G126900,18.44006331,-0.660954789,0.175624466,-3.76345507,0.000167582,0.010117348,-,,,DNA-binding transcription factor activity; regulation of DNA-templated transcription,NA,(1 of 5) PTHR31194:SF4 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF003,GO:0003700 GO:0006355,,,PF00847,PTHR31194 PTHR31194:SF4,Integrase-type DNA-binding superfamily protein
non-genetic,Manes.01G076500,9.376386782,-0.807878436,0.215249673,-3.753215628,0.000174581,0.010316299,-,PWY66-373; PWY-621,sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase),"hydrolase activity, hydrolyzing O-glycosyl compounds; beta-fructofuranosidase activity; sucrose alpha-glucosidase activity; carbohydrate metabolic process",carb,"(1 of 2) PTHR31953//PTHR31953:SF17 - FAMILY NOT NAMED // ACID BETA-FRUCTOFURANOSIDASE 3, VACUOLAR-RELATED",GO:0004553 GO:0004564 GO:0004575 GO:0005975,,K01193,PF00251 PF08244 PF11837,PTHR31953 PTHR31953:SF17,Glycosyl hydrolases family 32 protein
non-genetic,Manes.14G059900,47.54489633,-0.826837042,0.222728761,-3.712304766,0.00020538,0.011542239,-,,,,NA,(1 of 15) PF05910 - Plant protein of unknown function (DUF868) (DUF868),,,,PF05910,PTHR31972 PTHR31972:SF12,
non-genetic,Manes.08G094400,738.8623807,-0.795160186,0.215102668,-3.696654216,0.00021846,0.011782888,-,PWY-5486; PWY-6330,pyruvate fermentation to ethanol II; acetaldehyde biosynthesis II,magnesium ion binding; catalytic activity; carboxy-lyase activity; thiamine pyrophosphate binding,carb,(1 of 2) PTHR18968:SF137 - PYRUVATE DECARBOXYLASE 2,GO:0000287 GO:0003824 GO:0016831 GO:0030976,,K01568,PF00205 PF02775 PF02776,PTHR18968 PTHR18968:SF137,Thiamine pyrophosphate dependent pyruvate decarboxylase family protein
non-genetic,Manes.08G019501,104.3034401,0.666470554,0.181511075,3.67179002,0.000240858,0.012146483,+,,,"iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding",NA,(1 of 366) PF00067 - Cytochrome P450 (p450),GO:0005506 GO:0016705 GO:0020037 GO:0055114,,,PF00067,PTHR24298 PTHR24298:SF119,
non-genetic,Manes.06G129200,34.28684825,-0.534673251,0.147517947,-3.624462387,0.000289563,0.013376619,-,,,cysteine-type endopeptidase activity; proteolysis,NA,(1 of 2) PTHR31773//PTHR31773:SF11 - FAMILY NOT NAMED // METACASPASE-2,GO:0004197 GO:0006508,KOG1546,,PF00656 PF06943,PTHR31773 PTHR31773:SF11,
non-genetic,Manes.06G028600,1289.249493,-0.623117351,0.175267755,-3.555230964,0.000377647,0.015103237,-,,,,NA,(1 of 2) PTHR33228:SF5 - PROTEIN GLUTAMINE DUMPER 1-RELATED,,,,,PTHR33228 PTHR33228:SF5,glutamine dumper 3
non-genetic,Manes.08G074600,28.51678059,0.535454229,0.150681313,3.55355431,0.000380063,0.015103237,+,,,metal ion transport; metal ion binding,NA,(1 of 2) PTHR22814//PTHR22814:SF16 - COPPER TRANSPORT PROTEIN ATOX1-RELATED // CHLOROPLAST-TARGETED COPPER CHAPERONE PROTEIN,GO:0030001 GO:0046872,KOG1603,,PF00403,PTHR22814 PTHR22814:SF16,Chloroplast-targeted copper chaperone protein
non-genetic,Manes.18G034822,32.84404532,-1.018895598,0.286417202,-3.557382689,0.000374568,0.015103237,-,,,,NA,(1 of 2) PTHR10641//PTHR10641:SF611 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED,,,,PF00249,PTHR10641 PTHR10641:SF611,
non-genetic,Manes.14G038900,87.36387319,-0.761284003,0.214569995,-3.547951811,0.000388239,0.015294533,-,,,DNA-binding transcription factor activity; regulation of DNA-templated transcription,NA,(1 of 2) PTHR31677//PTHR31677:SF24 - FAMILY NOT NAMED // ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF106,GO:0003700 GO:0006355,,,PF00847,PTHR31677 PTHR31677:SF24,Integrase-type DNA-binding superfamily protein
non-genetic,Manes.12G095700,27.04784265,-0.533285675,0.150975412,-3.532268383,0.000412011,0.015842709,-,,,,NA,(1 of 5) PTHR10992:SF56 - METHYLESTERASE 4-RELATED,,KOG1454,,PF12697,PTHR10992 PTHR10992:SF56,
non-genetic,Manes.16G122300,12.62038268,0.544988141,0.154686585,3.523176511,0.000426407,0.016196909,+,,,,NA,,,,,,PTHR35300 PTHR35300:SF1,
non-genetic,Manes.18G139820,46.23194164,1.103523914,0.314540297,3.508370549,0.000450861,0.016432386,+,,,,NA,(1 of 3) PTHR11527//PTHR11527:SF170 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED,,KOG0710,K13993,PF00011,PTHR11527 PTHR11527:SF170,
non-genetic,Manes.15G038200,20.15340586,-0.507600109,0.144895484,-3.503215533,0.000459677,0.016503653,-,,,,NA,,,,,,PTHR33912 PTHR33912:SF2,
non-genetic,Manes.07G081100,64.44821247,-1.041382023,0.298271225,-3.49139285,0.000480509,0.016833428,-,PWY-5271,phaseic acid biosynthesis,"monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding",NA,(1 of 3) PTHR24286//PTHR24286:SF10 - FAMILY NOT NAMED // ABSCISIC ACID 8'-HYDROXYLASE 1-RELATED,GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,KOG0157,K09843,PF00067,PTHR24286 PTHR24286:SF10,"cytochrome P450, family 707, subfamily A, polypeptide 3"
non-genetic,Manes.09G052400,10.51792597,0.631850049,0.181220816,3.486630633,0.000489146,0.016931225,+,,,protein binding,NA,(1 of 1) PTHR19919//PTHR19919:SF4 - WD REPEAT CONTAINING PROTEIN // SUBFAMILY NOT NAMED,GO:0005515,KOG0290,K11805,,PTHR19919 PTHR19919:SF4,
non-genetic,Manes.01G214200,19.34576125,-0.559963394,0.162224242,-3.451786158,0.000556889,0.01811918,-,,,,NA,,,,,,,
non-genetic,Manes.08G105600,255.3063764,0.521502819,0.151194968,3.449207501,0.000562234,0.018182686,+,,,protein binding,NA,(1 of 3) PF00646//PF14299 - F-box domain (F-box) // Phloem protein 2 (PP2),GO:0005515,,,PF00646 PF14299,PTHR32278 PTHR32278:SF6,F-box family protein
non-genetic,Manes.03G065580,60.95032907,0.516335026,0.152390503,3.388236253,0.000703436,0.021029316,+,,,,NA,(1 of 21) PF04782//PF04783 - Protein of unknown function (DUF632) (DUF632) // Protein of unknown function (DUF630) (DUF630),,,,PF04782 PF04783,PTHR21450 PTHR21450:SF7,Protein of unknown function (DUF630 and DUF632)
non-genetic,Manes.09G082900,66.15065288,-0.607818125,0.179432581,-3.387445699,0.000705467,0.021037046,-,,,transmembrane transport,NA,(1 of 2) PTHR22601:SF2 - OLIGOPEPTIDE TRANSPORTER 3,GO:0055085,,,PF03169,PTHR22601 PTHR22601:SF2,oligopeptide transporter
non-genetic,Manes.03G179200,27.68978559,-0.57210855,0.170521974,-3.355042974,0.000793527,0.022654267,-,,,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,NA,(1 of 2) PTHR13902//PTHR13902:SF70 - SERINE/THREONINE-PROTEIN KINASE WNK  WITH NO LYSINE -RELATED // SUBFAMILY NOT NAMED,GO:0004672 GO:0004713 GO:0005524 GO:0006468,,K08867,PF00069,PTHR13902 PTHR13902:SF70,
non-genetic,Manes.06G051100,30.97561,-0.544622287,0.163253842,-3.336045755,0.000849792,0.023549488,-,PWY-7601; PWY-6433; PWY-7619; PWY-7606; PWY-5080; PWY-7036; PWY-6598; PWY-7726,"arachidonate biosynthesis IV (8-detaturase, lower eukaryotes); hydroxylated fatty acid biosynthesis (plants); juniperonate biosynthesis; docosahexaenoate biosynthesis III (6-desaturase, mammals); very long chain fatty acid biosynthesis I; very long chain fatty acid biosynthesis II; sciadonate biosynthesis; (4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)","fatty acid biosynthetic process; lipid biosynthetic process; membrane; acyltransferase activity, transferring groups other than amino-acyl groups",NA,"(1 of 10) 2.3.1.119//2.3.1.199 - Transferred entry: 1.1.1.330, 1.3.1.93, 2.3.1.199 and 4.2.1.134 // Very-long-chain 3-oxoacyl-CoA synthase / Very-long-chain beta-ketoacyl-CoA synthase",GO:0006633 GO:0008610 GO:0016020 GO:0016747,,K15397,PF08392 PF08541,PTHR31561 PTHR31561:SF19,3-ketoacyl-CoA synthase 11
non-genetic,Manes.17G079268,7.57892015,-0.578178608,0.173442954,-3.333537588,0.000857491,0.023681186,-,,,defense response; response to biotic stimulus,NA,(1 of 13) PTHR31907:SF4 - MLP-LIKE PROTEIN 165-RELATED,GO:0006952 GO:0009607,,,PF00407,PTHR31907 PTHR31907:SF4,MLP-like protein 31
non-genetic,Manes.16G066000,13.56547871,-0.54983787,0.165037911,-3.331585256,0.000863528,0.023700155,-,,,,NA,(1 of 2) PTHR14255//PTHR14255:SF1 - ATP-DEPENDENT PROTEASE  CEREBLON // SUBFAMILY NOT NAMED,GO:0016021,,,PF01925,PTHR14255 PTHR14255:SF1,Sulfite exporter TauE/SafE family protein
non-genetic,Manes.06G161400,88.28184862,-0.582230211,0.175451829,-3.318461902,0.000905147,0.02439132,-,PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY,sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation,"intracellular glucose homeostasis; hexokinase activity; ATP binding; D-glucose binding; carbohydrate metabolic process; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation",carb,(1 of 2) PTHR19443:SF6 - HEXOKINASE-3-RELATED,GO:0001678 GO:0004396 GO:0005524 GO:0005536 GO:0005975 GO:0016773 GO:0046835,,K00844,PF00349 PF03727,PTHR19443 PTHR19443:SF6,hexokinase-like 1
non-genetic,Manes.09G124900,32.19729506,0.516795219,0.156092454,3.310827686,0.000930205,0.024866487,+,,,DNA binding; regulation of DNA-templated transcription,NA,(1 of 152) PF02365 - No apical meristem (NAM) protein (NAM),GO:0003677 GO:0006355,,,PF02365,PTHR31989,
non-genetic,Manes.09G143300,15.80530595,-0.76194295,0.230313006,-3.308293195,0.000938665,0.024954421,-,,,extracellular region; plant-type cell wall organization,NA,(1 of 43) PF01357//PF03330 - Pollen allergen (Pollen_allerg_1) // Rare lipoprotein A (RlpA)-like double-psi beta-barrel (DPBB_1),GO:0005576 GO:0009664,,,PF01357 PF03330,PTHR31867,
non-genetic,Manes.14G160600,13.05134818,0.536044381,0.162491298,3.29891132,0.000970606,0.02531558,+,,,,NA,(1 of 207) PF01535//PF13041 - PPR repeat (PPR) // PPR repeat family (PPR_2),,,,PF01535 PF13041,PTHR24015 PTHR24015:SF430,Tetratricopeptide repeat (TPR)-like superfamily protein
non-genetic,Manes.15G112500,31.6454144,-0.624062396,0.189971947,-3.285023952,0.001019737,0.025952719,-,,,,NA,(1 of 2) PTHR11132//PTHR11132:SF132 - SOLUTE CARRIER FAMILY 35 // SUBFAMILY NOT NAMED,,KOG1441,,PF03151,PTHR11132 PTHR11132:SF132,
non-genetic,Manes.12G020000,39.58431522,-0.676368928,0.208347319,-3.246352924,0.001168938,0.027589347,-,,,protein binding,NA,(1 of 1) KOG0265//KOG0645 - U5 snRNP-specific protein-like factor and related proteins // WD40 repeat protein,GO:0005515,KOG0265 KOG0645,,PF00400,PTHR22844 PTHR22844:SF199,Transducin/WD40 repeat-like superfamily protein
non-genetic,Manes.14G138300,64.70020335,0.606869931,0.186891357,3.247180297,0.001165545,0.027589347,+,,,,NA,,,,,,,
non-genetic,Manes.06G106800,11.23492313,0.536487911,0.165663623,3.23841712,0.001201949,0.027797025,+,,,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,NA,(1 of 1) PTHR27002//PTHR27002:SF121 - FAMILY NOT NAMED // CYSTEINE-RICH RECEPTOR-LIKE PROTEIN KINASE 1,GO:0004672 GO:0004713 GO:0005524 GO:0006468,KOG1187,,PF00069 PF01657,PTHR27002 PTHR27002:SF121,
non-genetic,Manes.04G163400,10.74065544,-0.515412548,0.159487802,-3.231673771,0.001230675,0.028158276,-,,,protein binding,NA,(1 of 2) PTHR32295//PTHR32295:SF35 - FAMILY NOT NAMED // PROTEIN IQ-DOMAIN 11,GO:0005515,,,PF00612 PF13178,PTHR32295 PTHR32295:SF35,IQ-domain 11
non-genetic,Manes.05G050300,22.53783816,-0.623368157,0.193816735,-3.216276236,0.001298658,0.028950519,-,,,DNA binding; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; zinc ion binding; sequence-specific DNA binding; positive regulation of DNA-templated transcription,NA,(1 of 1) PTHR10071//PTHR10071:SF207 - TRANSCRIPTION FACTOR GATA  GATA BINDING FACTOR // GATA TRANSCRIPTION FACTOR 4,GO:0003677 GO:0003700 GO:0005634 GO:0006355 GO:0008270 GO:0043565 GO:0045893,KOG1601,,PF00320,PTHR10071 PTHR10071:SF207,GATA transcription factor 2
non-genetic,Manes.14G162000,9.259770799,0.556109122,0.173014815,3.214228345,0.001307956,0.028998412,+,,,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,NA,(1 of 2) PTHR27003:SF15 - LEUCINE-RICH REPEAT PROTEIN KINASE-LIKE PROTEIN,GO:0004672 GO:0004713 GO:0005524 GO:0006468,KOG1187,,PF07714,PTHR27003 PTHR27003:SF15,Leucine-rich repeat protein kinase family protein
non-genetic,Manes.01G187900,25.37275475,-0.700871003,0.218965388,-3.200830087,0.001370323,0.029804583,-,,,DNA binding; DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding,NA,(1 of 2) PTHR24326//PTHR24326:SF176 - FAMILY NOT NAMED // HOMEOBOX-LEUCINE ZIPPER PROTEIN ATHB-13-RELATED,GO:0003677 GO:0003700 GO:0006355 GO:0043565,KOG0483,K09338,PF00046 PF02183,PTHR24326 PTHR24326:SF176,Homeobox-leucine zipper protein family
non-genetic,Manes.13G062800,8.080794295,0.552711454,0.173580358,3.184182017,0.001451637,0.030740661,+,,,protein binding,NA,(1 of 4) 2.7.10.2//2.7.12.1 - Non-specific protein-tyrosine kinase / Cytoplasmic protein tyrosine kinase // Dual-specificity kinase,GO:0005515,,,PF07647,PTHR24176,Sterile alpha motif (SAM) domain-containing protein
non-genetic,Manes.05G048400,112.3731619,-0.728930974,0.229939802,-3.170094814,0.001523892,0.031314745,-,,,,NA,(1 of 25) PF00234 - Protease inhibitor/seed storage/LTP family (Tryp_alpha_amyl),,,,PF00234,PTHR31731,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
non-genetic,Manes.04G138300,11.68594297,1.094826364,0.346789066,3.157038298,0.001593804,0.032021517,+,,,,NA,(1 of 10) PTHR11527//PTHR11527:SF152 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED,,KOG0710,K13993,PF00011,PTHR11527 PTHR11527:SF152,heat shock protein 18.2
non-genetic,Manes.01G269600,8.33921503,-0.648059001,0.205651577,-3.151247416,0.001625747,0.032279055,-,,,,NA,(1 of 2) PTHR15615:SF15 - CYCLIN-U2-1-RELATED,,KOG1674,,PF00134,PTHR15615 PTHR15615:SF15,cyclin p3;1
non-genetic,Manes.07G095400,34.47038621,-0.729279774,0.231373416,-3.151960088,0.001621784,0.032279055,-,,,,NA,(1 of 2) PTHR22950//PTHR22950:SF240 - AMINO ACID TRANSPORTER // TRANSMEMBRANE AMINO ACID TRANSPORTER-RELATED,,KOG1303,K15015,PF01490,PTHR22950 PTHR22950:SF240,Transmembrane amino acid transporter family protein
non-genetic,Manes.10G067700,152.3141961,-0.95511522,0.303054242,-3.151631251,0.001623612,0.032279055,-,PWY-5271,phaseic acid biosynthesis,"monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding",NA,(1 of 3) PTHR24286//PTHR24286:SF10 - FAMILY NOT NAMED // ABSCISIC ACID 8'-HYDROXYLASE 1-RELATED,GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,KOG0157,K09843,PF00067,PTHR24286 PTHR24286:SF10,"cytochrome P450, family 707, subfamily A, polypeptide 3"
non-genetic,Manes.17G046300,76.24090664,-1.078221258,0.342175653,-3.151075328,0.001626705,0.032279055,-,,,,NA,(1 of 2) PTHR31579//PTHR31579:SF11 - FAMILY NOT NAMED // EXPRESSED PROTEIN,,,,PF04720,PTHR31579 PTHR31579:SF11,Protein of unknown function (DUF506)
non-genetic,Manes.01G232000,18.62312417,-0.66736421,0.21256523,-3.139573725,0.001691938,0.032934705,-,,,solute:inorganic anion antiporter activity; monoatomic anion transport; membrane,NA,(1 of 2) PTHR11453:SF44 - BORON TRANSPORTER 1-RELATED,GO:0005452 GO:0006820 GO:0016020 GO:0016021,,,PF00955,PTHR11453 PTHR11453:SF44,HCO3- transporter family
non-genetic,Manes.15G113200,60.42644584,-0.626795839,0.199750501,-3.137893705,0.001701666,0.033032456,-,,,,NA,,,,,,PTHR35714 PTHR35714:SF1,
non-genetic,Manes.14G136000,11.77191606,-1.178695344,0.377333794,-3.123747098,0.001785639,0.033535215,-,,,,NA,,,,,,PTHR38225 PTHR38225:SF1,
non-genetic,Manes.17G081300,44.18249199,-0.518025822,0.165907599,-3.122375505,0.00179398,0.033646014,-,PWY-1081,homogalacturonan degradation,enzyme inhibitor activity,NA,(1 of 2) PTHR31080//PTHR31080:SF10 - FAMILY NOT NAMED // PLANT INVERTASE/PECTIN METHYLESTERASE INHIBITOR DOMAIN-CONTAINING PROTEIN,GO:0004857,,,PF04043,PTHR31080 PTHR31080:SF10,Plant invertase/pectin methylesterase inhibitor superfamily protein
non-genetic,Manes.03G053700,102.4743077,-0.558221791,0.178946834,-3.119484027,0.001811681,0.033784957,-,,,,NA,,,,,,PTHR33172 PTHR33172:SF6,
non-genetic,Manes.13G033900,16.01555179,-0.815164779,0.261316933,-3.11944875,0.001811898,0.033784957,-,,,,NA,(1 of 3) PTHR10641//PTHR10641:SF523 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED,,KOG0048,K09422,PF00249,PTHR10641 PTHR10641:SF523,myb domain protein 14
non-genetic,Manes.03G069017,10.12540199,0.526904188,0.169043538,3.116973269,0.001827181,0.033830106,+,,,,NA,,,,,,,
non-genetic,Manes.18G146501,9.229118059,-0.514069091,0.165816348,-3.100231654,0.001933693,0.034566531,-,PWY-6902,chitin degradation II,chitin binding,NA,(1 of 20) PTHR22595:SF34 - BASIC ENDOCHITINASE B,GO:0008061,,,PF00187,PTHR22595 PTHR22595:SF34,
non-genetic,Manes.10G121600,750.6885022,0.737383569,0.238715751,3.088960677,0.00200858,0.035390237,+,,,,NA,(1 of 3) PTHR11527:SF135 - 22.0 KDA HEAT SHOCK PROTEIN,,,K13993,PF00011,PTHR11527 PTHR11527:SF135,HSP20-like chaperones superfamily protein
non-genetic,Manes.11G032500,20.69764695,-0.786502943,0.25467846,-3.088219324,0.002013598,0.035390237,-,,,,NA,(1 of 4) PTHR33172//PTHR33172:SF2 - FAMILY NOT NAMED // EMB|CAB83157.1,,,,,PTHR33172 PTHR33172:SF2,
non-genetic,Manes.05G002900,15.7359585,-0.569563038,0.184767035,-3.082600946,0.002052001,0.035803698,-,PWY-7511,protein ubiquitylation,zinc ion binding,NA,(1 of 2) PTHR23012//PTHR23012:SF93 - MEMBRANE ASSOCIATED RING FINGER // RING/FYVE/PHD ZINC FINGER-CONTAINING PROTEIN,GO:0008270,,,PF12428 PF12906,PTHR23012 PTHR23012:SF93,RING/FYVE/PHD zinc finger superfamily protein
non-genetic,Manes.10G007900,12.93330827,-0.60433641,0.196230855,-3.079721636,0.002071941,0.035963623,-,,,,NA,(1 of 4) PTHR31213//PTHR31213:SF3 - FAMILY NOT NAMED // ABSCISIC ACID RECEPTOR PYL4,,,K14496,PF10604,PTHR31213 PTHR31213:SF3,PYR1-like 4
non-genetic,Manes.11G095000,6.931121291,-0.831235359,0.269967276,-3.079022657,0.002076809,0.036009222,-,,,actin binding; intracellular anatomical structure; actin cytoskeleton; actin filament depolymerization,NA,(1 of 2) PTHR11913//PTHR11913:SF16 - COFILIN-RELATED // ACTIN-DEPOLYMERIZING FACTOR 5-RELATED,GO:0003779 GO:0005622 GO:0015629 GO:0030042,KOG1735,K05765,PF00241,PTHR11913 PTHR11913:SF16,actin depolymerizing factor 5
non-genetic,Manes.14G114400,39.2665598,-0.588854518,0.191713431,-3.071535023,0.002129612,0.036459485,-,,,"hydrolase activity, hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast",NA,(1 of 13) K14504 - xyloglucan:xyloglucosyl transferase TCH4 (TCH4),GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046,,K08235 K14504,PF00722 PF06955,PTHR31062 PTHR31062:SF32,xyloglucan endotransglycosylase 6
non-genetic,Manes.02G216800,15.33015892,-0.527529807,0.172183765,-3.063760438,0.002185739,0.036986136,-,PWY-2902,cytokinin-<i>O</i>-glucosides biosynthesis,metabolic process; hexosyltransferase activity,NA,(1 of 2) PTHR11926:SF176 - UDP-GLYCOSYLTRANSFERASE 87A2,GO:0008152 GO:0016758,KOG1192,,PF00201,PTHR11926 PTHR11926:SF176,UDP-Glycosyltransferase superfamily protein
