"","gene_id","colors","locusName","Pathways","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"184","Manes.03G171200.v8.1","lightsteelblue","Manes.03G171200","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 2) PTHR11817:SF14 - PLASTIDIAL PYRUVATE KINASE 1; CHLOROPLASTIC","GO:0000287 GO:0004743 GO:0006096 GO:0030955","KOG2323","K00873","PF00224 PF02887","PTHR11817 PTHR11817:SF14","Pyruvate kinase family protein"
"185","Manes.03G191000.v8.1","turquoise","Manes.03G191000","PWY-6724","carb","(1 of 1) PTHR31352:SF3 - INACTIVE BETA-AMYLASE 9","GO:0000272 GO:0016161","","","PF01373","PTHR31352 PTHR31352:SF3","beta-amylase 3"
"186","Manes.03G195200.v8.1","skyblue2","Manes.03G195200","PWY-5936","carb","(1 of 4) K08238 - xyloglucan 6-xylosyltransferase [EC:2.4.2.39] Xyl a1-6 Glc (XXT)","GO:0016021 GO:0016757","KOG4748","K08238","PF05637","PTHR31311 PTHR31311:SF6","UDP-xylosyltransferase 2"
"187","Manes.03G198900.v8.1","plum3","Manes.03G198900","PWY-3801","carb","(1 of 2) PTHR12526//PTHR12526:SF348 - GLYCOSYLTRANSFERASE // SUCROSE SYNTHASE 2","GO:0005985 GO:0016157","","K00695","PF00534 PF00862","PTHR12526 PTHR12526:SF348","sucrose synthase 2"
"188","Manes.03G202900.v8.1","grey","Manes.03G202900","","carb","(1 of 63) 3.2.1.39 - Glucan endo-1;3-beta-D-glucosidase / Laminarinase","GO:0004553 GO:0005975","","","PF00332","PTHR32227 PTHR32227:SF125","Glycosyl hydrolase superfamily protein"
"189","Manes.03G206800.v8.1","royalblue","Manes.03G206800","PWY-3821; PWY-6527; PWY66-422; PWY-7344","carb","(1 of 2) 2.7.1.6 - Galactokinase","GO:0004335 GO:0005524 GO:0005737 GO:0006012 GO:0008152 GO:0016301 GO:0016773 GO:0046835","KOG0631","K18674","PF00288 PF08544 PF10509","PTHR10457 PTHR10457:SF7","Mevalonate/galactokinase family protein"
"190","Manes.03G209300.v8.1","red","Manes.03G209300","","carb","(1 of 1) PTHR11214//PTHR11214:SF131 - BETA-1;3-N-ACETYLGLUCOSAMINYLTRANSFERASE // BETA-1;3-GALACTOSYLTRANSFERASE 16-RELATED","GO:0006486 GO:0008378 GO:0016020 GO:0030246","KOG2287","","PF00337 PF01762","PTHR11214 PTHR11214:SF131","Galactosyltransferase family protein"
"191","Manes.04G004900.v8.1","darkolivegreen2","Manes.04G004900","","carb","(1 of 2) PTHR13713//PTHR13713:SF54 - SIALYLTRANSFERASE // SUBFAMILY NOT NAMED","GO:0006486 GO:0008373","","","PF00777","PTHR13713 PTHR13713:SF54","Glycosyltransferase family 29 (sialyltransferase) family protein"
"192","Manes.04G010600.v8.1","yellow","Manes.04G010600","PWY-4821","carb","(1 of 2) K12449 - UDP-apiose/xylose synthase (AXS)","GO:0016491 GO:0055114","KOG1429","K12449","PF03435","PTHR10366 PTHR10366:SF348","UDP-D-apiose/UDP-D-xylose synthase 2"
"193","Manes.04G013900.v8.1","yellow","Manes.04G013900","","carb","(1 of 38) K08235 - xyloglucan:xyloglucosyl transferase (E2.4.1.207)","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","","K08235","PF00722 PF06955","PTHR31062 PTHR31062:SF18","xyloglucan endo-transglycosylase-related 8"
"194","Manes.04G014700.v8.1","lightskyblue4","Manes.04G014700","","carb","(1 of 2) K01206 - alpha-L-fucosidase (FUCA)","GO:0004560 GO:0005975","","K01206","PF01120","PTHR10030 PTHR10030:SF27","alpha-L-fucosidase 1"
"195","Manes.04G021700.v8.1","lightcyan1","Manes.04G021700","PWY-7560","carot","(1 of 2) 1.17.7.1 - (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin) / 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase","GO:0005506 GO:0008299 GO:0016114 GO:0046429 GO:0055114","","K03526","PF04551","PTHR30454 PTHR30454:SF0","4-hydroxy-3-methylbut-2-enyl diphosphate synthase"
"196","Manes.04G022500.v8.1","royalblue3","Manes.04G022500","","carb","(1 of 1) 3.2.1.145//3.2.1.23 - Galactan 1;3-beta-galactosidase // Beta-galactosidase / Lactase","GO:0004553 GO:0005975 GO:0030246","","","PF01301 PF02140","PTHR23421 PTHR23421:SF58","beta-galactosidase 8"
"197","Manes.04G032900.v8.1","navajowhite1","Manes.04G032900","PWY-4821","carb","(1 of 3) PTHR10366//PTHR10366:SF323 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // SUBFAMILY NOT NAMED","GO:0003854 GO:0006694 GO:0016616 GO:0055114","","K08678","PF01073","PTHR10366 PTHR10366:SF323","UDP-XYL synthase 6"
"198","Manes.04G044225.v8.1","honeydew1","Manes.04G044225","PWY-6902","carb","(1 of 4) PTHR22595//PTHR22595:SF61 - CHITINASE-RELATED // SUBFAMILY NOT NAMED","GO:0004568 GO:0005975 GO:0006032 GO:0008061 GO:0016998","KOG4742","K01183","PF00182 PF00187","PTHR22595 PTHR22595:SF61","homolog of carrot EP3-3 chitinase"
"199","Manes.04G043700.v8.1","darkmagenta","Manes.04G043700","PWY-4101; PWY-3801; PWY-621","carb","(1 of 2) PTHR10584:SF168 - F14I3.3 PROTEIN-RELATED","GO:0004747 GO:0006014","KOG2855","K00847","PF00294","PTHR10584 PTHR10584:SF168","pfkB-like carbohydrate kinase family protein"
"200","Manes.04G053900.v8.1","yellow","Manes.04G053900","PWY-1081","carb","(1 of 1) PTHR31707:SF29 - PECTINESTERASE/PECTINESTERASE INHIBITOR 16-RELATED","GO:0004857 GO:0005618 GO:0030599 GO:0042545","","","PF01095 PF04043","PTHR31707 PTHR31707:SF29","pectin methylesterase 61"
"201","Manes.04G058600.v8.1","brown","Manes.04G058600","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS","carb","(1 of 1) K09658 - dolichyl-phosphate mannosyltransferase polypeptide 2; regulatory subunit (DPM2)","GO:0009059 GO:0030176","KOG3488","K09658","PF07297","PTHR15039","dolichol phosphate-mannose biosynthesis regulatory protein-related"
"202","Manes.04G057600.v8.1","darkviolet","Manes.04G057600","","carb","(1 of 4) K15920 - beta-D-xylosidase 4 (XYL4)","GO:0004553 GO:0005975","","K15920","PF00933 PF01915 PF14310","PTHR30620 PTHR30620:SF40","beta-D-xylosidase 4"
"203","Manes.04G067900.v8.1","plum1","Manes.04G067900","PWY-6902","carb","(1 of 6) PF00182//PF00187 - Chitinase class I (Glyco_hydro_19) // Chitin recognition protein (Chitin_bind_1)","GO:0004568 GO:0005975 GO:0006032 GO:0008061 GO:0016998","KOG4742","K01183","PF00182 PF00187","PTHR22595 PTHR22595:SF34","basic chitinase"
"204","Manes.04G078300.v8.1","salmon4","Manes.04G078300","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 2) PTHR21139//PTHR21139:SF7 - TRIOSEPHOSPHATE ISOMERASE // TRIOSEPHOSPHATE ISOMERASE; CHLOROPLASTIC","GO:0004807 GO:0008152","KOG1643","K01803","PF00121","PTHR21139 PTHR21139:SF7","triosephosphate isomerase"
"205","Manes.04G082800.v8.1","thistle2","Manes.04G082800","PWY-3881","carb","(1 of 1) 1.1.1.224 - Mannose-6-phosphate 6-reductase / NADPH-mannose-6-P reductase","GO:0016491 GO:0055114","KOG1577","K00011","PF00248","PTHR11732 PTHR11732:SF209","NAD(P)-linked oxidoreductase superfamily protein"
"206","Manes.04G083800.v8.1","lavenderblush1","Manes.04G083800","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 3) PTHR11627:SF15 - FRUCTOSE-BISPHOSPHATE ALDOLASE 2; CHLOROPLASTIC-RELATED","GO:0004332 GO:0006096","","K01623","PF00274","PTHR11627 PTHR11627:SF15","fructose-bisphosphate aldolase 2"
"207","Manes.04G085100.v8.1","darkturquoise","Manes.04G085100","PWY-4261","carb","(1 of 1) PTHR10196//PTHR10196:SF9 - SUGAR KINASE // XYLULOSE KINASE-RELATED","GO:0005975 GO:0016773","KOG2517","","PF00370","PTHR10196 PTHR10196:SF9","xylulose kinase-1"
"208","Manes.04G092900.v8.1","red","Manes.04G092900","","carb","(1 of 4) 2.4.99.4 - Beta-galactoside alpha-2;3-sialyltransferase / CMP-N-acetylneuraminate-beta-galactosamide-alpha-2;3-sialyltransferase","GO:0006486 GO:0008373","KOG2692","","PF00777","PTHR13713 PTHR13713:SF31","MALE GAMETOPHYTE DEFECTIVE 2"
"209","Manes.04G093000.v8.1","chocolate4","Manes.04G093000","","carb","(1 of 1) PTHR11607//PTHR11607:SF29 - ALPHA-MANNOSIDASE // SUBFAMILY NOT NAMED","GO:0004553 GO:0004559 GO:0005975 GO:0006013 GO:0008270 GO:0015923","","","PF01074 PF07748 PF09261","PTHR11607 PTHR11607:SF29","Glycosyl hydrolase family 38 protein"
"210","Manes.04G096600.v8.1","purple","Manes.04G096600","","carb","(1 of 3) PTHR31062//PTHR31062:SF15 - FAMILY NOT NAMED // XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 4-RELATED","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","","K08235","PF00722 PF06955","PTHR31062 PTHR31062:SF15","xyloglucan endotransglucosylase/hydrolase 5"
"211","Manes.04G098400.v8.1","plum1","Manes.04G098400","","carb","(1 of 3) PTHR11122//PTHR11122:SF22 - APOSPORY-ASSOCIATED PROTEIN C-RELATED // SUBFAMILY NOT NAMED","GO:0005975 GO:0016853","","K01792","PF01263","PTHR11122 PTHR11122:SF22","Galactose mutarotase-like superfamily protein"
"212","Manes.04G133900.v8.1","moccasin","Manes.04G133900","PWY-7117; GLUCONEO-PWY; PWY-241","carb","(1 of 4) 1.1.1.40 - Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)) / Pyruvic-malic carboxylase","GO:0004470 GO:0004471 GO:0006108 GO:0051287 GO:0055114","","K00029","PF00390 PF03949","PTHR23406 PTHR23406:SF11","NADP-malic enzyme 4"
"213","Manes.04G134700.v8.1","grey","Manes.04G134700","PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY","carb","(1 of 6) K00844 - hexokinase (HK)","GO:0001678 GO:0004396 GO:0005524 GO:0005536 GO:0005975 GO:0016773 GO:0046835","","K00844","PF00349 PF03727","PTHR19443 PTHR19443:SF26",""
"214","Manes.04G139200.v8.1","pink4","Manes.04G139200","","carb","(1 of 5) PTHR23421//PTHR23421:SF74 - BETA-GALACTOSIDASE RELATED // BETA-GALACTOSIDASE 1","GO:0004553 GO:0005975 GO:0030246","","","PF01301 PF02140","PTHR23421 PTHR23421:SF74","beta galactosidase 1"
"215","Manes.04G151000.v8.1","greenyellow","Manes.04G151000","PWY-1081","carb","(1 of 3) PTHR31707:SF55 - PECTINESTERASE 2-RELATED","GO:0004857 GO:0005618 GO:0030599 GO:0042545","","K01051","PF01095 PF04043","PTHR31707 PTHR31707:SF55","pectin methylesterase 3"
"216","Manes.04G159700.v8.1","skyblue1","Manes.04G159700","","carb","(1 of 1) K01190 - beta-galactosidase (lacZ)","GO:0004553 GO:0004565 GO:0005975 GO:0009341","KOG2024","K01190","PF00703 PF02836 PF02837 PF02929 PF16353","PTHR10066 PTHR10066:SF72","glycoside hydrolase family 2 protein"
"217","Manes.04G160300.v8.1","yellowgreen","Manes.04G160300","","carb","(1 of 2) PTHR11452//PTHR11452:SF18 - ALPHA-GALACTOSIDASE/ALPHA-N-ACETYLGALACTOSAMINIDASE // ALPHA-GALACTOSIDASE 1","GO:0004553 GO:0005975","","K07407","PF16499","PTHR11452 PTHR11452:SF18","alpha-galactosidase 1"
"218","Manes.04G160400.v8.1","yellow","Manes.04G160400","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 3) PTHR11817:SF5 - PYRUVATE KINASE-RELATED","GO:0000287 GO:0004743 GO:0006096 GO:0030955","","K00873","PF00224 PF02887","PTHR11817 PTHR11817:SF5","Pyruvate kinase family protein"
"219","Manes.04G164700.v8.1","yellow","Manes.04G164700","PWY-695","carot","(1 of 1) K09841 - xanthoxin dehydrogenase (ABA2)","GO:0008152 GO:0008667 GO:0016491 GO:0019290 GO:0055114","KOG0725","K09841","PF13561","PTHR24322 PTHR24322:SF301","NAD(P)-binding Rossmann-fold superfamily protein"
"220","Manes.05G001000.v8.1","blue3","Manes.05G001000","PWY-1061","carb","(1 of 2) PTHR13778//PTHR13778:SF8 - GLYCOSYLTRANSFERASE 8 DOMAIN-CONTAINING PROTEIN // GALACTURONOSYLTRANSFERASE-LIKE 6-RELATED","GO:0016757","","","PF01501","PTHR13778 PTHR13778:SF8","galacturonosyltransferase-like 7"
"221","Manes.05G002500.v8.1","tan","Manes.05G002500","","carb","(1 of 1) PTHR30620//PTHR30620:SF4 - PERIPLASMIC BETA-GLUCOSIDASE-RELATED // BETA-D-XYLOSIDASE 2-RELATED","GO:0004553 GO:0005975","","","PF00933 PF01915 PF14310","PTHR30620 PTHR30620:SF4","beta-xylosidase 2"
"222","Manes.05G012000.v8.1","blue","Manes.05G012000","PWY-5337","carb","(1 of 2) PTHR11183//PTHR11183:SF54 - GLYCOGENIN // SUBFAMILY NOT NAMED","GO:0016757","KOG1950","K18819","PF01501","PTHR11183 PTHR11183:SF54","galactinol synthase 1"
"223","Manes.05G008400.v8.1","honeydew1","Manes.05G008400","PWY-6902","carb","(1 of 1) PTHR22595//PTHR22595:SF35 - CHITINASE-RELATED // SUBFAMILY NOT NAMED","GO:0004568 GO:0005975 GO:0006032 GO:0016998","KOG4742","","PF00182","PTHR22595 PTHR22595:SF35","Chitinase family protein"
"224","Manes.05G006400.v8.1","coral2","Manes.05G006400","","carb","(1 of 1) PTHR31451:SF14 - MANNAN ENDO-1;4-BETA-MANNOSIDASE 1","GO:0004553 GO:0005975","","K19355","PF00150","PTHR31451 PTHR31451:SF14",""
"225","Manes.05G024600.v8.1","pink4","Manes.05G024600","","carb","(1 of 2) K17525 - chitinase domain-containing protein 1 (CHID1)","GO:0004553 GO:0004568 GO:0005975 GO:0006032","KOG2091","K17525","PF00704","PTHR11177","Glycosyl hydrolase superfamily protein"
"226","Manes.05G025700.v8.1","turquoise","Manes.05G025700","","carb","(1 of 2) PTHR10231//PTHR10231:SF48 - NUCLEOTIDE-SUGAR TRANSMEMBRANE TRANSPORTER // CMP-SIALIC ACID TRANSPORTER 1","GO:0000139 GO:0005338 GO:0005351 GO:0008643 GO:0015780 GO:0016021","KOG2234","K15272","PF04142","PTHR10231 PTHR10231:SF48","Nucleotide-sugar transporter family protein"
"227","Manes.05G026500.v8.1","thistle","Manes.05G026500","","carb","(1 of 3) PTHR11122//PTHR11122:SF10 - APOSPORY-ASSOCIATED PROTEIN C-RELATED // APOSPORY-ASSOCIATED PROTEIN C-RELATED","GO:0005975 GO:0016853","","K01792","PF01263","PTHR11122 PTHR11122:SF10","Galactose mutarotase-like superfamily protein"
"228","Manes.05G027700.v8.1","green","Manes.05G027700","PWY-6902","carb","(1 of 1) PTHR11177//PTHR11177:SF170 - CHITINASE // SUBFAMILY NOT NAMED","GO:0004553 GO:0005975","","K01183","PF00704","PTHR11177 PTHR11177:SF170",""
"229","Manes.05G034800.v8.1","mediumpurple4","Manes.05G034800","PWY-6724","carb","(1 of 7) K01177 - beta-amylase (E3.2.1.2)","GO:0000272 GO:0016161","","K01177","PF01373","PTHR31352 PTHR31352:SF6","beta-amylase 2"
"230","Manes.05G034900.v8.1","turquoise","Manes.05G034900","PWY-6724","carb","(1 of 1) PTHR31352:SF2 - BETA-AMYLASE 7","GO:0000272 GO:0016161","","","PF01373 PF05687","PTHR31352 PTHR31352:SF2","beta-amylase 7"
"231","Manes.05G037500.v8.1","purple","Manes.05G037500","PWY-882; PWY-5659","carb","(1 of 2) K17497 - phosphomannomutase (PMM)","GO:0003824 GO:0004615 GO:0005737 GO:0008152 GO:0009298","KOG3189","K17497","PF03332","PTHR10466","phosphomannomutase"
"232","Manes.05G037900.v8.1","green","Manes.05G037900","GLUCONEO-PWY; PWY-7115","carb","(1 of 3) K00028 - malate dehydrogenase (decarboxylating) (E1.1.1.39)","GO:0004470 GO:0004471 GO:0006108 GO:0051287 GO:0055114","","K00028","PF00390 PF03949","PTHR23406 PTHR23406:SF32","NAD-dependent malic enzyme 2"
"233","Manes.05G042200.v8.1","greenyellow","Manes.05G042200","PWY-1061","carb","(1 of 2) PTHR32116//PTHR32116:SF4 - FAMILY NOT NAMED // POLYGALACTURONATE 4-ALPHA-GALACTURONOSYLTRANSFERASE-RELATED","GO:0016757 GO:0047262","","K13648","PF01501","PTHR32116 PTHR32116:SF4","galacturonosyltransferase 1"
"234","Manes.05G047000.v8.1","grey60","Manes.05G047000","PHOTOALL-PWY; PENTOSE-P-PWY; NONOXIPENT-PWY; PWY-5723; CALVIN-PWY","carb","(1 of 1) 2.2.1.1//2.2.1.2 - Transketolase / Glycoaldehyde transferase // Transaldolase / Glycerone transferase","GO:0003824 GO:0004802 GO:0008152","","K00615","PF00456 PF02779 PF02780","PTHR11624 PTHR11624:SF81","Transketolase"
"235","Manes.05G047300.v8.1","salmon1","Manes.05G047300","PWY-1081","carb","(1 of 137) 3.1.1.11 - Pectinesterase / Pectin methylesterase","GO:0004857","","","PF04043","PTHR31080 PTHR31080:SF12","Plant invertase/pectin methylesterase inhibitor superfamily protein"
"236","Manes.05G051800.v8.1","blue","Manes.05G051800","","carb","(1 of 1) PTHR31934//PTHR31934:SF4 - FAMILY NOT NAMED // ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN","GO:0006505 GO:0006886 GO:0016788","","","PF07819","PTHR31934 PTHR31934:SF4","alpha/beta-Hydrolases superfamily protein"
"237","Manes.05G056250.v8.1","lavenderblush","Manes.05G056250","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS","carb","(1 of 1) 2.4.1.260 - Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1;6-mannosyltransferase / Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl alpha-6-mannosyltransferase","GO:0016757","KOG2516","K03847","PF03901","PTHR22760 PTHR22760:SF1","homolog of asparagine-linked glycosylation 12"
"238","Manes.05G057700.v8.1","black","Manes.05G057700","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS","carb","(1 of 1) 2.4.1.265 - Dolichyl-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-dolichol alpha-1;3- glucosyltransferase / Dol-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-Dol alpha-1->3-glucosyltransferase","GO:0005789 GO:0016758","KOG2576","K03849","PF03155","PTHR12413 PTHR12413:SF2","ALG6, ALG8 glycosyltransferase family"
"239","Manes.05G058600.v8.1","salmon4","Manes.05G058600","PWY-1081","carb","(1 of 137) 3.1.1.11 - Pectinesterase / Pectin methylesterase","GO:0004857","","","PF04043","PTHR31707 PTHR31707:SF53",""
"240","Manes.05G059200.v8.1","salmon1","Manes.05G059200","GLUCONEO-PWY; PWY-7115","carb","(1 of 1) PTHR23406:SF2 - NAD-DEPENDENT MALIC ENZYME 1; MITOCHONDRIAL","GO:0004470 GO:0004471 GO:0006108 GO:0051287 GO:0055114","","K00028","PF00390 PF03949","PTHR23406 PTHR23406:SF2","NAD-dependent malic enzyme 1"
"241","Manes.05G060700.v8.1","turquoise","Manes.05G060700","PWY0-662","carb","(1 of 1) PTHR10210//PTHR10210:SF58 - RIBOSE-PHOSPHATE PYROPHOSPHOKINASE // RIBOSE-PHOSPHATE PYROPHOSPHOKINASE 5; CHLOROPLASTIC","GO:0000287 GO:0004749 GO:0009165","KOG1448","K00948","PF13793 PF14572","PTHR10210 PTHR10210:SF58","Phosphoribosyltransferase family protein"
"242","Manes.05G062100.v8.1","tan3","Manes.05G062100","PWY-4821","carb","(1 of 2) PTHR10366:SF465 - UDP-GLUCURONIC ACID DECARBOXYLASE 1","GO:0003854 GO:0006694 GO:0016616 GO:0055114","","K08678","PF01073","PTHR10366 PTHR10366:SF465","NAD(P)-binding Rossmann-fold superfamily protein"
"243","Manes.05G062700.v8.1","red","Manes.05G062700","PWY-3121; PWY-6002; PWY-7089; PWY-5176; PWY-7092; PWY-7091","carb","(1 of 4) PTHR10353//PTHR10353:SF29 - GLYCOSYL HYDROLASE // BETA-GLUCOSIDASE 1-RELATED","GO:0004553 GO:0005975","","K01188","PF00232","PTHR10353 PTHR10353:SF29","beta glucosidase 11"
"244","Manes.05G062800.v8.1","lightslateblue","Manes.05G062800","PWY-3121; PWY-6002; PWY-7089; PWY-5176; PWY-7092; PWY-7091","carb","(1 of 4) PTHR10353//PTHR10353:SF29 - GLYCOSYL HYDROLASE // BETA-GLUCOSIDASE 1-RELATED","GO:0004553 GO:0005975","","K01188","PF00232","PTHR10353 PTHR10353:SF29","beta glucosidase 11"
"245","Manes.05G064100.v8.1","steelblue","Manes.05G064100","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS","carb","(1 of 1) 2.4.1.258 - Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1;3-mannosyltransferase / Man(5)GlcNAc(2)-PP-Dol mannosyltransferase","GO:0005783 GO:0016021 GO:0016758","KOG2762","K03845","PF05208","PTHR12646 PTHR12646:SF0","asparagine-linked glycosylation 3"
"246","Manes.05G073400.v8.1","coral4","Manes.05G073400","PWY-6724; PWY-622","carb","(1 of 1) PTHR10357:SF115 - ISOAMYLASE 2; CHLOROPLASTIC","GO:0003824 GO:0004553 GO:0005975 GO:0043169","KOG0470","","PF00128 PF02922","PTHR10357 PTHR10357:SF115","debranching enzyme 1"
"247","Manes.05G084900.v8.1","skyblue1","Manes.05G084900","PWY-1061","carb","(1 of 1) PTHR32116:SF0 - GALACTURONOSYLTRANSFERASE 5-RELATED","GO:0016757 GO:0047262","","K13648","PF01501","PTHR32116 PTHR32116:SF0","galacturonosyltransferase 6"
"248","Manes.05G087900.v8.1","tan","Manes.05G087900","","carb","(1 of 4) PTHR10788//PTHR10788:SF14 - TREHALOSE-6-PHOSPHATE SYNTHASE // ALPHA;ALPHA-TREHALOSE-PHOSPHATE SYNTHASE [UDP-FORMING] 10-RELATED","GO:0003824 GO:0005992 GO:0008152","","K16055","PF00982 PF02358","PTHR10788 PTHR10788:SF14","trehalose-phosphatase/synthase 9"
"249","Manes.05G092000.v8.1","mediumpurple","Manes.05G092000","PWY-1061","carb","(1 of 2) PTHR13778//PTHR13778:SF9 - GLYCOSYLTRANSFERASE 8 DOMAIN-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0016757","","","PF01501","PTHR13778 PTHR13778:SF9","glucosyl transferase family 8"
"250","Manes.05G095000.v8.1","grey60","Manes.05G095000","","carb","(1 of 3) PTHR11214//PTHR11214:SF103 - BETA-1;3-N-ACETYLGLUCOSAMINYLTRANSFERASE // BETA-1;3-GALACTOSYLTRANSFERASE 17-RELATED","GO:0006486 GO:0008378 GO:0016020 GO:0030246","KOG2287","","PF00337 PF01762","PTHR11214 PTHR11214:SF103",""
"251","Manes.05G097100.v8.1","magenta","Manes.05G097100","","carb","(1 of 3) 3.2.1.1//3.2.1.141 - Alpha-amylase / Glycogenase // 4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase / Maltooligosyl trehalose trehalohydrolase","GO:0003824 GO:0004556 GO:0005509 GO:0005975 GO:0043169","KOG0471","","PF00128 PF07821","PTHR10357 PTHR10357:SF139","alpha-amylase-like 3"
"252","Manes.05G102300.v8.1","indianred2","Manes.05G102300","","carb","(1 of 3) K14413 - beta-1;3-galactosyltransferase (GALT1)","GO:0006486 GO:0008378 GO:0016020 GO:0030246","KOG2287","K14413","PF00337 PF01762","PTHR11214 PTHR11214:SF129","galactosyltransferase1"
"253","Manes.05G108100.v8.1","green","Manes.05G108100","","carb","(1 of 13) K14504 - xyloglucan:xyloglucosyl transferase TCH4 (TCH4)","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","","K08235 K14504","PF00722 PF06955","PTHR31062 PTHR31062:SF32","xyloglucan endotransglycosylase 6"
"254","Manes.05G108500.v8.1","mediumpurple4","Manes.05G108500","PWY-7238","carb","(1 of 1) PTHR11468//PTHR11468:SF14 - GLYCOGEN PHOSPHORYLASE // SUBFAMILY NOT NAMED","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF14",""
"255","Manes.05G108750.v8.1","pink4","Manes.05G108750","PWY-7346; PWY-4821","carb","(1 of 4) K00012 - UDPglucose 6-dehydrogenase (UGDH; ugd)","GO:0003979 GO:0016616 GO:0051287 GO:0055114","","K00012","PF00984 PF03720 PF03721","PTHR11374 PTHR11374:SF28","UDP-glucose 6-dehydrogenase family protein"
"256","Manes.05G112500.v8.1","magenta","Manes.05G112500","PENTOSE-P-PWY; OXIDATIVEPENT-PWY","carb","(1 of 5) 3.1.1.31 - 6-phosphogluconolactonase","GO:0005975 GO:0006098 GO:0017057","KOG3147","K01057","PF01182","PTHR11054 PTHR11054:SF2","6-phosphogluconolactonase 1"
"257","Manes.05G110800.v8.1","pink","Manes.05G110800","","carb","(1 of 9) 5.4.99.30 - UDP-arabinopyranose mutase","GO:0016866 GO:0030244","","K13379","PF03214","PTHR31682 PTHR31682:SF3","reversibly glycosylated polypeptide 3"
"258","Manes.05G128600.v8.1","darkslateblue","Manes.05G128600","PWY-922; PWY-5910","carot","(1 of 5) 1.1.1.34 - Hydroxymethylglutaryl-CoA reductase (NADPH) / HMG-CoA reductase","GO:0004420 GO:0008299 GO:0015936 GO:0016021 GO:0050661 GO:0050662 GO:0055114","","K00021","PF00368","PTHR10572 PTHR10572:SF9","hydroxy methylglutaryl CoA reductase 1"
"259","Manes.05G127800.v8.1","magenta","Manes.05G127800","","carb","(1 of 1) PTHR31407//PTHR31407:SF17 - FAMILY NOT NAMED // PSBP DOMAIN-CONTAINING PROTEIN 3; CHLOROPLASTIC","GO:0005509 GO:0009523 GO:0009654 GO:0015979 GO:0019898","","","PF01789","PTHR31407 PTHR31407:SF17","Photosystem II reaction center PsbP family protein"
"260","Manes.05G125800.v8.1","purple","Manes.05G125800","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS","carb","(1 of 4) K12666 - oligosaccharyltransferase complex subunit alpha (ribophorin I) (OST1; RPN1)","GO:0004579 GO:0005783 GO:0006486 GO:0016021","","K12666","PF04597","PTHR21049 PTHR21049:SF1","Ribophorin I"
"261","Manes.05G125000.v8.1","lightgreen","Manes.05G125000","","carb","(1 of 63) 3.2.1.39 - Glucan endo-1;3-beta-D-glucosidase / Laminarinase","GO:0004553 GO:0005975","","","PF00332 PF07983","PTHR32227 PTHR32227:SF89",""
"262","Manes.05G133800.v8.1","darkolivegreen4","Manes.05G133800","GLYCOGENSYNTH-PWY; PWY-622","carb","(1 of 1) PTHR10357:SF110 - PROTEIN T04A8.7; ISOFORM A","GO:0003824 GO:0003844 GO:0004553 GO:0005975 GO:0005978 GO:0043169","","K00700","PF00128 PF02806 PF02922","PTHR10357 PTHR10357:SF110",""
