"","locusName","Description","class","Pathways","Pathways_Desc","GODescription","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"90","Manes.05G021300","(1 of 14) 3.2.1.26 - Beta-fructofuranosidase / Saccharase","carbohydrate","PWY66-373; PWY-621","sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase)","endo-alpha-N-acetylgalactosaminidase activity","GO:0033926","","","PF12899","PTHR31916 PTHR31916:SF6",""
"91","Manes.05G034800","(1 of 7) K01177 - beta-amylase (E3.2.1.2)","carbohydrate","PWY-6724","starch degradation II","polysaccharide catabolic process; beta-amylase activity","GO:0000272 GO:0016161","","K01177","PF01373","PTHR31352 PTHR31352:SF6","beta-amylase 2"
"92","Manes.05G034900","(1 of 1) PTHR31352:SF2 - BETA-AMYLASE 7","carbohydrate","PWY-6724","starch degradation II","polysaccharide catabolic process; beta-amylase activity","GO:0000272 GO:0016161","","","PF01373 PF05687","PTHR31352 PTHR31352:SF2","beta-amylase 7"
"93","Manes.05G051000","(1 of 5) K00025 - malate dehydrogenase (MDH1)","carbohydrate","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation","malate metabolic process; oxidoreductase activity; malate dehydrogenase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity","GO:0006108 GO:0016491 GO:0016615 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00025","PF00056 PF02866","PTHR23382 PTHR23382:SF7",""
"94","Manes.05G051100","(1 of 5) K00025 - malate dehydrogenase (MDH1)","carbohydrate","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation","malate metabolic process; oxidoreductase activity; malate dehydrogenase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity","GO:0006108 GO:0016491 GO:0016615 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00025","PF00056 PF02866","PTHR23382 PTHR23382:SF7",""
"95","Manes.05G073400","(1 of 1) PTHR10357:SF115 - ISOAMYLASE 2, CHLOROPLASTIC","carbohydrate","PWY-6724; PWY-622","starch degradation II; starch biosynthesis","catalytic activity; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; cation binding","GO:0003824 GO:0004553 GO:0005975 GO:0043169","KOG0470","","PF00128 PF02922","PTHR10357 PTHR10357:SF115","debranching enzyme 1"
"96","Manes.05G093200","(1 of 2) PTHR11516//PTHR11516:SF38 - PYRUVATE DEHYDROGENASE E1 COMPONENT, ALPHA SUBUNIT  BACTERIAL AND ORGANELLAR // SUBFAMILY NOT NAMED","carbohydrate","PWY-5173; PWY-5464; PYRUVDEHYD-PWY","superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA","pyruvate dehydrogenase (acetyl-transferring) activity; acetyl-CoA biosynthetic process from pyruvate; metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor; intracellular membrane-bounded organelle","GO:0004739 GO:0006086 GO:0008152 GO:0016624 GO:0043231","","K00161","PF00676","PTHR11516 PTHR11516:SF38","pyruvate dehydrogenase complex E1 alpha subunit"
"97","Manes.05G108500","(1 of 1) PTHR11468//PTHR11468:SF14 - GLYCOGEN PHOSPHORYLASE // SUBFAMILY NOT NAMED","carbohydrate","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF14",""
"98","Manes.05G125200","(1 of 4) 1.2.1.13 - Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating) / Triosephosphate dehydrogenase (NADP+)","carbohydrate","PWY66-399; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding","GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114","KOG0657","K05298","PF00044 PF02672 PF02800","PTHR10836 PTHR10836:SF39","glyceraldehyde-3-phosphate dehydrogenase B subunit"
"99","Manes.05G129500","(1 of 3) K00895 - pyrophosphate--fructose-6-phosphate 1-phosphotransferase (E2.7.1.90, pfk)","carbohydrate","PWY-5464; PWY-1042","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol)","6-phosphofructokinase activity; ATP binding; glycolytic process; diphosphate-fructose-6-phosphate 1-phosphotransferase activity","GO:0003872 GO:0005524 GO:0006096 GO:0047334","","K00895","PF00365","PTHR13697 PTHR13697:SF1","Phosphofructokinase family protein"
"100","Manes.05G133800","(1 of 1) PTHR10357:SF110 - PROTEIN T04A8.7, ISOFORM A","carbohydrate","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","catalytic activity; 1,4-alpha-glucan branching enzyme activity; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; glycogen biosynthetic process; cation binding","GO:0003824 GO:0003844 GO:0004553 GO:0005975 GO:0005978 GO:0043169","","K00700","PF00128 PF02806 PF02922","PTHR10357 PTHR10357:SF110",""
"101","Manes.05G147500","(1 of 14) 3.2.1.26 - Beta-fructofuranosidase / Saccharase","carbohydrate","PWY66-373; PWY-621","sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase)","endo-alpha-N-acetylgalactosaminidase activity","GO:0033926","","","PF12899","PTHR31916 PTHR31916:SF13",""
"102","Manes.05G157500","(1 of 2) PTHR10584//PTHR10584:SF153 - SUGAR KINASE // SUBFAMILY NOT NAMED","carbohydrate","PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","","","KOG2854","","PF00294","PTHR10584 PTHR10584:SF153","pfkB-like carbohydrate kinase family protein"
"103","Manes.05G160800","(1 of 2) PTHR11469:SF1 - GLUCOSE-6-PHOSPHATE ISOMERASE, CYTOSOLIC","carbohydrate","PWY66-399; PWY-3801; GLUCONEO-PWY; SUCSYN-PWY; PWY-621; PWY-7238; PWY-5659; ANAGLYCOLYSIS-PWY; PWY-622; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation II (sucrose synthase); gluconeogenesis I; sucrose biosynthesis I (from photosynthesis); sucrose degradation III (sucrose invertase); sucrose biosynthesis II; GDP-mannose biosynthesis; glycolysis III (from glucose); starch biosynthesis; homolactic fermentation","glucose-6-phosphate isomerase activity; gluconeogenesis; glycolytic process","GO:0004347 GO:0006094 GO:0006096","","K01810","PF00342","PTHR11469 PTHR11469:SF1","Sugar isomerase (SIS) family protein"
"104","Manes.05G189000","(1 of 2) 2.7.9.4 - Alpha-glucan, water dikinase / Starch-related R1 protein","carbohydrate","PWY-6724","starch degradation II","ATP binding; kinase activity; phosphorylation","GO:0005524 GO:0016301 GO:0016310","","K08244","PF01326","PTHR22931 PTHR22931:SF26","phosphoglucan, water dikinase"
"105","Manes.05G194300","(1 of 1) K15535 - phosphoglucan, water dikinase (PWD)","carbohydrate","PWY-6724","starch degradation II","ATP binding; kinase activity; phosphorylation; starch binding","GO:0005524 GO:0016301 GO:0016310 GO:2001070","","K15535","PF00686 PF01326","PTHR22931 PTHR22931:SF2","catalytics;carbohydrate kinases;phosphoglucan, water dikinases"
"106","Manes.05G200900","(1 of 14) 3.2.1.26 - Beta-fructofuranosidase / Saccharase","carbohydrate","PWY66-373; PWY-621","sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase)","endo-alpha-N-acetylgalactosaminidase activity","GO:0033926","","","PF12899","PTHR31916 PTHR31916:SF15","Plant neutral invertase family protein"
"107","Manes.05G202700","(1 of 2) PTHR11627:SF19 - FRUCTOSE-BISPHOSPHATE ALDOLASE-RELATED","carbohydrate","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","fructose-bisphosphate aldolase activity; glycolytic process","GO:0004332 GO:0006096","","K01623","PF00274","PTHR11627 PTHR11627:SF19","Aldolase superfamily protein"
"108","Manes.05G208000","(1 of 1) PTHR22572//PTHR22572:SF98 - SUGAR-1-PHOSPHATE GUANYL TRANSFERASE // SUBFAMILY NOT NAMED","carbohydrate","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","biosynthetic process; nucleotidyltransferase activity","GO:0009058 GO:0016779","KOG1322","K00975","PF00483","PTHR22572 PTHR22572:SF98","ADP-glucose pyrophosphorylase small subunit 2"
"109","Manes.06G005200","(1 of 1) PF07005 - Putative sugar-binding N-terminal domain (DUF1537)","carbohydrate","PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY; PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY","glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation; gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle","phosphogluconate dehydrogenase (decarboxylating) activity; carbohydrate metabolic process; zinc ion binding; aldehyde-lyase activity; NAD binding","GO:0004616 GO:0005975 GO:0008270 GO:0016832 GO:0051287 GO:0055114","KOG0409","","PF01116 PF03446 PF07005 PF14833 PF17042","PTHR22981 PTHR22981:SF27","ketose-bisphosphate aldolase class-II family protein"
"110","Manes.06G054000","(1 of 1) PTHR10357:SF169 - ISOAMYLASE 1, CHLOROPLASTIC","carbohydrate","PWY-6724; PWY-622","starch degradation II; starch biosynthesis","catalytic activity; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; cation binding","GO:0003824 GO:0004553 GO:0005975 GO:0043169","","K01214","PF00128 PF02922","PTHR10357 PTHR10357:SF169","isoamylase 1"
"111","Manes.06G063500","(1 of 2) PTHR11627//PTHR11627:SF8 - FRUCTOSE-BISPHOSPHATE ALDOLASE // FRUCTOSE-BISPHOSPHATE ALDOLASE 3, CHLOROPLASTIC-RELATED","carbohydrate","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","fructose-bisphosphate aldolase activity; glycolytic process","GO:0004332 GO:0006096","","K01623","PF00274","PTHR11627 PTHR11627:SF8","Aldolase superfamily protein"
"112","Manes.06G091900","(1 of 2) PTHR11540//PTHR11540:SF29 - MALATE AND LACTATE DEHYDROGENASE // SUBFAMILY NOT NAMED","carbohydrate","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation","3-beta-hydroxy-delta5-steroid dehydrogenase (NAD+) activity; malate metabolic process; steroid biosynthetic process; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity","GO:0003854 GO:0006108 GO:0006694 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00026","PF01073 PF02866","PTHR11540 PTHR11540:SF29","malate dehydrogenase"
"113","Manes.06G101600","(1 of 9) 1.3.5.1 - Succinate dehydrogenase (quinone) / Succinic dehydrogenase","carbohydrate","PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781","aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)","","","","","","PTHR36041","(1 of 13) 1.3.5.1 - Succinate dehydrogenase (quinone) / Succinic dehydrogenase"
"114","Manes.06G101800","(1 of 9) 1.3.5.1 - Succinate dehydrogenase (quinone) / Succinic dehydrogenase","carbohydrate","PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781","aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)","","","","","","PTHR36041 PTHR36041:SF1","(1 of 13) 1.3.5.1 - Succinate dehydrogenase (quinone) / Succinic dehydrogenase"
"115","Manes.06G116400","(1 of 8) K00134 - glyceraldehyde 3-phosphate dehydrogenase (GAPDH, gapA)","carbohydrate","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding","GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114","KOG0657","K00134","PF00044 PF02800","PTHR10836 PTHR10836:SF59","glyceraldehyde-3-phosphate dehydrogenase C2"
"116","Manes.06G135500","(1 of 9) K01193 - beta-fructofuranosidase (E3.2.1.26, sacA)","carbohydrate","PWY66-373; PWY-621","sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase)","hydrolase activity, hydrolyzing O-glycosyl compounds; beta-fructofuranosidase activity; sucrose alpha-glucosidase activity; carbohydrate metabolic process","GO:0004553 GO:0004564 GO:0004575 GO:0005975","","K01193","PF00251 PF08244 PF11837","PTHR31953 PTHR31953:SF6",""
"117","Manes.06G141300","(1 of 2) 5.4.2.2//5.4.2.5 - Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent) / Phosphoglucose mutase // Phosphoglucomutase (glucose-cofactor) / Glucose-1-phosphate phosphotransferase","carbohydrate","PWY-3801; GLYCOGENSYNTH-PWY; SUCSYN-PWY; PWY-7238; PWY-7343; GLUCOSE1PMETAB-PWY; PWY-622; PWY66-422","sucrose degradation II (sucrose synthase); glycogen biosynthesis I (from ADP-D-Glucose); sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis; glucose and glucose-1-phosphate degradation; starch biosynthesis; D-galactose degradation V (Leloir pathway)","carbohydrate metabolic process; intramolecular phosphotransferase activity","GO:0005975 GO:0016868 GO:0071704","","K01835","PF00408 PF02878 PF02879 PF02880","PTHR22573 PTHR22573:SF2","phosphoglucomutase"
"118","Manes.06G141400","(1 of 1) PTHR10584//PTHR10584:SF192//PTHR10584:SF200 - SUGAR KINASE // FRUCTOKINASE 1 // SUBFAMILY NOT NAMED","carbohydrate","PWY-4101; PWY-3801; PWY-621","D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase)","ribokinase activity; D-ribose metabolic process","GO:0004747 GO:0006014","KOG2855","K00847","PF00294","PTHR10584 PTHR10584:SF192","pfkB-like carbohydrate kinase family protein"
"119","Manes.06G155200","(1 of 2) PTHR11817//PTHR11817:SF2 - PYRUVATE KINASE // PLASTIDIAL PYRUVATE KINASE 2","carbohydrate","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding","GO:0000287 GO:0004743 GO:0006096 GO:0030955","","K00873","PF00224 PF02887","PTHR11817 PTHR11817:SF2","plastidic pyruvate kinase beta subunit 1"
"120","Manes.06G161400","(1 of 2) PTHR19443:SF6 - HEXOKINASE-3-RELATED","carbohydrate","PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY","sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation","intracellular glucose homeostasis; hexokinase activity; ATP binding; D-glucose binding; carbohydrate metabolic process; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation","GO:0001678 GO:0004396 GO:0005524 GO:0005536 GO:0005975 GO:0016773 GO:0046835","","K00844","PF00349 PF03727","PTHR19443 PTHR19443:SF6","hexokinase-like 1"
"121","Manes.06G176400","(1 of 2) PTHR11406:SF8 - PHOSPHOGLYCERATE KINASE 1, CHLOROPLASTIC-RELATED","carbohydrate","PWY66-399; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","phosphoglycerate kinase activity; glycolytic process","GO:0004618 GO:0006096","","K00927","PF00162","PTHR11406 PTHR11406:SF8","phosphoglycerate kinase 1"
"122","Manes.06G176500","(1 of 2) PTHR11406//PTHR11406:SF9 - PHOSPHOGLYCERATE KINASE // PHOSPHOGLYCERATE KINASE","carbohydrate","PWY66-399; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","phosphoglycerate kinase activity; glycolytic process","GO:0004618 GO:0006096","","K00927","PF00162","PTHR11406 PTHR11406:SF9","phosphoglycerate kinase"
"123","Manes.06G176700","(1 of 2) PTHR10836//PTHR10836:SF46 - GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE // SUBFAMILY NOT NAMED","carbohydrate","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding","GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114","KOG0657","K00134","PF00044 PF02800","PTHR10836 PTHR10836:SF46","glyceraldehyde-3-phosphate dehydrogenase of plastid 2"
"124","Manes.07G000100","(1 of 1) PTHR11627//PTHR11627:SF21 - FRUCTOSE-BISPHOSPHATE ALDOLASE // SUBFAMILY NOT NAMED","carbohydrate","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","fructose-bisphosphate aldolase activity; glycolytic process","GO:0004332 GO:0006096","","K01623","PF00274","PTHR11627 PTHR11627:SF21","Aldolase superfamily protein"
"125","Manes.07G000500","(1 of 4) 2.3.3.1//2.3.3.16 - Citrate (Si)-synthase / Citrate oxaloacetate-lyase ((pro-3S)-CH(2)COO->acetyl-CoA) // Citrate synthase (unknown stereospecificity) / Oxaloacetate transacetase","carbohydrate","GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561","glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation","citrate (Si)-synthase activity; citrate metabolic process; acyltransferase activity, acyl groups converted into alkyl on transfer","GO:0004108 GO:0006101 GO:0046912","","K01647","PF00285","PTHR11739 PTHR11739:SF8","Citrate synthase family protein"
"126","Manes.07G049100","(1 of 2) PTHR11540:SF21 - MALATE DEHYDROGENASE, GLYOXYSOMAL","carbohydrate","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation","malate metabolic process; oxidoreductase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity","GO:0006108 GO:0016491 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00026","PF00056 PF02866","PTHR11540 PTHR11540:SF21","peroxisomal NAD-malate dehydrogenase 1"
"127","Manes.07G056100","(1 of 2) PTHR11817//PTHR11817:SF21 - PYRUVATE KINASE // SUBFAMILY NOT NAMED","carbohydrate","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding","GO:0000287 GO:0004743 GO:0006096 GO:0030955","KOG2323","K00873","PF00224 PF02887","PTHR11817 PTHR11817:SF21",""
"128","Manes.07G056300","(1 of 2) PTHR11817//PTHR11817:SF21 - PYRUVATE KINASE // SUBFAMILY NOT NAMED","carbohydrate","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding","GO:0000287 GO:0004743 GO:0006096 GO:0030955","KOG2323","K00873","PF00224 PF02887","PTHR11817 PTHR11817:SF21",""
"129","Manes.07G116700","(1 of 5) 5.3.1.1 - Triose-phosphate isomerase / Triosephosphate mutase","carbohydrate","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","triose-phosphate isomerase activity; metabolic process","GO:0004807 GO:0008152","KOG1643","K01803","PF00121","PTHR21139 PTHR21139:SF6",""
"130","Manes.08G008500","(1 of 4) 1.1.1.41 - Isocitrate dehydrogenase (NAD(+)) / Nicotinamide adenine dinucleotide isocitrate dehydrogenase","carbohydrate","PWY-5464; PWY-5690; PWY-6549","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III","magnesium ion binding; isocitrate dehydrogenase (NAD+) activity; tricarboxylic acid cycle; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; NAD binding","GO:0000287 GO:0004449 GO:0006099 GO:0016616 GO:0051287 GO:0055114","","K00030","PF00180","PTHR11835","isocitrate dehydrogenase V"
"131","Manes.08G018800","(1 of 3) PTHR11817//PTHR11817:SF33 - PYRUVATE KINASE // SUBFAMILY NOT NAMED","carbohydrate","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding","GO:0000287 GO:0004743 GO:0006096 GO:0030955","","K00873","PF00224 PF02887","PTHR11817 PTHR11817:SF33","Pyruvate kinase family protein"
