"","locusName","Pathways","Pathways_Desc","GODescription","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"10206","Manes.05G151200","","","",NA,"(1 of 2) PTHR22870:SF195 - REGULATOR OF CHROMOSOME CONDENSATION (RCC1) FAMILY PROTEIN","","","","PF00415","PTHR22870 PTHR22870:SF195","Regulator of chromosome condensation (RCC1) family protein"
"10207","Manes.05G151400","","","DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding",NA,"(1 of 3) PTHR13690:SF76 - BASIC-LEUCINE ZIPPER (BZIP) TRANSCRIPTION FACTOR FAMILY PROTEIN","GO:0003700 GO:0006355 GO:0043565","","","PF00170","PTHR13690 PTHR13690:SF76",""
"10208","Manes.05G151500","","","",NA,"(1 of 1) PTHR31421//PTHR31421:SF2 - FAMILY NOT NAMED // PROTEIN BASIC PENTACYSTEINE6","","","","PF06217","PTHR31421 PTHR31421:SF2","basic pentacysteine 6"
"10209","Manes.05G151600","","","",NA,"(1 of 3) PTHR32208//PTHR32208:SF19 - FAMILY NOT NAMED // F14L17.20 PROTEIN","","","","PF07250 PF09118","PTHR32208 PTHR32208:SF19","glyoxal oxidase-related protein"
"10210","Manes.05G151700","PWY-6441","spermine and spermidine degradation III","protein binding",NA,"(1 of 2) PTHR10742//PTHR10742:SF284 - AMINE OXIDASE // LYSINE-SPECIFIC HISTONE DEMETHYLASE 1A","GO:0005515","KOG0029","","PF04433 PF13450","PTHR10742 PTHR10742:SF284","LSD1-like 3"
"10211","Manes.05G151701","","","",NA,"","","","","","",""
"10212","Manes.05G151800","","","proton transmembrane transporter activity; proton-transporting two-sector ATPase complex, proton-transporting domain; proton-transporting V-type ATPase, V0 domain",NA,"(1 of 7) K02155 - V-type H+-transporting ATPase 16kDa proteolipid subunit (ATPeV0C; ATP6L)","GO:0015078 GO:0015991 GO:0033177 GO:0033179","KOG0232","K02155","PF00137","PTHR10263 PTHR10263:SF13","ATPase, F0/V0 complex, subunit C protein"
"10213","Manes.05G151900","","","protein kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation",NA,"(1 of 2) PTHR27000:SF26 - F10A5.16","GO:0004672 GO:0004713 GO:0005515 GO:0005524 GO:0006468","KOG1187","","PF00560 PF07714 PF08263 PF13855","PTHR27000 PTHR27000:SF26","Leucine-rich receptor-like protein kinase family protein"
"10214","Manes.05G152000","","","microtubule motor activity; ATP binding; kinesin complex; microtubule-based movement; microtubule binding",NA,"(1 of 1) PTHR24115:SF514 - ATP BINDING MICROTUBULE MOTOR FAMILY PROTEIN","GO:0003777 GO:0005524 GO:0005871 GO:0007018 GO:0008017","KOG0242","K11498","PF00225 PF11995","PTHR24115 PTHR24115:SF514","ATP binding microtubule motor family protein"
"10215","Manes.05G152100","","","",NA,"","","","","","PTHR23155",""
"10216","Manes.05G152200","","","",NA,"","","","","","PTHR23155",""
"10217","Manes.05G152300","","","calcium ion binding; protein binding",NA,"(1 of 2) PTHR23083//PTHR23083:SF380 - TETRATRICOPEPTIDE REPEAT PROTEIN; TPR // SUBFAMILY NOT NAMED","GO:0005509 GO:0005515","KOG1125","","PF13371 PF13414","PTHR23083 PTHR23083:SF380","Calcium-binding tetratricopeptide family protein"
"10218","Manes.05G152500","","","",NA,"(1 of 1) K14798 - protein LTV1 (LTV1)","","KOG2637","K14798","PF04180","PTHR21531 PTHR21531:SF0","(1 of 1) PTHR21531 - LOW-TEMPERATURE VIABILITY PROTEIN LTV1-RELATED"
"10219","Manes.05G152600","","","nucleic acid binding; zinc ion binding",NA,"(1 of 6) K09250 - cellular nucleic acid-binding protein (CNBP)","GO:0003676 GO:0008270","KOG4400","K09250","PF00098 PF14392","PTHR23002 PTHR23002:SF65","zinc knuckle (CCHC-type) family protein"
"10220","Manes.05G152650","","","",NA,"","","","","","",""
"10221","Manes.05G152700","","","intracellular anatomical structure; zinc ion binding",NA,"(1 of 32) PF00643 - B-box zinc finger (zf-B_box)","GO:0005622 GO:0008270","","","PF00643","PTHR31832 PTHR31832:SF6","salt tolerance homolog2"
"10222","Manes.05G152800","","","protein binding",NA,"(1 of 49) PF00560//PF13855 - Leucine Rich Repeat (LRR_1) // Leucine rich repeat (LRR_8)","GO:0005515","","","PF00560 PF13855","PTHR27000 PTHR27000:SF19",""
"10223","Manes.05G152900","","","protein binding",NA,"(1 of 1) K11674 - microspherule protein 1 (MCRS1; INO80Q)","GO:0005515","","K11674","PF13325","PTHR13233 PTHR13233:SF0","Forkhead-associated (FHA) domain-containing protein"
"10224","Manes.05G152901","","","protein binding",NA,"(1 of 363) PF00560 - Leucine Rich Repeat (LRR_1)","GO:0005515","","","PF00560","PTHR27000",""
"10225","Manes.05G153000","","","DNA binding; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; protein dimerization activity",NA,"(1 of 3) PTHR11945//PTHR11945:SF219 - MADS BOX PROTEIN // FLORAL HOMEOTIC PROTEIN APETALA 3","GO:0003677 GO:0003700 GO:0005634 GO:0006355 GO:0046983","KOG0014","K09264","PF00319 PF01486","PTHR11945 PTHR11945:SF219","K-box region and MADS-box transcription factor family protein"
"10226","Manes.05G153100","","","intracellular monoatomic ion homeostasis; voltage-gated monoatomic anion channel activity; transmembrane transport",NA,"(1 of 6) PF03595 - Voltage-dependent anion channel (SLAC1)","GO:0006873 GO:0008308 GO:0016021 GO:0055085","","","PF03595","PTHR31269 PTHR31269:SF4","SLAC1 homologue 1"
"10227","Manes.05G153200","","","",NA,"(1 of 9) PF05142 - Domain of unknown function (DUF702) (DUF702)","","","","PF05142","PTHR31604 PTHR31604:SF6","SHI-related sequence 5"
"10228","Manes.05G153300","","","transcription factor TFIIF complex; transcription by RNA polymerase II; transcription initiation at RNA polymerase II promoter",NA,"(1 of 2) K03139 - transcription initiation factor TFIIF subunit beta (TFIIF2; GTF2F2; TFG2)","GO:0005674 GO:0006366 GO:0006367","KOG2905","K03139","PF02270","PTHR10445 PTHR10445:SF2","Transcription initiation factor IIF, beta subunit"
"10229","Manes.05G153500","","","membrane; transmembrane transporter activity",NA,"(1 of 2) PTHR31218:SF53 - PROTEIN WALLS ARE THIN 1","GO:0016020 GO:0016021 GO:0022857","","","PF00892","PTHR31218 PTHR31218:SF53","Walls Are Thin 1"
"10230","Manes.05G153600","PWY-5083; PWY-6348","NAD/NADH phosphorylation and dephosphorylation; phosphate acquisition","hydrolase activity",NA,"(1 of 3) 3.1.3.2//3.1.3.41//3.1.3.60 - Acid phosphatase / Phosphomonoesterase // 4-nitrophenylphosphatase // Phosphoenolpyruvate phosphatase","GO:0016787","KOG1378","","PF00149 PF14008 PF16656","PTHR22953 PTHR22953:SF35",""
"10231","Manes.05G153700","","","DNA-binding transcription factor activity; regulation of DNA-templated transcription",NA,"(1 of 196) PF00847 - AP2 domain (AP2)","GO:0003700 GO:0006355","","","PF00847","PTHR31241 PTHR31241:SF6","Integrase-type DNA-binding superfamily protein"
"10232","Manes.05G153800","","","glycerol ether metabolic process; protein-disulfide reductase activity; cell redox homeostasis",NA,"(1 of 1) PF14595 - Thioredoxin (Thioredoxin_9)","GO:0006662 GO:0015035 GO:0045454","KOG0907","K03671","PF14595","PTHR10438 PTHR10438:SF274",""
"10233","Manes.05G154000","","","glucosinolate catabolic process; nitrile biosynthetic process",NA,"(1 of 2) PTHR23244:SF249 - MANNOSE-BINDING LECTIN SUPERFAMILY PROTEIN","GO:0019762 GO:0080028","","","PF01419","PTHR23244 PTHR23244:SF249","Mannose-binding lectin superfamily protein"
"10234","Manes.05G154200","","","catalytic activity; cytokinin metabolic process; oxidoreductase activity; oxidoreductase activity, acting on CH-OH group of donors; cytokinin dehydrogenase activity; flavin adenine dinucleotide binding",NA,"(1 of 2) PTHR13878//PTHR13878:SF60 - GULONOLACTONE OXIDASE // CYTOKININ DEHYDROGENASE 5","GO:0003824 GO:0009690 GO:0016491 GO:0016614 GO:0019139 GO:0050660 GO:0055114","","K00279","PF01565 PF09265","PTHR13878 PTHR13878:SF60","cytokinin oxidase 5"
"10235","Manes.05G154300","","","metabolic process; methyltransferase activity",NA,"(1 of 1) K07056 - 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198] (rsmI)","GO:0008152 GO:0008168","","K07056","PF00590","PTHR21091 PTHR21091:SF18","Tetrapyrrole (Corrin/Porphyrin) Methylases"
"10236","Manes.05G154301","","","",NA,"","","","","","PTHR31696 PTHR31696:SF6",""
"10237","Manes.05G154600","PWY-7511","protein ubiquitylation","",NA,"(1 of 1) PTHR24067:SF125 - UBIQUITIN-CONJUGATING ENZYME E2 18-RELATED","","KOG0427","K10688","PF00179","PTHR24067 PTHR24067:SF125","ubiquitin-conjugating enzyme 18"
"10238","Manes.05G154700","","","GTP binding",NA,"(1 of 1) K03665 - GTP-binding protein HflX (hflX)","GO:0005525","KOG0410","K03665","PF01926 PF13167 PF16360","PTHR10229 PTHR10229:SF2","GTP-binding protein, HflX"
"10239","Manes.05G154800","PWY-6824; PWY-5466; PWY-7445; PWY-7214","justicidin B biosynthesis; matairesinol biosynthesis; luteolin triglucuronide degradation; baicalein degradation (hydrogen peroxide detoxification)","peroxidase activity; response to oxidative stress; heme binding",NA,"(1 of 1) PTHR31388//PTHR31388:SF4 - FAMILY NOT NAMED // PEROXIDASE 9","GO:0004601 GO:0006979 GO:0020037 GO:0055114","","K00430","PF00141","PTHR31388 PTHR31388:SF4","Peroxidase superfamily protein"
"10240","Manes.05G154900","","","",NA,"(1 of 2) 2.4.1.245 - Alpha;alpha-trehalose synthase / Trehalose synthetase","","KOG0853","","PF00534 PF16994","PTHR12526 PTHR12526:SF376","UDP-Glycosyltransferase superfamily protein"
"10241","Manes.05G155000","","","cytoplasm; DNA repair; DNA recombination; four-way junction helicase activity; hydrolase activity; protein catabolic process",NA,"(1 of 2) K03064 - 26S proteasome regulatory subunit T4 (PSMC6; RPT4)","GO:0005737 GO:0006281 GO:0006310 GO:0009378 GO:0016787 GO:0030163","","K03064","PF05496","PTHR23073 PTHR23073:SF32","AAA-type ATPase family protein"
"10242","Manes.05G155100","; PWY-3821; PWY-6527; PWY66-422; PWY-7344","; D-galactose degradation III; stachyose degradation; D-galactose degradation V (Leloir pathway); UDP-D-galactose biosynthesis","catalytic activity",NA,"(1 of 1) PTHR10366//PTHR10366:SF430 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // SUBFAMILY NOT NAMED","GO:0003824 GO:0050662","","","PF01370","PTHR10366 PTHR10366:SF430","NAD(P)-binding Rossmann-fold superfamily protein"
"10243","Manes.05G155200","","","protein binding; zinc ion binding",NA,"","GO:0005515 GO:0008270","","","","PTHR31150 PTHR31150:SF8","RING/U-box superfamily protein"
"10244","Manes.05G155266","","","DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding",NA,"(1 of 5) PTHR22952//PTHR22952:SF182 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED","GO:0003700 GO:0006355 GO:0043565","","","PF00170","PTHR22952 PTHR22952:SF182","G-box binding factor 6"
"10245","Manes.05G155332","","","",NA,"(1 of 2) PTHR38362//PTHR38362:SF1 - FAMILY NOT NAMED // CONSERVED PEPTIDE UPSTREAM OPEN READING FRAME 2-RELATED","","","","","PTHR38362 PTHR38362:SF1","conserved peptide upstream open reading frame 5"
"10246","Manes.05G155333","","","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation; membrane; phosphotransferase activity, alcohol group as acceptor",NA,"(1 of 2) PTHR24055:SF205 - MITOGEN-ACTIVATED PROTEIN KINASE 1-RELATED","GO:0004672 GO:0004713 GO:0005524 GO:0006468 GO:0016020 GO:0016773","","K04371","PF06293","PTHR24055 PTHR24055:SF205","mitogen-activated protein kinase homolog 2"
"10247","Manes.05G155400","","","acyltransferase activity, transferring groups other than amino-acyl groups",NA,"(1 of 87) PF02458 - Transferase family (Transferase)","GO:0016747","","","PF02458","PTHR31642 PTHR31642:SF5","HXXXD-type acyl-transferase family protein"
"10248","Manes.05G155500","","","regulation of cyclin-dependent protein serine/threonine kinase activity; regulation of DNA-templated transcription; protein kinase binding",NA,"(1 of 1) PTHR10026:SF77 - CYCLIN-T1-3","GO:0000079 GO:0006355 GO:0019901","KOG0834","K15188","PF00134","PTHR10026 PTHR10026:SF77",""
"10249","Manes.05G155600","","","protein dimerization activity",NA,"(1 of 2) PTHR16223:SF11 - TRANSCRIPTION FACTOR BHLH110","GO:0046983","","","","PTHR16223 PTHR16223:SF11","basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"10250","Manes.05G155800","","","nuclease activity",NA,"(1 of 2) PTHR15160//PTHR15160:SF3 - VON HIPPEL-LINDAU PROTEIN // BIFUNCTIONAL NUCLEASE 1-RELATED","GO:0004518","","","PF02577","PTHR15160 PTHR15160:SF3","bifunctional nuclease in basal defense response 1"
"10251","Manes.05G155900","","","transporter activity; intracellular anatomical structure; transport",NA,"(1 of 4) PTHR23324:SF43 - PHOSPHATIDYLINOSITOL/PHOSPHATIDYLCHOLINE TRANSFER PROTEIN SFH6-RELATED","GO:0005215 GO:0005622 GO:0006810","KOG1471","","PF00650 PF03765","PTHR23324 PTHR23324:SF43",""
"10252","Manes.05G156100","PWY-6554; PWY-6369","1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3); inositol pyrophosphates biosynthesis","ATP binding; inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity",NA,"(1 of 2) 2.7.1.158 - Inositol-pentakisphosphate 2-kinase / IP5 2-kinase","GO:0005524 GO:0035299","KOG4749","","PF06090","PTHR14456 PTHR14456:SF2","Inositol-pentakisphosphate 2-kinase family protein"
"10253","Manes.05G156200","","","metal ion transport; metal ion binding",NA,"(1 of 1) PTHR22814//PTHR22814:SF153 - COPPER TRANSPORT PROTEIN ATOX1-RELATED // SUBFAMILY NOT NAMED","GO:0030001 GO:0046872","KOG1603","","PF00403","PTHR22814 PTHR22814:SF153",""
"10254","Manes.05G156300","","","ATP binding",NA,"(1 of 1) PTHR23070//PTHR23070:SF30 - BCS1 AAA-TYPE ATPASE // SUBFAMILY NOT NAMED","GO:0005524","","K08900","PF00004 PF14363","PTHR23070 PTHR23070:SF30",""
"10255","Manes.05G156400","","","methyltransferase activity",NA,"(1 of 1) 2.1.1.141 - Jasmonate O-methyltransferase / Jasmonic acid carboxyl methyltransferase","GO:0008168","","K08241","PF03492","PTHR31009 PTHR31009:SF6","jasmonic acid carboxyl methyltransferase"
"10256","Manes.05G156600","","","",NA,"","","","","","PTHR33640 PTHR33640:SF2",""
"10257","Manes.05G156800","","","structural constituent of ribosome; intracellular anatomical structure; ribosome; translation",NA,"(1 of 1) K02909 - large subunit ribosomal protein L31 (RP-L31; rpmE)","GO:0003735 GO:0005622 GO:0005840 GO:0006412","","K02909","PF01197","PTHR33280 PTHR33280:SF1","Ribosomal protein L31"
"10258","Manes.05G156900","","","hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process",NA,"(1 of 7) 3.2.1.78 - Mannan endo-1;4-beta-mannosidase / Endo-1;4-mannanase","GO:0004553 GO:0005975","","","PF00150","PTHR31451 PTHR31451:SF18",""
"10259","Manes.05G157000","PWY-5152; PWY1F-823","leucodelphinidin biosynthesis; leucopelargonidin and leucocyanidin biosynthesis","catalytic activity",NA,"(1 of 2) K13082 - bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase (DFR)","GO:0003824 GO:0050662","KOG1502","K13082","PF01370","PTHR10366 PTHR10366:SF276",""
"10260","Manes.05G157100","PWY-7253; PWY-7252; PWY-5152; PWY1F-823","apigeninidin 5-<i>O</i>-glucoside biosynthesis; luteolinidin 5-<i>O</i>-glucoside biosynthesis; leucodelphinidin biosynthesis; leucopelargonidin and leucocyanidin biosynthesis","catalytic activity",NA,"(1 of 1) 1.1.1.234 - Flavanone 4-reductase","GO:0003824 GO:0050662","KOG1502","","PF01370","PTHR10366 PTHR10366:SF276",""
"10261","Manes.05G157200","CITRULBIO-PWY; ARGSYNBSUB-PWY; ARGSYN-PWY; PWY-4984; CITRULLINE-DEG-PWY","L-citrulline biosynthesis; L-arginine biosynthesis II (acetyl cycle); L-arginine biosynthesis I (via L-ornithine); urea cycle; L-citrulline degradation","aspartate carbamoyltransferase activity; 'de novo' pyrimidine nucleobase biosynthetic process; amino acid metabolic process; amino acid binding; carboxyl- or carbamoyltransferase activity",NA,"(1 of 1) 2.1.3.3 - Ornithine carbamoyltransferase / OTCase","GO:0004070 GO:0006207 GO:0006520 GO:0016597 GO:0016743","KOG1504","K00611","PF00185 PF02729","PTHR11405 PTHR11405:SF1","ornithine carbamoyltransferase"
"10262","Manes.05G157300","","","",NA,"(1 of 4) PTHR23172//PTHR23172:SF19 - AUXILIN/CYCLIN G-ASSOCIATED KINASE-RELATED // AUXILLIN; ISOFORM A","","","","","PTHR23172 PTHR23172:SF19","auxin-like 1 protein"
"10263","Manes.05G157400","","","endopeptidase activity; threonine-type endopeptidase activity; proteasome core complex; ubiquitin-dependent protein catabolic process; proteasome core complex, alpha-subunit complex; proteolysis involved in protein catabolic process",NA,"(1 of 2) K02725 - 20S proteasome subunit alpha 6 (PSMA1)","GO:0004175 GO:0004298 GO:0005839 GO:0006511 GO:0019773 GO:0051603","KOG0863","K02725","PF00227 PF10584","PTHR11599 PTHR11599:SF12","proteasome alpha subunit F1"
"10264","Manes.05G157500","PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","","carb","(1 of 2) PTHR10584//PTHR10584:SF153 - SUGAR KINASE // SUBFAMILY NOT NAMED","","KOG2854","","PF00294","PTHR10584 PTHR10584:SF153","pfkB-like carbohydrate kinase family protein"
"10265","Manes.05G157600","PWY-4302; PWY-5083; PWY-3781","aerobic respiration III (alternative oxidase pathway); NAD/NADH phosphorylation and dephosphorylation; aerobic respiration I (cytochrome c)","",NA,"(1 of 3) PTHR13061//PTHR13061:SF9 - DYNACTIN SUBUNIT P25 // SUBFAMILY NOT NAMED","","","","PF00132","PTHR13061 PTHR13061:SF9","gamma carbonic anhydrase 1"
"10266","Manes.05G157700","","","",NA,"(1 of 4) PTHR10743//PTHR10743:SF2 - PROTEIN RER1 // PROTEIN RER1B-RELATED","GO:0016021","KOG1688","","PF03248","PTHR10743 PTHR10743:SF2",""
"10267","Manes.05G157800","","","",NA,"","","","","","PTHR38396 PTHR38396:SF1",""
"10268","Manes.05G157900","","","protein binding",NA,"(1 of 3) PTHR16517:SF41 - TUBBY-LIKE F-BOX PROTEIN 6","GO:0005515","KOG2502","","PF00646 PF01167","PTHR16517 PTHR16517:SF41","tubby like protein 6"
"10269","Manes.05G158000","","","",NA,"(1 of 1) PTHR33472//PTHR33472:SF3 - FAMILY NOT NAMED // OXIDOREDUCTASE","","","","","PTHR33472 PTHR33472:SF3","oxidoreductases, acting on NADH or NADPH"
"10270","Manes.05G158200","","","",NA,"(1 of 7) PF01535//PF13812 - PPR repeat (PPR) // Pentatricopeptide repeat domain (PPR_3)","","","","PF01535 PF13812","PTHR24015 PTHR24015:SF515","pentatricopeptide (PPR) repeat-containing protein"
"10271","Manes.05G158300","","","",NA,"(1 of 9) PTHR24078:SF177 - PROTEIN DNJ-23-RELATED","","","","PF00249","PTHR24078 PTHR24078:SF177","RAD-like 5"
"10272","Manes.05G158400","","","",NA,"","","","","","",""
"10273","Manes.05G158500","","","",NA,"(1 of 2) PTHR31948//PTHR31948:SF15 - FAMILY NOT NAMED // ZINC-FINGER HOMEODOMAIN PROTEIN 5","","","","PF04770","PTHR31948 PTHR31948:SF15","homeobox protein 33"
"10274","Manes.05G158600","","","catalytic activity; metabolic process",NA,"(1 of 1) PTHR22754//PTHR22754:SF27 - DISCO-INTERACTING PROTEIN 2  DIP2 -RELATED // SUBFAMILY NOT NAMED","GO:0003824 GO:0008152","KOG1176","","PF00501","PTHR22754 PTHR22754:SF27",""
"10275","Manes.05G158700","","","base-excision repair",NA,"(1 of 3) K01247 - DNA-3-methyladenine glycosylase II (alkA)","GO:0006284","KOG1918","K01247","PF00730","PTHR10242 PTHR10242:SF0","DNA glycosylase superfamily protein"
"10276","Manes.05G158800","","","",NA,"(1 of 2) PTHR10343//PTHR10343:SF57 - 5'-AMP-ACTIVATED PROTEIN KINASE ; BETA SUBUNIT // PHOSPHOGLUCAN PHOSPHATASE LSF1; CHLOROPLASTIC","","","","PF16561","PTHR10343 PTHR10343:SF57",""
"10277","Manes.05G158900","","","membrane; transmembrane transport",NA,"(1 of 3) PTHR23500:SF43 - SUGAR TRANSPORTER ERD6-LIKE 4-RELATED","GO:0016020 GO:0016021 GO:0022891 GO:0055085","KOG0254","K08145","PF07690","PTHR23500 PTHR23500:SF43","Major facilitator superfamily protein"
"10278","Manes.05G159000","PWY-7601; PWY-6433; PWY-7619; PWY-5080; PWY-7036; PWY-6598","arachidonate biosynthesis IV (8-detaturase, lower eukaryotes); hydroxylated fatty acid biosynthesis (plants); juniperonate biosynthesis; very long chain fatty acid biosynthesis I; very long chain fatty acid biosynthesis II; sciadonate biosynthesis","fatty acid biosynthetic process; lipid biosynthetic process; membrane; acyltransferase activity, transferring groups other than amino-acyl groups",NA,"(1 of 20) K15397 - 3-ketoacyl-CoA synthase (KCS)","GO:0006633 GO:0008610 GO:0016020 GO:0016747","","K15397","PF08392 PF08541","PTHR31561 PTHR31561:SF15","3-ketoacyl-CoA synthase 4"
"10279","Manes.05G159100","","","cytoplasm",NA,"(1 of 2) K06287 - septum formation protein (maf)","GO:0005737","KOG1509","K06287","PF02545","PTHR11746 PTHR11746:SF89","Maf-like protein"
"10280","Manes.05G159200","","","",NA,"(1 of 6) PTHR24078//PTHR24078:SF279 - DNAJ HOMOLOG SUBFAMILY C MEMBER // DUPLICATED SANT DNA-BINDING DOMAIN-CONTAINING PROTEIN","","","","","PTHR24078 PTHR24078:SF279",""
"10281","Manes.05G159300","","","protein kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation",NA,"(1 of 3) PTHR27000//PTHR27000:SF96 - FAMILY NOT NAMED // LEUCINE-RICH REPEAT PROTEIN KINASE-LIKE PROTEIN","GO:0004672 GO:0004713 GO:0005515 GO:0005524 GO:0006468","KOG1187","","PF07714 PF13855","PTHR27000 PTHR27000:SF96",""
"10282","Manes.05G159400","PWY-6596; SALVADEHYPOX-PWY; PWY-6606; PWY-5381; PWY-5695; PWY-6608; PWY-7185","adenosine nucleotides degradation I; adenosine nucleotides degradation II; guanosine nucleotides degradation II; pyridine nucleotide cycling (plants); urate biosynthesis/inosine 5'-phosphate degradation; guanosine nucleotides degradation III; UTP and CTP dephosphorylation I","",NA,"(1 of 2) PTHR12103//PTHR12103:SF21 - CYTOSOLIC PURINE 5-NUCLEOTIDASE-RELATED // IMP-GMP SPECIFIC 5-NUCLEOTIDASE; PUTATIVE-RELATED","","KOG2469","","PF05761","PTHR12103 PTHR12103:SF21","HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase"
"10283","Manes.05G159401","","","",NA,"","","","","","",""
"10284","Manes.05G159500","","","",NA,"","","","","","PTHR36398 PTHR36398:SF1",""
"10285","Manes.05G159600","","","",NA,"(1 of 1) PTHR12064//PTHR12064:SF35 - ANCIENT CONSERVED DOMAIN PROTEIN-RELATED // SUBFAMILY NOT NAMED","","KOG2118","K16302","PF01595","PTHR12064 PTHR12064:SF35","CBS domain-containing protein with a domain of unknown function (DUF21)"
"10286","Manes.05G159700","","","methyltransferase activity",NA,"(1 of 1) PTHR10108:SF733 - METHYLTRANSFERASE PMT28-RELATED","GO:0008168","","","PF03141","PTHR10108 PTHR10108:SF733","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"10287","Manes.05G159800","","","",NA,"(1 of 3) PTHR10996//PTHR10996:SF162 - 2-HYDROXYACID DEHYDROGENASE-RELATED // SUBFAMILY NOT NAMED","","","","","PTHR10996 PTHR10996:SF162","Erythronate-4-phosphate dehydrogenase family protein"
"10288","Manes.05G159900","","","",NA,"(1 of 1) PTHR10174//PTHR10174:SF151 - RETINALDEHYDE BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED","","KOG1470","","PF03765 PF13716","PTHR10174 PTHR10174:SF151","Sec14p-like phosphatidylinositol transfer family protein"
"10289","Manes.05G160200","","","",NA,"","","","","","",""
"10290","Manes.05G160350","","","",NA,"","","","","","",""
"10291","Manes.05G160500","","","",NA,"(1 of 25) PF14383 - DUF761-associated sequence motif (VARLMGL)","","","","PF14383","PTHR34282 PTHR34282:SF1",""
"10292","Manes.05G160600","","","hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process",NA,"(1 of 3) PTHR32227:SF16 - GLUCAN ENDO-1;3-BETA-GLUCOSIDASE 7-RELATED","GO:0004553 GO:0005975","","","PF00332 PF07983","PTHR32227 PTHR32227:SF16","O-Glycosyl hydrolases family 17 protein"
"10293","Manes.05G160700","","","",NA,"(1 of 4) PTHR31876:SF6 - PROTEIN LIKE-COV 3","","","","PF04367","PTHR31876 PTHR31876:SF6","like COV 3"
"10294","Manes.05G160800","PWY66-399; PWY-3801; GLUCONEO-PWY; SUCSYN-PWY; PWY-621; PWY-7238; PWY-5659; ANAGLYCOLYSIS-PWY; PWY-622; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation II (sucrose synthase); gluconeogenesis I; sucrose biosynthesis I (from photosynthesis); sucrose degradation III (sucrose invertase); sucrose biosynthesis II; GDP-mannose biosynthesis; glycolysis III (from glucose); starch biosynthesis; homolactic fermentation","glucose-6-phosphate isomerase activity; gluconeogenesis; glycolytic process","carb","(1 of 2) PTHR11469:SF1 - GLUCOSE-6-PHOSPHATE ISOMERASE; CYTOSOLIC","GO:0004347 GO:0006094 GO:0006096","","K01810","PF00342","PTHR11469 PTHR11469:SF1","Sugar isomerase (SIS) family protein"
"10295","Manes.05G160900","","","protein binding; zinc ion binding",NA,"(1 of 5) PTHR14155//PTHR14155:SF103 - RING FINGER DOMAIN-CONTAINING // SUBFAMILY NOT NAMED","GO:0005515 GO:0008270","","","PF13639","PTHR14155 PTHR14155:SF103",""
"10296","Manes.05G161000","PWY-7206; PWY-6545; PWY-7211; PWY-7184","pyrimidine deoxyribonucleotides dephosphorylation; pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III; superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis; pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I","dUTP diphosphatase activity; hydrolase activity; dUTP metabolic process",NA,"(1 of 2) 3.6.1.23 - dUTP diphosphatase / dUTPase","GO:0004170 GO:0016787 GO:0046080","KOG3370","K01520","PF00692","PTHR11241 PTHR11241:SF0","DUTP-PYROPHOSPHATASE-LIKE 1"
"10297","Manes.05G161100","","","",NA,"(1 of 3) PF06708 - Protein of unknown function (DUF1195) (DUF1195)","","","","PF06708","PTHR34358 PTHR34358:SF2",""
"10298","Manes.05G161200","","","",NA,"(1 of 13) PF04788 - Protein of unknown function (DUF620) (DUF620)","","","","PF04788","PTHR31300 PTHR31300:SF4","Protein of unknown function (DUF620)"
"10299","Manes.05G161300","","","",NA,"(1 of 4) PTHR33057:SF28 - OVATE FAMILY PROTEIN 7","","","","PF04844","PTHR33057 PTHR33057:SF28",""
"10300","Manes.05G161400","","","",NA,"","","","","","PTHR34461 PTHR34461:SF1",""
"10301","Manes.05G161500","","","",NA,"","","","","","PTHR35284","(1 of 2) PTHR35284:SF1 - OUTER ENVELOPE PORE PROTEIN 24A, CHLOROPLASTIC-RELATED"
