Abbreviation,Best-hit-arabi-defline,class,colors,degree.layout,Description,gene_id,gene_metabolite,GO,GODescription,KO,KOG,locusName,name,Panther,Pathways,Pathways_Desc,Pfam,selected,shared name
,Enolase,carb,pink,165,(1 of 2) PTHR11902//PTHR11902:SF19 - ENOLASE // SUBFAMILY NOT NAMED,Manes.08G020200.v8.1,gene,GO:0000015 GO:0000287 GO:0004634 GO:0006096,phosphopyruvate hydratase complex; magnesium ion binding; phosphopyruvate hydratase activity; glycolytic process,K01689,,,Manes.08G020200,PTHR11902 PTHR11902:SF19,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00113 PF03952,FALSE,Manes.08G020200
,starch branching enzyme 2.1,carb,black,208,(1 of 2) PTHR10357//PTHR10357:SF141 - ALPHA-AMYLASE // 1;4-ALPHA-GLUCAN-BRANCHING ENZYME 2-1; CHLOROPLASTIC/AMYLOPLASTIC-RELATED,Manes.08G022400.v8.1,gene,GO:0003824 GO:0003844 GO:0004553 GO:0005975 GO:0005978 GO:0043169,"catalytic activity; 1,4-alpha-glucan branching enzyme activity; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; glycogen biosynthetic process; cation binding",K00700,,,Manes.08G022400,PTHR10357 PTHR10357:SF141,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00128 PF02806 PF02922,FALSE,Manes.08G022400
,Sucrose-6F-phosphate phosphohydrolase family protein,carb,turquoise,134,(1 of 3) 3.1.3.24 - Sucrose-phosphate phosphatase / Sucrose-6-phosphate phosphatase,Manes.08G037000.v8.1,gene,GO:0000287 GO:0003824 GO:0005986 GO:0008152 GO:0016791 GO:0050307,magnesium ion binding; catalytic activity; sucrose biosynthetic process; metabolic process; phosphatase activity; sucrose-phosphate phosphatase activity,,,,Manes.08G037000,PTHR12526 PTHR12526:SF2,SUCSYN-PWY; PWY-7238,sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II,PF08282 PF08472,FALSE,Manes.08G037000
crtISO,carotenoid isomerase,carot,turquoise,198,(1 of 1) K09835 - prolycopene isomerase (crtISO; crtH),Manes.08G037100.v8.1,gene,GO:0016117 GO:0016491 GO:0016853 GO:0055114,carotenoid biosynthetic process; oxidoreductase activity; isomerase activity,K09835,,,Manes.08G037100,PTHR10668 PTHR10668:SF5,CAROTENOID-PWY; PWY-6475,superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants),PF01593,TRUE,Manes.08G037100
,Protein of unknown function (DUF288),carb,green,152,(1 of 2) PTHR31362:SF1 - EXPRESSED PROTEIN,Manes.08G050700.v8.1,gene,,,,,,Manes.08G050700,PTHR31362 PTHR31362:SF1,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF03385,FALSE,Manes.08G050700
FDS,farnesyl diphosphate synthase 1,carot,turquoise,91,(1 of 2) 2.5.1.1//2.5.1.10 - Dimethylallyltranstransferase / Prenyltransferase // (2E;6E)-farnesyl diphosphate synthase / Geranyltranstransferase,Manes.08G076550.v8.1,gene,GO:0008299,isoprenoid biosynthetic process,K00787,KOG0711,,Manes.08G076550,PTHR11525 PTHR11525:SF5,PWY-5910; PWY-7709; PWY-6859; PWY-5122; PWY-5123,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate); (3<i>R</i>)-linalool biosynthesis; <i>all-trans</i>-farnesol biosynthesis; geranyl diphosphate biosynthesis; <i>trans, trans</i>-farnesyl diphosphate biosynthesis",PF00348,TRUE,Manes.08G076550
,disproportionating enzyme 2,carb,turquoise,197,(1 of 1) PTHR32518//PTHR32518:SF3 - FAMILY NOT NAMED // 4-ALPHA-GLUCANOTRANSFERASE DPE2,Manes.08G162200.v8.1,gene,GO:0004134 GO:0005975 GO:2001070,4-alpha-glucanotransferase activity; carbohydrate metabolic process; starch binding,K00705,,,Manes.08G162200,PTHR32518 PTHR32518:SF3,PWY-6724; PWY-7238,starch degradation II; sucrose biosynthesis II,PF00686 PF02446,FALSE,Manes.08G162200
LCYB,lycopene cyclase,carot,red,181,(1 of 1) K06443 - lycopene beta-cyclase (lcyB; crtL1; crtY),Manes.09G008200.v8.1,gene,GO:0016117 GO:0016705,"carotenoid biosynthetic process; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",K06443,,,Manes.09G008200,PTHR13789 PTHR13789:SF249,CAROTENOID-PWY; PWY-5947; PWY-5943,superpathway of carotenoid biosynthesis; lutein biosynthesis; &beta;-carotene biosynthesis,PF05834,TRUE,Manes.09G008200
,starch branching enzyme 2.1,carb,black,83,(1 of 2) PTHR10357//PTHR10357:SF141 - ALPHA-AMYLASE // 1;4-ALPHA-GLUCAN-BRANCHING ENZYME 2-1; CHLOROPLASTIC/AMYLOPLASTIC-RELATED,Manes.09G058676.v8.1,gene,GO:0003824 GO:0003844 GO:0004553 GO:0005975 GO:0005978 GO:0043169,"catalytic activity; 1,4-alpha-glucan branching enzyme activity; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; glycogen biosynthetic process; cation binding",K00700,,,Manes.09G058676,PTHR10357 PTHR10357:SF141,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00128 PF02806 PF02922,FALSE,Manes.09G058676
CP450,"cytochrome P450, family 97, subfamily B, polypeptide 3",carot,turquoise,188,(1 of 1) PTHR24291//PTHR24291:SF46 - FAMILY NOT NAMED // CYTOCHROME P450 97B3; CHLOROPLASTIC,Manes.09G079657.v8.1,gene,GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,"monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding",,KOG0157,,Manes.09G079657,PTHR24291 PTHR24291:SF46,; CAROTENOID-PWY; PWY-5947,; superpathway of carotenoid biosynthesis; lutein biosynthesis,PF00067,TRUE,Manes.09G079657
FDS,farnesyl diphosphate synthase 1,carot,blue,91,(1 of 2) 2.5.1.1//2.5.1.10 - Dimethylallyltranstransferase / Prenyltransferase // (2E;6E)-farnesyl diphosphate synthase / Geranyltranstransferase,Manes.09G084500.v8.1,gene,GO:0008299,isoprenoid biosynthetic process,K00787,KOG0711,,Manes.09G084500,PTHR11525 PTHR11525:SF5,PWY-5910; PWY-7709; PWY-6859; PWY-5122; PWY-5123,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate); (3<i>R</i>)-linalool biosynthesis; <i>all-trans</i>-farnesol biosynthesis; geranyl diphosphate biosynthesis; <i>trans, trans</i>-farnesyl diphosphate biosynthesis",PF00348,TRUE,Manes.09G084500
,Glucose-1-phosphate adenylyltransferase family protein,carb,black,224,(1 of 1) PTHR22572:SF111 - GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE LARGE SUBUNIT 3; CHLOROPLASTIC-RELATED,Manes.11G085500.v8.1,gene,GO:0005978 GO:0008878 GO:0009058 GO:0016779,glycogen biosynthetic process; glucose-1-phosphate adenylyltransferase activity; biosynthetic process; nucleotidyltransferase activity,K00975,KOG1322,,Manes.11G085500,PTHR22572 PTHR22572:SF111,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00483,FALSE,Manes.11G085500
,(1 of 13) 1.3.5.1 - Succinate dehydrogenase (quinone) / Succinic dehydrogenase,carb,brown,207,(1 of 9) 1.3.5.1 - Succinate dehydrogenase (quinone) / Succinic dehydrogenase,Manes.11G103800.v8.1,gene,,,,,,Manes.11G103800,PTHR36708,PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781,"aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)",,FALSE,Manes.11G103800
,pfkB-like carbohydrate kinase family protein,carb,blue,117,(1 of 2) PTHR10584//PTHR10584:SF168 - SUGAR KINASE // F14I3.3 PROTEIN-RELATED,Manes.11G121800.v8.1,gene,GO:0004747 GO:0006014,ribokinase activity; D-ribose metabolic process,K00847,KOG2855,,Manes.11G121800,PTHR10584 PTHR10584:SF168,PWY-4101; PWY-3801; PWY-621,D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase),PF00294,FALSE,Manes.11G121800
HMBPP S,4-hydroxy-3-methylbut-2-enyl diphosphate synthase,carot,brown,168,(1 of 2) 1.17.7.1 - (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin) / 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,Manes.11G144700.v8.1,gene,GO:0005506 GO:0008299 GO:0016114 GO:0046429 GO:0055114,iron ion binding; isoprenoid biosynthetic process; terpenoid biosynthetic process; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity (ferredoxin),K03526,,,Manes.11G144700,PTHR30454 PTHR30454:SF0,PWY-7560,methylerythritol phosphate pathway II,PF04551,TRUE,Manes.11G144700
,"Pyruvate phosphate dikinase, PEP/pyruvate binding domain",carb,turquoise,180,(1 of 2) 2.7.9.4 - Alpha-glucan; water dikinase / Starch-related R1 protein,Manes.13G026800.v8.1,gene,GO:0005524 GO:0016301 GO:0016310,ATP binding; kinase activity; phosphorylation,K08244,,,Manes.13G026800,PTHR22931 PTHR22931:SF1,PWY-6724,starch degradation II,PF01326,FALSE,Manes.13G026800
,phosphofructokinase 5,carb,turquoise,193,(1 of 2) PTHR13697//PTHR13697:SF21 - PHOSPHOFRUCTOKINASE // SUBFAMILY NOT NAMED,Manes.13G098500.v8.1,gene,GO:0003872 GO:0006002 GO:0006096,6-phosphofructokinase activity; fructose 6-phosphate metabolic process; glycolytic process,K00850,KOG2440,,Manes.13G098500,PTHR13697 PTHR13697:SF21,PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00365,FALSE,Manes.13G098500
,UDP-Glycosyltransferase superfamily protein,carb,pink,159,(1 of 1) PTHR12526//PTHR12526:SF382 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED,Manes.13G105280.v8.1,gene,,,,,,Manes.13G105280,PTHR12526 PTHR12526:SF382,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF08323,FALSE,Manes.13G105280
,glyceraldehyde-3-phosphate dehydrogenase of plastid 2,carb,black,182,(1 of 2) PTHR10836//PTHR10836:SF46 - GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE // SUBFAMILY NOT NAMED,Manes.14G007500.v8.1,gene,GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114,"glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding",K00134,KOG0657,,Manes.14G007500,PTHR10836 PTHR10836:SF46,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00044 PF02800,FALSE,Manes.14G007500
,phosphoglycerate kinase 1,carb,yellow,166,(1 of 2) PTHR11406//PTHR11406:SF8 - PHOSPHOGLYCERATE KINASE // PHOSPHOGLYCERATE KINASE 1; CHLOROPLASTIC-RELATED,Manes.14G009000.v8.1,gene,GO:0004618 GO:0006096,phosphoglycerate kinase activity; glycolytic process,K00927,,,Manes.14G009000,PTHR11406 PTHR11406:SF8,PWY66-399; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00162,FALSE,Manes.14G009000
Pyruvate Kinase 4,pyruvate kinase family protein,carb,turquoise,237,(1 of 1) PTHR11817:SF28 - PLASTIDIAL PYRUVATE KINASE 4; CHLOROPLASTIC,Manes.14G007380.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,KOG2323,,Manes.14G007380,PTHR11817 PTHR11817:SF28,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224,FALSE,Manes.14G007380
G1PPTase,phosphoglucomutase,carb,green,240,(1 of 2) 5.4.2.5 - Phosphoglucomutase (glucose-cofactor) / Glucose-1-phosphate phosphotransferase,Manes.14G031100.v8.1,gene,GO:0005975 GO:0016868 GO:0071704,carbohydrate metabolic process; intramolecular phosphotransferase activity,K01835,,,Manes.14G031100,PTHR22573 PTHR22573:SF2,PWY-3801; GLYCOGENSYNTH-PWY; SUCSYN-PWY; PWY-7238; PWY-7343; GLUCOSE1PMETAB-PWY; PWY-622; PWY66-422,sucrose degradation II (sucrose synthase); glycogen biosynthesis I (from ADP-D-Glucose); sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis; glucose and glucose-1-phosphate degradation; starch biosynthesis; D-galactose degradation V (Leloir pathway),PF00408 PF02878 PF02879 PF02880,FALSE,Manes.14G031100
,,carb,green,106,(1 of 1) PTHR11902//PTHR11902:SF18 - ENOLASE // SUBFAMILY NOT NAMED,Manes.14G033200.v8.1,gene,GO:0000015 GO:0000287 GO:0004634 GO:0006096,phosphopyruvate hydratase complex; magnesium ion binding; phosphopyruvate hydratase activity; glycolytic process,,,,Manes.14G033200,PTHR11902 PTHR11902:SF18,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00113 PF03952,FALSE,Manes.14G033200
MDH,malate dehydrogenase,carb,turquoise,241,(1 of 2) PTHR11540//PTHR11540:SF29 - MALATE AND LACTATE DEHYDROGENASE // SUBFAMILY NOT NAMED,Manes.14G078500.v8.1,gene,GO:0003854 GO:0006108 GO:0006694 GO:0016616 GO:0019752 GO:0030060 GO:0055114,"3-beta-hydroxy-delta5-steroid dehydrogenase (NAD+) activity; malate metabolic process; steroid biosynthetic process; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity",K00026,,,Manes.14G078500,PTHR11540 PTHR11540:SF29,PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561,"gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation",PF01073 PF02866,FALSE,Manes.14G078500
,aldehyde dehydrogenase 11A3,carb,blue,150,(1 of 2) 1.2.1.9 - Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) / Triosephosphate dehydrogenase,Manes.14G112200.v8.1,gene,GO:0008152 GO:0016491 GO:0055114,metabolic process; oxidoreductase activity,K00131,,,Manes.14G112200,PTHR11699 PTHR11699:SF29,PWY-5464; PWY-1042,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol)",PF00171,FALSE,Manes.14G112200
,beta-amylase 1,carb,black,148,(1 of 7) K01177 - beta-amylase (E3.2.1.2),Manes.15G047700.v8.1,gene,GO:0000272 GO:0016161,polysaccharide catabolic process; beta-amylase activity,K01177,,,Manes.15G047700,PTHR31352 PTHR31352:SF13,PWY-6724,starch degradation II,PF01373,FALSE,Manes.15G047700
Starch synthase,starch synthase 4,carb,turquoise,217,(1 of 1) KOG1003//KOG1850//KOG4809 - Actin filament-coating protein tropomyosin // Myosin-like coiled-coil protein // Rab6 GTPase-interacting protein involved in endosome-to-TGN transport,Manes.15G118600.v8.1,gene,GO:0004373,"alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity",,KOG1003 KOG1850 KOG4809,,Manes.15G118600,PTHR12526 PTHR12526:SF304,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00534 PF13579,FALSE,Manes.15G118600
,Transketolase family protein,carb,turquoise,216,(1 of 2) PTHR11624:SF76 - PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT BETA-2; CHLOROPLASTIC-RELATED,Manes.15G122600.v8.1,gene,GO:0003824 GO:0008152,catalytic activity; metabolic process,K00162,,,Manes.15G122600,PTHR11624 PTHR11624:SF76,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF02779 PF02780,FALSE,Manes.15G122600
,Phosphoglucomutase/phosphomannomutase family protein,carb,red,187,(1 of 2) PTHR22573//PTHR22573:SF47 - PHOSPHOHEXOMUTASE FAMILY MEMBER // PHOSPHOGLUCOMUTASE; CYTOPLASMIC 1-RELATED,Manes.15G131800.v8.1,gene,GO:0005975 GO:0016868 GO:0071704,carbohydrate metabolic process; intramolecular phosphotransferase activity,K01835,,,Manes.15G131800,PTHR22573 PTHR22573:SF47,PWY-3801; GLYCOGENSYNTH-PWY; SUCSYN-PWY; PWY-7238; PWY-7343; GLUCOSE1PMETAB-PWY; PWY-622; PWY66-422,sucrose degradation II (sucrose synthase); glycogen biosynthesis I (from ADP-D-Glucose); sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis; glucose and glucose-1-phosphate degradation; starch biosynthesis; D-galactose degradation V (Leloir pathway),PF00408 PF02878 PF02879 PF02880,FALSE,Manes.15G131800
,glyceraldehyde-3-phosphate dehydrogenase C2,carb,blue,176,(1 of 8) K00134 - glyceraldehyde 3-phosphate dehydrogenase (GAPDH; gapA),Manes.15G156700.v8.1,gene,GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114,"glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding",K00134,KOG0657,,Manes.15G156700,PTHR10836 PTHR10836:SF59,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00044 PF02800,FALSE,Manes.15G156700
,beta-amylase 2,carb,brown,119,(1 of 1) PTHR31352//PTHR31352:SF8 - FAMILY NOT NAMED // BETA-AMYLASE 8,Manes.15G190275.v8.1,gene,GO:0000272 GO:0016161,polysaccharide catabolic process; beta-amylase activity,,,,Manes.15G190275,PTHR31352 PTHR31352:SF8,PWY-6724,starch degradation II,PF01373 PF05687,FALSE,Manes.15G190275
,starch synthase 3,carb,brown,220,(1 of 3) PTHR12526//PTHR12526:SF341 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED,Manes.16G006900.v8.1,gene,GO:2001070,starch binding,,,,Manes.16G006900,PTHR12526 PTHR12526:SF341,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00534 PF13579 PF16760,FALSE,Manes.16G006900
,,carb,turquoise,222,(1 of 1) PTHR11468//PTHR11468:SF3 - GLYCOGEN PHOSPHORYLASE // GLYCOGEN PHOSPHORYLASE,Manes.17G049200.v8.1,gene,GO:0004645 GO:0005975 GO:0008184 GO:0030170,"1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding",K00688,,,Manes.17G049200,PTHR11468 PTHR11468:SF3,PWY-7238,sucrose biosynthesis II,PF00343,FALSE,Manes.17G049200
,Transketolase family protein,carb,red,142,(1 of 2) PTHR11624:SF76 - PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT BETA-2; CHLOROPLASTIC-RELATED,Manes.17G071300.v8.1,gene,GO:0003824 GO:0008152,catalytic activity; metabolic process,K00162,,,Manes.17G071300,PTHR11624 PTHR11624:SF76,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF02779 PF02780,FALSE,Manes.17G071300
,glyceraldehyde-3-phosphate dehydrogenase C2,carb,blue,120,(1 of 8) K00134 - glyceraldehyde 3-phosphate dehydrogenase (GAPDH; gapA),Manes.17G107100.v8.1,gene,GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114,"glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding",K00134,KOG0657,,Manes.17G107100,PTHR10836 PTHR10836:SF59,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00044 PF02800,FALSE,Manes.17G107100
,hexokinase 3,carb,turquoise,121,(1 of 1) PTHR19443:SF5 - HEXOKINASE-LIKE 1 PROTEIN,Manes.18G014000.v8.1,gene,GO:0001678 GO:0004396 GO:0005524 GO:0005536 GO:0005975 GO:0016773 GO:0046835,"intracellular glucose homeostasis; hexokinase activity; ATP binding; D-glucose binding; carbohydrate metabolic process; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation",K00844,,,Manes.18G014000,PTHR19443 PTHR19443:SF5,PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY,sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation,PF00349 PF03727,FALSE,Manes.18G014000
,phosphoglucose isomerase 1,carb,pink,143,(1 of 2) PTHR11469//PTHR11469:SF9 - GLUCOSE-6-PHOSPHATE ISOMERASE // GLUCOSE-6-PHOSPHATE ISOMERASE 1; CHLOROPLASTIC,Manes.18G060600.v8.1,gene,GO:0004347 GO:0006094 GO:0006096,glucose-6-phosphate isomerase activity; gluconeogenesis; glycolytic process,K01810,,,Manes.18G060600,PTHR11469 PTHR11469:SF9,PWY66-399; PWY-3801; GLUCONEO-PWY; SUCSYN-PWY; PWY-621; PWY-7238; PWY-5659; ANAGLYCOLYSIS-PWY; PWY-622; ANAEROFRUCAT-PWY,gluconeogenesis III; sucrose degradation II (sucrose synthase); gluconeogenesis I; sucrose biosynthesis I (from photosynthesis); sucrose degradation III (sucrose invertase); sucrose biosynthesis II; GDP-mannose biosynthesis; glycolysis III (from glucose); starch biosynthesis; homolactic fermentation,PF00342,FALSE,Manes.18G060600
Fructose biPhtase,"fructose-2,6-bisphosphatase",carb,turquoise,224,(1 of 1) 2.7.1.105//3.1.3.46 - 6-phosphofructo-2-kinase / Phosphofructokinase 2 // Fructose-2;6-bisphosphate 2-phosphatase / Fructose-2;6-bisphosphatase,Manes.18G141800.v8.1,gene,GO:0003824 GO:0003873 GO:0005524 GO:0006000 GO:0006003 GO:2001070,"catalytic activity; 6-phosphofructo-2-kinase activity; ATP binding; fructose metabolic process; fructose 2,6-bisphosphate metabolic process; starch binding",K01103,KOG0234,,Manes.18G141800,PTHR10606 PTHR10606:SF44,PWY66-423,"fructose 2,6-bisphosphate biosynthesis",PF00300 PF00686 PF01591,FALSE,Manes.18G141800
Z-carotene,NA,carot,purple,98,NA,Zeta.Carotene,metabolite,NA,NA,NA,NA,Zeta.Carotene,Zeta.Carotene,NA,NA,NA,NA,TRUE,Zeta.Carotene
,enolase 1,carb,grey,17,(1 of 1) PTHR11902//PTHR11902:SF8 - ENOLASE // ENOLASE 1; CHLOROPLASTIC,Manes.01G023200.v8.1,gene,GO:0000015 GO:0000287 GO:0004634 GO:0006096,phosphopyruvate hydratase complex; magnesium ion binding; phosphopyruvate hydratase activity; glycolytic process,K01689,,,Manes.01G023200,PTHR11902 PTHR11902:SF8,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00113 PF03952,FALSE,Manes.01G023200
,succinate dehydrogenase 1-1,carb,grey,31,(1 of 2) K00234 - succinate dehydrogenase (ubiquinone) flavoprotein subunit (SDHA; SDH1),Manes.01G134800.v8.1,gene,GO:0006099 GO:0016491 GO:0016627 GO:0022900 GO:0050660 GO:0055114,"tricarboxylic acid cycle; oxidoreductase activity; oxidoreductase activity, acting on the CH-CH group of donors; electron transport chain; flavin adenine dinucleotide binding",K00234,,,Manes.01G134800,PTHR11632 PTHR11632:SF54,PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781,"aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)",PF00890 PF02910,FALSE,Manes.01G134800
