gene_id,locusName,Description,colors,class
Manes.03G194700.v8.1,Manes.03G194700,(1 of 1) PTHR11777:SF7 - THREONYL AND ALANYL TRNA SYNTHETASE SECOND ADDITIONAL DOMAIN-CONTAINING PROTEIN,yellow,NA
Manes.03G194800.v8.1,Manes.03G194800,(1 of 5) PTHR33136:SF5 - PROTEIN RALF-LIKE 1-RELATED,brown,NA
Manes.03G195800.v8.1,Manes.03G195800,(1 of 38) PF01535//PF12854//PF13041 - PPR repeat (PPR) // PPR repeat (PPR_1) // PPR repeat family (PPR_2),yellow,NA
Manes.03G197700.v8.1,Manes.03G197700,(1 of 11) K10418 - dynein light chain LC8-type (DYNLL),yellow,NA
Manes.03G199300.v8.1,Manes.03G199300,(1 of 47) K09286 - EREBP-like factor (EREBP),brown,NA
Manes.03G199500.v8.1,Manes.03G199500,(1 of 4) K02885 - large subunit ribosomal protein L19e (RP-L19e; RPL19),yellow,NA
Manes.03G200200.v8.1,Manes.03G200200,(1 of 2) PTHR31339:SF15 - PECTIN LYASE-LIKE SUPERFAMILY PROTEIN-RELATED,yellow,NA
Manes.03G200800.v8.1,Manes.03G200800,(1 of 2) PTHR31875:SF6 - PROTEIN DEHYDRATION-INDUCED 19 HOMOLOG 4-RELATED,yellow,NA
Manes.03G200900.v8.1,Manes.03G200900,(1 of 26) PF00917 - MATH domain (MATH),yellow,NA
Manes.03G203000.v8.1,Manes.03G203000,(1 of 1) PTHR20858:SF18 - PROTEIN PET18,yellow,NA
Manes.03G204100.v8.1,Manes.03G204100,(1 of 1) 3.4.21.72 - IgA-specific serine endopeptidase / Immunoglobulin A1 protease,yellow,NA
Manes.03G206400.v8.1,Manes.03G206400,(1 of 2) PTHR31221//PTHR31221:SF13 - FAMILY NOT NAMED // WRKY TRANSCRIPTION FACTOR 48-RELATED,brown,NA
Manes.03G206900.v8.1,Manes.03G206900,(1 of 4) PTHR34188//PTHR34188:SF1 - FAMILY NOT NAMED // T6A9.7 PROTEIN,yellow,NA
Manes.03G207400.v8.1,Manes.03G207400,(1 of 3) 2.3.1.45 - N-acetylneuraminate 7-O(or 9-O)-acetyltransferase,floralwhite,NA
Manes.03G207500.v8.1,Manes.03G207500,(1 of 5) PF13668 - Ferritin-like domain (Ferritin_2),brown,NA
Manes.03G207600.v8.1,Manes.03G207600,(1 of 5) PF13668 - Ferritin-like domain (Ferritin_2),brown,NA
Manes.03G207800.v8.1,Manes.03G207800,(1 of 3) K09534 - DnaJ homolog subfamily C member 14 (DNAJC14),yellow,NA
Manes.03G209200.v8.1,Manes.03G209200,(1 of 1) PTHR13832:SF316 - PROTEIN PHOSPHATASE 2C 43-RELATED,yellow,NA
Manes.03G209300.v8.1,Manes.03G209300,(1 of 1) PTHR11214//PTHR11214:SF131 - BETA-1;3-N-ACETYLGLUCOSAMINYLTRANSFERASE // BETA-1;3-GALACTOSYLTRANSFERASE 16-RELATED,yellow,carb
Manes.03G210900.v8.1,Manes.03G210900,(1 of 15) KOG1987 - Speckle-type POZ protein SPOP and related proteins with TRAF; MATH and BTB/POZ domains,yellow,NA
Manes.03G211500.v8.1,Manes.03G211500,(1 of 1) PTHR21230//PTHR21230:SF35 - VESICLE TRANSPORT V-SNARE PROTEIN VTI1-RELATED // SUBFAMILY NOT NAMED,brown,NA
Manes.03G212000.v8.1,Manes.03G212000,(1 of 1) PTHR11142:SF0 - TRNA PSEUDOURIDINE SYNTHASE-LIKE 1,brown,NA
Manes.04G000400.v8.1,Manes.04G000400,(1 of 4) K06620 - transcription factor E2F3 (E2F3),yellow,NA
Manes.04G001400.v8.1,Manes.04G001400,,brown,NA
Manes.04G009000.v8.1,Manes.04G009000,(1 of 1) PTHR23084//PTHR23084:SF155 - PHOSPHATIDYLINOSITOL-4-PHOSPHATE 5-KINASE RELATED // SUBFAMILY NOT NAMED,brown,NA
Manes.04G013700.v8.1,Manes.04G013700,,brown,NA
Manes.04G014300.v8.1,Manes.04G014300,(1 of 4) K16298 - serine carboxypeptidase-like clade IV [EC:3.4.16.-] (SCPL-IV),skyblue3,NA
Manes.04G016700.v8.1,Manes.04G016700,(1 of 37) PF03634 - TCP family transcription factor (TCP),brown,NA
Manes.04G016900.v8.1,Manes.04G016900,(1 of 4) PTHR12419//PTHR12419:SF19 - OTU DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED,yellow,NA
Manes.04G021000.v8.1,Manes.04G021000,(1 of 3) K02870 - large subunit ribosomal protein L12e (RP-L12e; RPL12),yellow,NA
Manes.04G021300.v8.1,Manes.04G021300,(1 of 1) PTHR35718//PTHR35718:SF1 - FAMILY NOT NAMED // EXPRESSED PROTEIN,yellow,NA
Manes.04G024500.v8.1,Manes.04G024500,(1 of 1) K03142 - transcription initiation factor TFIIH subunit 2 (TFIIH2; GTF2H2; SSL1),brown,NA
Manes.04G025200.v8.1,Manes.04G025200,(1 of 1) PF01485//PF13456 - IBR domain; a half RING-finger domain (IBR) // Reverse transcriptase-like (RVT_3),brown,NA
Manes.04G026900.v8.1,Manes.04G026900,(1 of 3) K10643 - CCR4-NOT transcription complex subunit 4 (CNOT4; NOT4; MOT2),yellow,NA
Manes.04G030450.v8.1,Manes.04G030450,(1 of 2) PTHR10641//PTHR10641:SF484 - MYB-LIKE DNA-BINDING PROTEIN MYB // TRANSCRIPTION FACTOR MYB48-RELATED,brown,NA
Manes.04G031800.v8.1,Manes.04G031800,(1 of 19) K11251 - histone H2A (H2A),yellow,NA
Manes.04G032300.v8.1,Manes.04G032300,,brown,NA
Manes.04G033600.v8.1,Manes.04G033600,(1 of 2) PTHR24326:SF203 - WUSCHEL-RELATED HOMEOBOX 2,yellow,NA
Manes.04G033900.v8.1,Manes.04G033900,(1 of 45) PF02701 - Dof domain; zinc finger (zf-Dof),brown,NA
Manes.04G034100.v8.1,Manes.04G034100,(1 of 8) PF05056 - Protein of unknown function (DUF674) (DUF674),brown,NA
Manes.04G036700.v8.1,Manes.04G036700,(1 of 1) PTHR10133:SF22 - 5'-3' EXONUCLEASE FAMILY PROTEIN,yellow,NA
Manes.04G049785.v8.1,Manes.04G049785,(1 of 2) K03969 - phage shock protein A (pspA),floralwhite,NA
Manes.04G038300.v8.1,Manes.04G038300,(1 of 1) PTHR11685//PTHR11685:SF146 - RBR FAMILY  RING FINGER AND IBR DOMAIN-CONTAINING // SUBFAMILY NOT NAMED,yellow,NA
Manes.04G047900.v8.1,Manes.04G047900,(1 of 4) PF12579 - Protein of unknown function (DUF3755) (DUF3755),yellow,NA
Manes.04G039500.v8.1,Manes.04G039500,(1 of 2) PTHR13690:SF80 - TRANSCRIPTION FACTOR POSF21-RELATED,brown,NA
Manes.04G043700.v8.1,Manes.04G043700,(1 of 2) PTHR10584:SF168 - F14I3.3 PROTEIN-RELATED,yellow,carb
Manes.04G043400.v8.1,Manes.04G043400,(1 of 4) PTHR31669:SF44 - FAR-RED IMPAIRED RESPONSIVE 1-LIKE PROTEIN,brown,NA
Manes.04G042909.v8.1,Manes.04G042909,,brown,NA
Manes.04G048800.v8.1,Manes.04G048800,,brown,NA
Manes.04G049100.v8.1,Manes.04G049100,(1 of 2) PTHR27001:SF115 - PTI1-LIKE TYROSINE-PROTEIN KINASE 1-RELATED,brown,NA
Manes.04G050100.v8.1,Manes.04G050100,(1 of 3) K12471 - epsin (EPN),floralwhite,NA
Manes.04G058800.v8.1,Manes.04G058800,(1 of 1) K00999 - CDP-diacylglycerol--inositol 3-phosphatidyltransferase (CDIPT),brown,NA
Manes.04G051200.v8.1,Manes.04G051200,(1 of 80) PF01535//PF13041//PF14432 - PPR repeat (PPR) // PPR repeat family (PPR_2) // DYW family of nucleic acid deaminases (DYW_deaminase),brown,NA
Manes.04G056000.v8.1,Manes.04G056000,(1 of 1) PTHR22763//PTHR22763:SF5 - RING ZINC FINGER PROTEIN // E3 UBIQUITIN-PROTEIN LIGASE CIP8,brown,NA
Manes.04G063600.v8.1,Manes.04G063600,(1 of 5) K11838 - ubiquitin carboxyl-terminal hydrolase 7 (USP7; UBP15),yellow,NA
Manes.04G064400.v8.1,Manes.04G064400,(1 of 1) 1.3.1.94 - Polyprenol reductase,yellow,NA
Manes.04G066700.v8.1,Manes.04G066700,(1 of 2) PF02620 - Uncharacterized ACR; COG1399 (DUF177),brown,NA
Manes.04G064632.v8.1,Manes.04G064632,(1 of 1) PTHR23023//PTHR23023:SF98 - DIMETHYLANILINE MONOOXYGENASE // SUBFAMILY NOT NAMED,yellow,NA
Manes.04G065300.v8.1,Manes.04G065300,(1 of 2) 1.3.1.75 - Divinyl chlorophyllide a 8-vinyl-reductase / [4-vinyl]chlorophyllide a reductase,yellow,NA
Manes.04G068200.v8.1,Manes.04G068200,(1 of 2) PTHR31692:SF4 - EXPANSIN-LIKE A1-RELATED,brown,NA
Manes.04G068400.v8.1,Manes.04G068400,(1 of 57) PF02298 - Plastocyanin-like domain (Cu_bind_like),floralwhite,NA
Manes.04G068700.v8.1,Manes.04G068700,(1 of 2) PTHR31852:SF8 - LATE EMBRYOGENESIS ABUNDANT HYDROXYPROLINE-RICH GLYCOPROTEIN,yellow,NA
Manes.04G071100.v8.1,Manes.04G071100,(1 of 1) PTHR12956//PTHR12956:SF22 - ALKALINE CERAMIDASE-RELATED // SUBFAMILY NOT NAMED,brown,NA
Manes.04G076400.v8.1,Manes.04G076400,(1 of 3) K10727 - chromatin licensing and DNA replication factor 1 (CDT1),brown,NA
Manes.04G074700.v8.1,Manes.04G074700,(1 of 4) PF06911 - Senescence-associated protein (Senescence),brown,NA
Manes.04G077500.v8.1,Manes.04G077500,(1 of 2) K06174 - ATP-binding cassette; sub-family E; member 1 (ABCE1),yellow,NA
Manes.04G078300.v8.1,Manes.04G078300,(1 of 2) PTHR21139//PTHR21139:SF7 - TRIOSEPHOSPHATE ISOMERASE // TRIOSEPHOSPHATE ISOMERASE; CHLOROPLASTIC,brown,carb
Manes.04G080700.v8.1,Manes.04G080700,(1 of 91) K14488 - SAUR family protein (SAUR),skyblue3,NA
Manes.04G083100.v8.1,Manes.04G083100,(1 of 1) K07071 - uncharacterized protein (K07071),yellow,NA
Manes.04G083400.v8.1,Manes.04G083400,(1 of 1) PTHR12868//PTHR12868:SF0 - NADH-UBIQUINONE OXIDOREDUCTASE B22 SUBUNIT // NADH DEHYDROGENASE [UBIQUINONE] 1 BETA SUBCOMPLEX SUBUNIT 9,yellow,NA
Manes.04G084900.v8.1,Manes.04G084900,(1 of 1) PTHR31846:SF14 - RNA-BINDING CRS1 / YHBY (CRM) DOMAIN PROTEIN,skyblue3,NA
Manes.04G086001.v8.1,Manes.04G086001,(1 of 1) PTHR22953//PTHR22953:SF22 - ACID PHOSPHATASE RELATED // PURPLE ACID PHOSPHATASE 10,yellow,NA
Manes.04G086600.v8.1,Manes.04G086600,(1 of 2) K10685 - ubiquitin-like 1-activating enzyme E1 B (UBLE1B; SAE2; UBA2),floralwhite,NA
Manes.04G074300.v8.1,Manes.04G074300,(1 of 5) PTHR22952//PTHR22952:SF182 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED,brown,NA
Manes.04G088100.v8.1,Manes.04G088100,(1 of 1) K17260 - actin-related protein 2 (ACTR2; ARP2),yellow,NA
Manes.04G091900.v8.1,Manes.04G091900,(1 of 2) K02148 - V-type H+-transporting ATPase subunit C (ATPeV1C; ATP6C),yellow,NA
Manes.04G092900.v8.1,Manes.04G092900,(1 of 4) 2.4.99.4 - Beta-galactoside alpha-2;3-sialyltransferase / CMP-N-acetylneuraminate-beta-galactosamide-alpha-2;3-sialyltransferase,yellow,carb
Manes.04G093000.v8.1,Manes.04G093000,(1 of 1) PTHR11607//PTHR11607:SF29 - ALPHA-MANNOSIDASE // SUBFAMILY NOT NAMED,floralwhite,carb
Manes.04G094400.v8.1,Manes.04G094400,(1 of 2) PF00098//PF06839 - Zinc knuckle (zf-CCHC) // GRF zinc finger (zf-GRF),brown,NA
Manes.04G097500.v8.1,Manes.04G097500,(1 of 5) K11975 - E3 ubiquitin-protein ligase RNF144 [EC:6.3.2.19] (RNF144),brown,NA
Manes.04G103500.v8.1,Manes.04G103500,(1 of 2) PF08737 - Rgp1 (Rgp1),brown,NA
Manes.04G103600.v8.1,Manes.04G103600,(1 of 3) K02951 - small subunit ribosomal protein S12e (RP-S12e; RPS12),yellow,NA
Manes.04G105400.v8.1,Manes.04G105400,(1 of 1569) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase,yellow,NA
Manes.04G108800.v8.1,Manes.04G108800,(1 of 1) PTHR13748//PTHR13748:SF43 - COBW-RELATED // SUBFAMILY NOT NAMED,brown,NA
Manes.04G110800.v8.1,Manes.04G110800,(1 of 2) 3.2.2.23 - DNA-formamidopyrimidine glycosylase / Formamidopyrimidine-DNA glycosylase,brown,NA
Manes.04G113300.v8.1,Manes.04G113300,(1 of 2) PTHR27002:SF31 - G-TYPE LECTIN S-RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE SD2-5,skyblue3,NA
Manes.04G114300.v8.1,Manes.04G114300,(1 of 1) K03025 - DNA-directed RNA polymerase III subunit RPC6 (RPC6; POLR3F),brown,NA
Manes.04G114400.v8.1,Manes.04G114400,(1 of 21) PF01477 - PLAT/LH2 domain (PLAT),brown,NA
Manes.04G117000.v8.1,Manes.04G117000,(1 of 3) K07390 - monothiol glutaredoxin (grxD; GLRX5),yellow,NA
Manes.04G118600.v8.1,Manes.04G118600,(1 of 19) K11251 - histone H2A (H2A),yellow,NA
Manes.04G122500.v8.1,Manes.04G122500,(1 of 2) K15304 - Ran-binding protein 3 (RANBP3),brown,NA
Manes.04G122700.v8.1,Manes.04G122700,(1 of 3) K17302 - coatomer; subunit beta' (COPB2; SEC27),brown,NA
Manes.04G124200.v8.1,Manes.04G124200,(1 of 4) PF02798//PF14497 - Glutathione S-transferase; N-terminal domain (GST_N) // Glutathione S-transferase; C-terminal domain (GST_C_3),brown,NA
Manes.04G124300.v8.1,Manes.04G124300,(1 of 14) PTHR11260//PTHR11260:SF317 - GLUTATHIONE S-TRANSFERASE; GST; SUPERFAMILY; GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED,brown,NA
Manes.04G124400.v8.1,Manes.04G124400,(1 of 3) PTHR12161//PTHR12161:SF14 - UNCHARACTERIZED DUF292 // REGULATOR OF VPS4,brown,NA
Manes.04G124800.v8.1,Manes.04G124800,(1 of 3) K06215 - pyridoxal 5'-phosphate synthase pdxS subunit (pdxS; pdx1),brown,NA
Manes.04G126400.v8.1,Manes.04G126400,(1 of 1569) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase,brown,NA
Manes.04G128300.v8.1,Manes.04G128300,(1 of 20) PTHR27001//PTHR27001:SF27 - FAMILY NOT NAMED // PROLINE-RICH RECEPTOR-LIKE PROTEIN KINASE PERK15,yellow,NA
Manes.04G135700.v8.1,Manes.04G135700,,yellow,NA
Manes.04G136500.v8.1,Manes.04G136500,(1 of 2) PTHR12565:SF174 - TRANSCRIPTION FACTOR BHLH87,yellow,NA
Manes.04G137700.v8.1,Manes.04G137700,(1 of 2) K11843 - ubiquitin carboxyl-terminal hydrolase 14 [EC:3.4.19.12] (USP14; UBP6),brown,NA
Manes.04G138000.v8.1,Manes.04G138000,(1 of 2) K04354 - serine/threonine-protein phosphatase 2A regulatory subunit B (PPP2R2),brown,NA
Manes.04G141400.v8.1,Manes.04G141400,(1 of 18) PF12023 - Domain of unknown function (DUF3511) (DUF3511),brown,NA
Manes.04G141600.v8.1,Manes.04G141600,(1 of 2) 2.3.1.97 - Glycylpeptide N-tetradecanoyltransferase / Peptide N-tetradecanoyltransferase,floralwhite,NA
Manes.04G142700.v8.1,Manes.04G142700,(1 of 2) KOG2375 - Protein interacting with poly(A)-binding protein,yellow,NA
Manes.04G143700.v8.1,Manes.04G143700,(1 of 2) PTHR21717:SF25 - MYB FAMILY TRANSCRIPTION FACTOR TRFL6-RELATED,brown,NA
Manes.04G146400.v8.1,Manes.04G146400,(1 of 11) PF07911 - Protein of unknown function (DUF1677) (DUF1677),yellow,NA
Manes.04G146500.v8.1,Manes.04G146500,(1 of 2) K02730 - 20S proteasome subunit alpha 1 (PSMA6),yellow,NA
Manes.04G149200.v8.1,Manes.04G149200,(1 of 129) PF02519 - Auxin responsive protein (Auxin_inducible),brown,NA
Manes.04G149500.v8.1,Manes.04G149500,(1 of 2) PTHR11200//PTHR11200:SF122 - INOSITOL 5-PHOSPHATASE // PHOSPHOINOSITIDE PHOSPHATASE SAC3-RELATED,brown,NA
Manes.04G150900.v8.1,Manes.04G150900,(1 of 2) K00814 - alanine transaminase (GPT; ALT),brown,NA
Manes.04G151300.v8.1,Manes.04G151300,(1 of 2) K04554 - ubiquitin-conjugating enzyme E2 J2 (UBE2J2; NCUBE2; UBC6),brown,NA
Manes.04G151900.v8.1,Manes.04G151900,(1 of 3) PF00557//PF08512//PF08644//PF14826 - Metallopeptidase family M24 (Peptidase_M24) // Histone chaperone Rttp106-like (Rtt106) // FACT complex subunit (SPT16/CDC68) (SPT16) // FACT complex subunit SPT16 N-terminal lobe domain (FACT-Spt16_Nlob),yellow,NA
Manes.04G154202.v8.1,Manes.04G154202,,skyblue3,NA
Manes.04G154400.v8.1,Manes.04G154400,(1 of 4) K03626 - nascent polypeptide-associated complex subunit alpha (EGD2; NACA),brown,NA
Manes.04G155400.v8.1,Manes.04G155400,(1 of 2) PTHR11413//PTHR11413:SF55 - CYSTATIN FAMILY MEMBER // CYSTEINE PROTEINASE INHIBITOR 6,brown,NA
Manes.04G157300.v8.1,Manes.04G157300,(1 of 1) K10734 - GINS complex subunit 3 (GINS3),brown,NA
Manes.04G160100.v8.1,Manes.04G160100,(1 of 2) K15542 - polyadenylation factor subunit 2 (PFS2),yellow,NA
Manes.04G160200.v8.1,Manes.04G160200,(1 of 1) PTHR28626//PTHR28626:SF3 - FAMILY NOT NAMED // SRR1-LIKE PROTEIN,skyblue3,NA
Manes.04G161300.v8.1,Manes.04G161300,(1 of 2) K01354 - oligopeptidase B (ptrB),brown,NA
Manes.04G162000.v8.1,Manes.04G162000,(1 of 1) PTHR10799//PTHR10799:SF777 - SWI/SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY-RELATED // DNA-BINDING PROTEIN-RELATED,brown,NA
Manes.04G165900.v8.1,Manes.04G165900,(1 of 4) PTHR23180:SF249 - ADP-RIBOSYLATION FACTOR GTPASE-ACTIVATING PROTEIN AGD11-RELATED,brown,NA
Manes.05G001600.v8.1,Manes.05G001600,(1 of 18) PF12023 - Domain of unknown function (DUF3511) (DUF3511),brown,NA
Manes.05G003600.v8.1,Manes.05G003600,(1 of 1) PTHR11731:SF117 - GLUTAMYL ENDOPEPTIDASE; CHLOROPLASTIC-RELATED,brown,NA
Manes.05G011100.v8.1,Manes.05G011100,,yellow,NA
Manes.05G009900.v8.1,Manes.05G009900,(1 of 46) PF05678 - VQ motif (VQ),brown,NA
Manes.05G006200.v8.1,Manes.05G006200,(1 of 1) PTHR31969//PTHR31969:SF9 - FAMILY NOT NAMED // GEM-LIKE PROTEIN 2,yellow,NA
Manes.05G006100.v8.1,Manes.05G006100,(1 of 1) PTHR13052//PTHR13052:SF1 - NFRKB-RELATED // SUBFAMILY NOT NAMED,brown,NA
Manes.05G016200.v8.1,Manes.05G016200,(1 of 3) PTHR26402//PTHR26402:SF560 - RESPONSE REGULATOR OF TWO-COMPONENT SYSTEM // SUBFAMILY NOT NAMED,brown,NA
Manes.05G016500.v8.1,Manes.05G016500,(1 of 2) PTHR11516//PTHR11516:SF25 - PYRUVATE DEHYDROGENASE E1 COMPONENT; ALPHA SUBUNIT  BACTERIAL AND ORGANELLAR // PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT ALPHA-3; CHLOROPLASTIC,yellow,NA
Manes.05G017300.v8.1,Manes.05G017300,(1 of 1) PTHR13878//PTHR13878:SF63 - GULONOLACTONE OXIDASE // L-GULONOLACTONE OXIDASE,yellow,NA
Manes.05G018900.v8.1,Manes.05G018900,(1 of 3) PTHR24298:SF46 - CYTOCHROME P450 78A6-RELATED,brown,NA
Manes.05G020000.v8.1,Manes.05G020000,(1 of 2) PTHR10891//PTHR10891:SF624 - EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN // CALCIUM-BINDING PROTEIN KIC,floralwhite,NA
Manes.05G020200.v8.1,Manes.05G020200,(1 of 1) PTHR13902//PTHR13902:SF58 - SERINE/THREONINE-PROTEIN KINASE WNK  WITH NO LYSINE -RELATED // SUBFAMILY NOT NAMED,yellow,NA
Manes.05G020600.v8.1,Manes.05G020600,(1 of 45) PF02701 - Dof domain; zinc finger (zf-Dof),brown,NA
Manes.05G021700.v8.1,Manes.05G021700,(1 of 2) PTHR31384:SF17 - AUXIN RESPONSE FACTOR 11-RELATED,yellow,NA
Manes.05G022100.v8.1,Manes.05G022100,(1 of 2) PTHR13215//PTHR13215:SF6 - RNA POLYMERASE II TRANSCRIPTIONAL COACTIVATOR // RNA POLYMERASE II TRANSCRIPTIONAL COACTIVATOR KELP,skyblue3,NA
Manes.05G022900.v8.1,Manes.05G022900,(1 of 5) 2.3.1.20//2.3.1.75 - Diacylglycerol O-acyltransferase / Diglyceride acyltransferase // Long-chain-alcohol O-fatty-acyltransferase / Wax synthase,brown,NA
Manes.05G027700.v8.1,Manes.05G027700,(1 of 1) PTHR11177//PTHR11177:SF170 - CHITINASE // SUBFAMILY NOT NAMED,brown,carb
Manes.05G028400.v8.1,Manes.05G028400,(1 of 3) PTHR10108//PTHR10108:SF882 - METHYLTRANSFERASE // METHYLTRANSFERASE-RELATED,brown,NA
Manes.05G028500.v8.1,Manes.05G028500,(1 of 2) PTHR14155:SF71 - RING-H2 FINGER PROTEIN ATL67-RELATED,yellow,NA
Manes.05G029400.v8.1,Manes.05G029400,(1 of 2) PTHR24015//PTHR24015:SF771 - FAMILY NOT NAMED // F21B23.6 PROTEIN,brown,NA
Manes.05G029701.v8.1,Manes.05G029701,(1 of 2) PTHR12100//PTHR12100:SF0 - SEC10 // EXOCYST COMPLEX COMPONENT 5,yellow,NA
Manes.05G031200.v8.1,Manes.05G031200,(1 of 1) PTHR24055//PTHR24055:SF223 - MITOGEN-ACTIVATED PROTEIN KINASE // SUBFAMILY NOT NAMED,brown,NA
Manes.05G035000.v8.1,Manes.05G035000,(1 of 4) K02920 - large subunit ribosomal protein L36e (RP-L36e; RPL36),yellow,NA
Manes.05G038000.v8.1,Manes.05G038000,,yellow,NA
Manes.05G041300.v8.1,Manes.05G041300,(1 of 1) PTHR18896//PTHR18896:SF65 - PHOSPHOLIPASE D // PHOSPHOLIPASE D BETA 1-RELATED,brown,NA
Manes.05G043200.v8.1,Manes.05G043200,(1 of 2) PTHR10774//PTHR10774:SF51 - EXTENDED SYNAPTOTAGMIN-RELATED // C2 CALCIUM/LIPID-BINDING ENDONUCLEASE/EXONUCLEASE/PHOSPHATASE-RELATED,brown,NA
Manes.05G046600.v8.1,Manes.05G046600,(1 of 3) K02953 - small subunit ribosomal protein S13e (RP-S13e; RPS13),brown,NA
Manes.05G047400.v8.1,Manes.05G047400,(1 of 1) PTHR12658//PTHR12658:SF0 - BETA-TUBULIN COFACTOR D // TUBULIN-SPECIFIC CHAPERONE D,brown,NA
Manes.05G048300.v8.1,Manes.05G048300,(1 of 2) PTHR10809//PTHR10809:SF43 - VESICLE-ASSOCIATED MEMBRANE PROTEIN-ASSOCIATED PROTEIN // VESICLE-ASSOCIATED PROTEIN 1-3,yellow,NA
Manes.05G048800.v8.1,Manes.05G048800,(1 of 1) KOG0027//KOG0028 - Calmodulin and related proteins (EF-Hand superfamily) // Ca2+-binding protein (centrin/caltractin); EF-Hand superfamily protein,brown,NA
Manes.05G049700.v8.1,Manes.05G049700,(1 of 2) PTHR31692:SF3 - BETA EXPANSIN 6-RELATED,yellow,NA
Manes.05G051400.v8.1,Manes.05G051400,,brown,NA
Manes.05G051800.v8.1,Manes.05G051800,(1 of 1) PTHR31934//PTHR31934:SF4 - FAMILY NOT NAMED // ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN,brown,carb
Manes.05G052400.v8.1,Manes.05G052400,(1 of 1) PTHR33977//PTHR33977:SF1 - FAMILY NOT NAMED // ZINC ION BINDING PROTEIN,brown,NA
Manes.05G052600.v8.1,Manes.05G052600,,brown,NA
Manes.05G055400.v8.1,Manes.05G055400,(1 of 4) K13199 - plasminogen activator inhibitor 1 RNA-binding protein (SERBP1),floralwhite,NA
Manes.05G056701.v8.1,Manes.05G056701,(1 of 59) PF13962 - Domain of unknown function (PGG),yellow,NA
Manes.05G059100.v8.1,Manes.05G059100,,yellow,NA
Manes.05G061400.v8.1,Manes.05G061400,(1 of 3) PTHR33509:SF5 - LATE EMBRYOGENESIS ABUNDANT 3 (LEA3) FAMILY PROTEIN,brown,NA
Manes.05G062600.v8.1,Manes.05G062600,(1 of 1) PTHR12925//PTHR12925:SF0 - UNCHARACTERIZED // PROTEIN HIKESHI,brown,NA
Manes.05G062700.v8.1,Manes.05G062700,(1 of 4) PTHR10353//PTHR10353:SF29 - GLYCOSYL HYDROLASE // BETA-GLUCOSIDASE 1-RELATED,yellow,carb
Manes.05G063000.v8.1,Manes.05G063000,(1 of 3) K16275 - E3 ubiquitin-protein ligase BAH [EC:6.3.2.19] (BAH; NLA),brown,NA
Manes.05G063300.v8.1,Manes.05G063300,(1 of 2) PTHR22932//PTHR22932:SF5 - TELOMERASE-BINDING PROTEIN P23  HSP90 CO-CHAPERONE // SUBFAMILY NOT NAMED,yellow,NA
Manes.05G063800.v8.1,Manes.05G063800,(1 of 4) 2.1.1.229 - tRNA (carboxymethyluridine(34)-5-O)-methyltransferase / tRNA methyltransferase 9,brown,NA
Manes.05G064100.v8.1,Manes.05G064100,(1 of 1) 2.4.1.258 - Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1;3-mannosyltransferase / Man(5)GlcNAc(2)-PP-Dol mannosyltransferase,skyblue3,carb
Manes.05G064500.v8.1,Manes.05G064500,,brown,NA
Manes.05G065500.v8.1,Manes.05G065500,(1 of 1) PTHR10593//PTHR10593:SF34 - SERINE/THREONINE-PROTEIN KINASE RIO // SUBFAMILY NOT NAMED,brown,NA
Manes.05G065650.v8.1,Manes.05G065650,(1 of 1) K02110 - F-type H+-transporting ATPase subunit c (ATPF0C; atpE),yellow,NA
Manes.05G067500.v8.1,Manes.05G067500,(1 of 1) KOG4851 - Uncharacterized conserved protein,yellow,NA
Manes.05G067800.v8.1,Manes.05G067800,(1 of 3) K14485 - transport inhibitor response 1 (TIR1),yellow,NA
Manes.05G071900.v8.1,Manes.05G071900,(1 of 1) PTHR13068//PTHR13068:SF24 - CGI-12 PROTEIN-RELATED // MITOCHONDRIAL TRANSCRIPTION TERMINATION FACTOR-LIKE PROTEIN BELAYA SMERT,floralwhite,NA
Manes.05G073300.v8.1,Manes.05G073300,(1 of 2) PTHR33739:SF4 - MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 33B,brown,NA
Manes.05G073400.v8.1,Manes.05G073400,(1 of 1) PTHR10357:SF115 - ISOAMYLASE 2; CHLOROPLASTIC,yellow,carb
Manes.05G075000.v8.1,Manes.05G075000,(1 of 2) K11087 - small nuclear ribonucleoprotein D1 (SNRPD1; SMD1),skyblue3,NA
Manes.05G075700.v8.1,Manes.05G075700,,yellow,NA
Manes.05G076000.v8.1,Manes.05G076000,(1 of 12) PF11250 - Fantastic Four meristem regulator (FAF),brown,NA
Manes.05G077700.v8.1,Manes.05G077700,,yellow,NA
